,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092016,Functional diversity of helper T lymphocytes,1996,"['AK Abbas', 'KM Murphy', 'A Sher']", | AcFkmbcAAAAJ | ,,,,,,The existence of subsets of CD4+ helper T lymphocytes that differ in their cytokine secretion patterns and effector functions provides a framework for understanding the heterogeneity of normal and pathological immune responses. Defining the cellular and molecular,False,,5833,https://www.nature.com/articles/383787a0,,"/scholar?cites=11751590667980203310&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1092017,STATs and gene regulation,1997,['JE Darnell'],,,,,,,STATs (signal transducers and activators of transcription) are a family of latent cytoplasmic proteins that are activated to participate in gene control when cells encounter various extracellular polypeptides. Biochemical and molecular genetic explorations have defined a,False,,4486,https://science.sciencemag.org/content/277/5332/1630.abstract,,"/scholar?cites=1268772756115460686&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1092018,Interferon‐γ: an overview of signals. mechanisms and functions,2004,"['K Schroder', 'PJ Hertzog', 'T Ravasi']",1G5GenAAAAAJ | xGtFxfYAAAAJ | UR9EUP8AAAAJ,,,,,,Interferon‐γ (IFN‐γ) coordinates a diverse array of cellular programs through transcriptional regulation of immunologically relevant genes. This article reviews the current understanding of IFN‐γ ligand. receptor. ignal transduction. and cellular effects with a focus on macrophage,False,,4276,https://jlb.onlinelibrary.wiley.com/doi/abs/10.1189/jlb.0603252,,"/scholar?cites=6044915752685177712&as_sdt=5,33&sciodt=0,33&hl=en",https://jlb.onlinelibrary.wiley.com/doi/pdfdirect/10.1189/jlb.0603252,0,0,0
1092019,Cutting edge: Toll-like receptor 4 (TLR4)-deficient mice are hyporesponsive to lipopolysaccharide: evidence for TLR4 as the Lps gene product,1999,"['K Hoshino', 'O Takeuchi', 'T Kawai', 'H Sanjo']", | V8JiuA0AAAAJ |  | ,,,,,,The human homologue of Drosophila Toll (hToll). also called Toll-like receptor 4 (TLR4). is a recently cloned receptor of the IL-1/Toll receptor family. Interestingly. the TLR4 gene has been localized to the same region to which the Lps locus (endotoxin unresponsive gene,False,,3971,https://www.jimmunol.org/content/162/7/3749.short,,"/scholar?cites=4846314205374413185&as_sdt=5,33&sciodt=0,33&hl=en",https://www.jimmunol.org/content/jimmunol/162/7/3749.full.pdf,0,0,0
1092020,Cellular responses to interferon-γ,1997,"['U Boehm', 'T Klamp', 'M Groot']", |  | ,,,,,,▪ Abstract The phytohemagglutinin-induced virus-inhibitor may. however. be produced in white cells in response to a stimulation of cellular RNA synthesis and may be a feedback mechanism for control of RNA synthesis. E. Frederick Wheelock (1965) Interferons are,False,,3582,https://www.annualreviews.org/doi/abs/10.1146/annurev.immunol.15.1.749,,"/scholar?cites=12370645194629571629&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1092021,Stat3 as an oncogene,1999,"['JF Bromberg', 'MH Wrzeszczynska', 'G Devgan', 'Y Zhao']",W6pT8ykAAAAJ |  |  | ,,,,,,STATs are latent transcription factors that mediate cytokine-and growth factor–directed transcription. In many human cancers and transformed cell lines. Stat3 is persistently activated. and in cell culture. active Stat3 is either required for transformation. enhances,False,,3255,https://www.sciencedirect.com/science/article/pii/S0092867400819595,,"/scholar?cites=3423754733722160203&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S0092867400819595,0,0,0
1092022,Differentiation of effector CD4 T cell populations,2009,"['J Zhu', 'H Yamane', 'WE Paul']",aLvo0rAAAAAJ | _aJJ8tcAAAAJ | ,,,,,,CD4 T cells play critical roles in mediating adaptive immunity to a variety of pathogens. They are also involved in autoimmunity. asthma. and allergic responses as well as in tumor immunity. During TCR activation in a particular cytokine milieu. naive CD4 T cells may,False,,3125,https://www.annualreviews.org/doi/abs/10.1146/annurev-immunol-030409-101212,,"/scholar?cites=13670721304512969156&as_sdt=5,33&sciodt=0,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3502616/?src=organic&q=ringlabeled,0,0,0
1092023,STATs in oncogenesis,2000,"['T Bowman', 'R Garcia', 'J Turkson', 'R Jove']", |  |  | ,,,,,,Since their discovery as key mediators of cytokine signaling. considerable progress has been made in defining the structure-function relationships of Signal Transducers and Activators of Transcription (STATs). In addition to their central roles in normal cell signaling,False,,2312,https://www.nature.com/articles/1203527,,"/scholar?cites=624862764846761760&as_sdt=5,33&sciodt=0,33&hl=en",https://www.nature.com/articles/1203527,0,0,0
1092024,IL-6 programs TH-17 cell differentiation by promoting sequential engagement of the IL-21 and IL-23 pathways,2007,"['L Zhou', 'II Ivanov', 'R Spolski', 'R Min', 'K Shenderov']",svz7PT0AAAAJ | CqnnE2AAAAAJ |  |  | ,,,,,,T helper cells that produce interleukin 17 (IL-17;'T H-17 cells') are a distinct subset of proinflammatory cells whose in vivo function requires IL-23 but whose in vitro differentiation requires only IL-6 and transforming growth factor-β (TGF-β). We demonstrate here that IL-6,False,,2240,https://www.nature.com/articles/ni1488,,"/scholar?cites=11565466053180912635&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/Rosanne_Spolski/publication/6254833_IL-6_programs_TH-17_cell_differentiation_by_promoting_sequential_engagement_of_the_IL-21_and_IL-23_pathways/links/09e415061a5024b75a000000/IL-6-programs-TH-17-cell-differentiation-by-promoting-sequential-engagement-of-the-IL-21-and-IL-23-pathways.pdf,0,0,0
1092025,The lineage decisions of helper T cells,2002,"['KM Murphy', 'SL Reiner']",AcFkmbcAAAAJ | ,,,,,,After encountering antigen. helper T (TH) cells undergo differentiation to effector cells. which can secrete high levels of interferon-γ. interleukin-4 (IL-4). IL-10 and other immunomodulators. How TH cells acquire. and remember. new patterns of gene expression,False,,2106,https://www.nature.com/articles/nri954,,"/scholar?cites=16075613938674007704&as_sdt=5,33&sciodt=0,33&hl=en",http://labs.icb.ufmg.br/lbcd/pages2/bernardo/artigos/t%20cells%20decision%20cd4%20or%20cd8.pdf,0,0,0
