1091938,NF-κB and Rel proteins: evolutionarily conserved mediators of immune responses,1998,"['S Ghosh', 'MJ May', 'EB Kopp']",SyQ-MLQAAAAJ | n0Q6Yk0AAAAJ | ,,,,,,▪ Abstract The transcription factor NF-κB. more than a decade after its discovery. remains an exciting and active area of study. The involvement of NF-κB in the expression of numerous cytokines and adhesion molecules has supported its role as an evolutionarily conserved,False,,6371,https://www.annualreviews.org/doi/abs/10.1146/annurev.immunol.16.1.225,,"/scholar?cites=16486073563276412025&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1091939,Identification and expression cloning of a leptin receptor. OB-R,1995,"['LA Tartaglia', 'M Dembski', 'X Weng', 'N Deng']",MfrDeDcAAAAJ |  |  | ,,,,,,The ob gene product. leptin. is an important circulating signal for the regulation of body weight. To identify high affinity leptin-binding sites. we generated a series of leptin-alkaline phosphatase (AP) fusion proteins as well as [125 I] leptin. After a binding survey of cell lines,False,,4604,https://www.sciencedirect.com/science/article/pii/0092867495901515,,"/scholar?cites=9291572198144284646&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/0092867495901515/pdf?md5=709668433128a9f93f4697a67b881c5b&pid=1-s2.0-0092867495901515-main.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1091940,Abnormal splicing of the leptin receptor in diabetic mice,1996,"['GH Lee', 'R Proenca', 'JM Montez', 'KM Carroll']",-3iasQ8AAAAJ |  |  | ,,,,,,MUTATIONS in the mouse diabetes (db) gene result in obesity and diabetes in a syndrome resembling morbid human obesity 1. Previous data suggest that the db gene encodes the receptor for the obese (ob) gene product. leptin 2–7. A leptin receptor was recently cloned,False,,2848,https://www.nature.com/articles/379632a0,,"/scholar?cites=14887012667806918976&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1091941,Modulation of osteoclast differentiation and function by the new members of the tumor necrosis factor receptor and ligand families,1999,"['T Suda', 'N Takahashi', 'N Udagawa', 'E Jimi']", |  |  | ,,,,,,OSTEOCLASTS. which are present only in bone. are multinucleated giant cells with the capacity to resorb mineralized tissues. During the past decade. several new approaches have been developed to investigate osteoclast biology. A coculture system of mouse,False,,2655,https://www.researchgate.net/profile/Tatsuo_Suda/publication/12929820_Modulation_of_Osteoclast_Differentiation_and_Function_by_the_New_Members_of_the_Tumor_Necrosis_Factor_Receptor_and_Ligand_Families/links/56e692f308ae65dd4cc1a937/Modulation-of-Osteoclast-Differentiation-and-Function-by-the-New-Members-of-the-Tumor-Necrosis-Factor-Receptor-and-Ligand-Families.pdf,,"/scholar?cites=4670366512956726407&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/Tatsuo_Suda/publication/12929820_Modulation_of_Osteoclast_Differentiation_and_Function_by_the_New_Members_of_the_Tumor_Necrosis_Factor_Receptor_and_Ligand_Families/links/56e692f308ae65dd4cc1a937/Modulation-of-Osteoclast-Differentiation-and-Function-by-the-New-Members-of-the-Tumor-Necrosis-Factor-Receptor-and-Ligand-Families.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1091942,Evidence that the diabetes gene encodes the leptin receptor: identification of a mutation in the leptin receptor gene in db/db mice,1996,"['H Chen', 'O Charlat', 'LA Tartaglia', 'EA Woolf', 'X Weng']", |  | MfrDeDcAAAAJ |  | ,,,,,,OB-R is a high affinity receptor for leptin. an important circulating signal for the regulation of body weight. We identified an alternatively spliced transcript that encodes a form of mouse OB-R with a long intracellular domain. db/db mice also produce this alternatively spliced,False,,2533,https://www.sciencedirect.com/science/article/pii/S0092867400812945,,"/scholar?cites=9649884181677490520&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S0092867400812945,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1091943,The TNF receptor 1-associated protein TRADD signals cell death and NF-κB activation,1995,"['H Hsu', 'J Xiong', 'DV Goeddel']", |  | ,,,,,,Many diverse activities of tumor necrosis factor (TNF) are signaled through TNF receptor 1 (TNFR1). We have identified a novel 34 kDa protein. designated TRADD. that specifically interacts with an intracellular domain of TNFR1 known to be essential for mediating,False,,2479,https://www.sciencedirect.com/science/article/pii/0092867495900705,,"/scholar?cites=2499049109719326514&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/0092867495900705/pdf?md5=a115571abee15e0a50e27259397e6a16&pid=1-s2.0-0092867495900705-main.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
