,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
39208,Guidelines for the use and interpretation of assays for monitoring autophagy,2016,Daniel J Klionsky and Kotb Abdelmohsen and Akihisa Abe and Md Joynal Abedin and Hagai Abeliovich and Abraham Acevedo Arozena and Hiroaki Adachi and Christopher M Adams and Peter D Adams and Khosrow Adeli and Peter J Adhihetty and Sharon G Adler and Galila Agam and Rajesh Agarwal and Manish K Aghi and Maria Agnello and Patrizia Agostinis and Patricia V Aguilar and Julio Aguirre-Ghiso and Edoardo M Airoldi and Slimane Ait-Si-Ali and Takahiko Akematsu and Emmanuel T Akporiaye and Mohamed Al-Rubeai and Guillermo M Albaiceta and Chris Albanese and Diego Albani and Matthew L Albert and Jesus Aldudo and Hana Algül and Mehrdad Alirezaei and Iraide Alloza and Alexandru Almasan and Maylin Almonte-Beceril and Emad S Alnemri and Covadonga Alonso and Nihal Altan-Bonnet and Dario C Altieri and Silvia Alvarez and Lydia Alvarez-Erviti and Sandro Alves and Giuseppina Amadoro and Atsuo Amano and Consuelo Amantini and Santiago Ambrosio and Ivano Amelio and Amal O Amer and Mohamed Amessou and Angelika Amon and Zhenyi An and Frank A Anania and Stig U Andersen and Usha P Andley and Catherine K Andreadi and Nathalie Andrieu-Abadie and Alberto Anel and David K Ann and Shailendra Anoopkumar-Dukie and Manuela Antonioli and Hiroshi Aoki and Nadezda Apostolova and Saveria Aquila and Katia Aquilano and Koichi Araki and Eli Arama and Agustin Aranda and Jun Araya and Alexandre Arcaro and Esperanza Arias and Hirokazu Arimoto and Aileen R Ariosa and Jane L Armstrong and Thierry Arnould and Ivica Arsov and Katsuhiko Asanuma and Valerie Askanas and Eric Asselin and Ryuichiro Atarashi and Sally S Atherton and Julie D Atkin and Laura D Attardi and Patrick Auberger and Georg Auburger and Laure Aurelian and Riccardo Autelli and Laura Avagliano and Maria Laura Avantaggiati and Limor Avrahami and Suresh Awale and Neelam Azad and Tiziana Bachetti and Jonathan M Backer and Dong-Hun Bae and Jae-Sung Bae and Ok-Nam Bae and Soo Han Bae and Eric H Baehrecke and Seung-Hoon Baek and Stephen Baghdiguian and Agnieszka Bagniewska-Zadworna and Hua Bai and Jie Bai and Xue-Yuan Bai and Yannick Bailly and Kithiganahalli Narayanaswamy Balaji and Walter Balduini and Andrea Ballabio and Rena Balzan and Rajkumar Banerjee and Gábor Bánhegyi and Haijun Bao and Benoit Barbeau and Maria D Barrachina and Esther Barreiro and Bonnie Bartel and Alberto Bartolomé and Diane C Bassham and Maria Teresa Bassi and Robert C Bast Jr and Alakananda Basu and Maria Teresa Batista and Henri Batoko and Maurizio Battino and Kyle Bauckman and Bradley L Baumgarner and K Ulrich Bayer and Rupert Beale and Jean-François Beaulieu and George R Beck Jr and Christoph Becker and J David Beckham and Pierre-André Bédard and Patrick J Bednarski and Thomas J Begley and Christian Behl and Christian Behrends and Georg MN Behrens and Kevin E Behrns and Eloy Bejarano and Amine Belaid and Francesca Belleudi and Giovanni Bénard and Guy Berchem and Daniele Bergamaschi and Matteo Bergami and Ben Berkhout and Laura Berliocchi and Amélie Bernard and Monique Bernard and Francesca Bernassola,12,,1,1-222,Taylor & Francis,Many researchers. especially those new to the field. need to determine which criteria are essential for demonstrating autophagy. either for the purposes of their own research. or in the capacity of a manuscript or grant review. 1 Acceptable standards are an important issue. particularly considering that each of us may have his/her own opinion regarding the answer. Unfortunately. the answer is in part a “moving target” as the field evolves. 2 This can be extremely frustrating for researchers who may think they have met those criteria. only to find out that the reviewers of their papers have different ideas. Conversely. as a reviewer. it is tiresome to raise the same objections repeatedly. wondering why researchers have not fulfilled some of the basic requirements for establishing the occurrence of an autophagic process. In addition. drugs that potentially modulate autophagy are increasingly being used in clinical trials. and …,True,xke6pR0AAAAJ:eO3_k5sD8BwC,7277,https://www.tandfonline.com/doi/abs/10.1080/15548627.2015.1100356,5466665393835199140,/scholar?cites=5466665393835199140,,https://www.tandfonline.com/doi/pdf/10.1080/15548627.2015.1100356,0
39209,Apolipoprotein E: high-avidity binding to beta-amyloid and increased frequency of type 4 allele in late-onset familial Alzheimer disease.,1993,Warren J Strittmatter and Ann M Saunders and Donald Schmechel and Margaret Pericak-Vance and Jan Enghild and Guy S Salvesen and Allen D Roses,90,Proceedings of the National Academy of Sciences,5,1977-1981,National Academy of Sciences,Apolipoprotein E is immunochemically localized to the senile plaques. vascular amyloid. and neurofibrillary tangles of Alzheimer disease. In vitro. apolipoprotein E in cerebrospinal fluid binds to synthetic beta A4 peptide (the primary constituent of the senile plaque) with high avidity. Amino acids 12-28 of the beta A4 peptide are required. The gene for apolipoprotein E is located on chromosome 19q13.2. within the region previously associated with linkage of late-onset familial Alzheimer disease. Analysis of apolipoprotein E alleles in Alzheimer disease and controls demonstrated that there was a highly significant association of apolipoprotein E type 4 allele (APOE-epsilon 4) and late-onset familial Alzheimer disease. The allele frequency of the APOE-epsilon 4 in 30 random affected patients. each from a different Alzheimer disease family. was 0.50 +/- 0.06; the allele frequency of APOE-epsilon 4 in 91 age-matched …,True,xke6pR0AAAAJ:u5HHmVD_uO8C,4827,https://www.pnas.org/content/90/5/1977.short,7693857651406682783,/scholar?cites=7693857651406682783,,https://www.pnas.org/content/pnas/90/5/1977.full.pdf,0
39210,Regulation of cell death protease caspase-9 by phosphorylation,1998,Michael H Cardone and Natalie Roy and Henning R Stennicke and Guy S Salvesen and Thomas F Franke and Eric Stanbridge and Steven Frisch and John C Reed,282,Science,5392,1318-1321,American Association for the Advancement of Science,Caspases are intracellular proteases that function as initiators and effectors of apoptosis. The kinase Akt and p21-Ras. an Akt activator. induced phosphorylation of pro–caspase-9 (pro-Casp9) in cells. Cytochrome c–induced proteolytic processing of pro-Casp9 was defective in cytosolic extracts from cells expressing either active Ras or Akt. Akt phosphorylated recombinant Casp9 in vitro on serine-196 and inhibited its protease activity. Mutant pro-Casp9(Ser196Ala) was resistant to Akt-mediated phosphorylation and inhibition in vitro and in cells. resulting in Akt-resistant induction of apoptosis. Thus. caspases can be directly regulated by protein phosphorylation.,True,xke6pR0AAAAJ:u-x6o8ySG0sC,3866,https://science.sciencemag.org/content/282/5392/1318.abstract,11977901696958669856,/scholar?cites=11977901696958669856,,,0
39211,Human ICE/CED-3 protease nomenclature,1996,Emad S Alnemri and David J Livingston and Donald W Nicholson and Guy Salvesen and Nancy A Thornberry and Winnie W Wong and Junying Yuan,87,Cell,2,171,Elsevier,It is now clear that members of the ICE/CED-3 protease family play key biological roles in inflammation and mammalian apoptosis. To date. ten homologs of human origin have been published (Figure 1). The frenetic pace of identification of new homologs has led to inconsistent and multiple names for many of these enzymes. As a consequence. the general scientific community is finding it increasingly difficult to follow this provocative and rapidly moving field. In an effort to remedy this situation. several of us who have been involved in the identification and characterization of these enzymes have formed a committee. with the objective of proposing a nomenclature for the human members of this protease family that is sensible and easy to use. The purpose of this letter is to outline our recommendations.,True,xke6pR0AAAAJ:d1gkVwhDpl0C,3203,https://www.cell.com/fulltext/S0092-8674(00)81334-3,13906646187054285304,/scholar?cites=13906646187054285304,,https://www.cell.com/fulltext/S0092-8674(00)81334-3,0
39212,Yama/CPP32β. a mammalian homolog of CED-3. is a CrmA-inhibitable protease that cleaves the death substrate poly (ADP-ribose) polymerase,1995,Muneesh Tewari and Long T Quan and Karen O'Rourke and Serge Desnoyers and Zhi Zeng and David R Beidler and Guy G Poirier and Guy S Salvesen and Vishva M Dixit,81,Cell,5,801-809,Cell Press,Although the mechanism of mammalian apoptosis has not been elucidated. a protease of the CED-3/ICE family is anticipated to be a component of the death machinery. Several lines of evidence predict that this protease cleaves the death substrate poly(ADP-ribose) polymerase (PARP) to a specific 85 kDa form observed during apoptosis. is inhibitable by the CrmA protein. and is distinct from ICE. We cloned a ced-3/ICE-related gene. designated Yama. that encodes a protein identical to CPP32β. Purified Yama was a zymogen that. when activated. cleaved PARP to generate the 85 kDa apoptotic fragment. Cleavage of PARP by Yama was inhibited by CrmA but not by an inactive point mutant of CrmA. Furthermore. CrmA blocked cleavage of PARP in cells undergoing apoptosis. We propose that Yama may represent an effector component of the mammalian cell death pathway and suggest that CrmA blocks …,True,xke6pR0AAAAJ:9yKSN-GCB0IC,2751,https://www.sciencedirect.com/science/article/pii/0092867495905413,15273477524992025835,/scholar?cites=15273477524992025835,,https://www.sciencedirect.com/science/article/pii/0092867495905413/pdf?md5=605d4c4f053fd31a4e836755af8109e2&pid=1-s2.0-0092867495905413-main.pdf&_valck=1,0
39213,Caspases: intracellular signaling by proteolysis,1997,Guy S Salvesen and Vishva M Dixit,91,,4,443-446,Elsevier,* Burnham Institute San Diego. California 92037† Department of Molecular Oncology endopeptidases. Caspase 1 is remarkably specific for Genentech Inc. the precursors of IL-1 and IL-18 (interferon--inducing South San Francisco. California 94080 factor). making a single initial cut in each procytokine that activates them and allows exit from the cytosol. Ectopic expression of caspase 1 in some cells can result The discovery of a novel proteolytic network in the cyto- in apoptosis. but a role in developmentally programmed sol of metazoan cells comes as a surprise to a field that cell death is unlikely given the normal phenotype of previously considered intracellular proteolysis to mainly knockout mice (see for example. Ghayur et al.. 1997). be a mechanism to process antigen or remove effete Processing of thecaspase 1 precursor. required foractiproteins. The network. supported by caspases. a family vation. is rarely …,True,xke6pR0AAAAJ:2osOgNQ5qMEC,2547,https://www.cell.com/cell/pdf/S0092-8674(00)80430-4.pdf,3523922253405051997,/scholar?cites=3523922253405051997,,https://www.cell.com/cell/pdf/S0092-8674(00)80430-4.pdf,0
39214,X-linked IAP is a direct inhibitor of cell-death proteases,1997,Quinn L Deveraux and Ryosuke Takahashi and Guy S Salvesen and John C Reed,388,Nature,6639,300-304,Nature Publishing Group,The inhibitor-of-apoptosis (IAP) family of genes has an evolutionarily conserved role in regulating programmed cell death in animals ranging from insects to humans 1. 2. 3. 4. 5. 6. Ectopic expression of human IAP proteins can suppress cell death induced by a variety of stimuli. but the mechanism of this inhibition was previously unknown. Here we show that human X-chromosome-linked IAP directly inhibits at least two members of the caspase family of cell-death proteases. caspase-3 and caspase-7. As the caspases are highly conserved throughout the animal kingdom and are the principal effectors of apoptosis 7. our findings suggest how IAPs might inhibit cell death. providing evidence for a mechanism of action for these mammalian cell-death suppressors.,True,xke6pR0AAAAJ:qjMakFHDy7sC,2431,https://www.nature.com/articles/40901/,10353092098957573483,/scholar?cites=10353092098957573483,,https://www.nature.com/articles/40901/,0
39215,IAP proteins: blocking the road to death's door,2002,Guy S Salvesen and Colin S Duckett,3,Nature reviews Molecular cell biology,6,401-410,Nature Publishing Group,The'inhibitor of apoptosis'(IAP) gene family. which was discovered less than a decade ago. encodes a group of structurally related proteins that. in addition to their ability to suppress apoptotic cell death. are involved in an increasing number of seemingly unrelated cellular functions. Here. we review the functional and structural properties of this fascinating group of proteins. and of several recently identified IAP-binding factors that regulate IAP function.,True,xke6pR0AAAAJ:IjCSPb-OGe4C,2262,https://www.nature.com/articles/nrm830,1405986812751222589,/scholar?cites=1405986812751222589,,,0
39216,Human plasma proteinase inhibitors,1983,J Travis,52,Annu. Rev. Biochem.,,655-709,,"CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 … 
",True,xke6pR0AAAAJ:UeHWp8X0CEIC,2153,https://ci.nii.ac.jp/naid/80001770252/,14177650545711036342,/scholar?cites=14177650545711036342,,,0
39217,IAPs block apoptotic events induced by caspase‐8 and cytochrome c by direct inhibition of distinct caspases,1998,Quinn L Deveraux and Natalie Roy and Henning R Stennicke and Todd Van Arsdale and Qiao Zhou and Srinivasa M Srinivasula and Emad S Alnemri and Guy S Salvesen and John C Reed,17,The EMBO journal,8,2215-2223,John Wiley & Sons. Ltd,Inhibitor of apoptosis (IAP) gene products play an evolutionarily conserved role in regulating programmed cell death in diverse species ranging from insects to humans. Human XIAP. cIAP1 and cIAP2 are direct inhibitors of at least two members of the caspase family of cell death proteases: caspase‐3 and caspase‐7. Here we compared the mechanism by which IAPs interfere with activation of caspase‐3 and other effector caspases in cytosolic extracts where caspase activation was initiated by caspase‐8. a proximal protease activated by ligation of TNF‐family receptors. or by cytochrome c. which is released from mitochondria into the cytosol during apoptosis. These studies demonstrate that XIAP. cIAP1 and cIAP2 can prevent the proteolytic processing of pro‐caspases‐3.‐6 and‐7 by blocking the cytochrome c‐induced activation of pro‐caspase‐9. In contrast. these IAP family proteins did not prevent caspase‐8 …,True,xke6pR0AAAAJ:Tyk-4Ss8FVUC,1747,https://www.embopress.org/doi/full/10.1093/emboj/17.8.2215,17039673280114827430,/scholar?cites=17039673280114827430,,https://www.embopress.org/doi/full/10.1093/emboj/17.8.2215,0
