,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1115302,Air quality and exercise-related health benefits from reduced car travel in the midwestern United States,2012,Maggie L Grabow and Scott N Spak and Tracey Holloway and Brian Stone Jr and Adam C Mednick and Jonathan A Patz,120,Environmental health perspectives,1,68-76,National Institute of Environmental Health Sciences,Background: Automobile exhaust contains precursors to ozone and fine particulate matter (PM ≤ 2.5 µm in aerodynamic diameter; PM2.5). posing health risks. Dependency on car commuting also reduces physical fitness opportunities.Objective: In this study we sought to quantify benefits from reducing automobile usage for short urban and suburban trips.Methods: We simulated census-tract level changes in hourly pollutant concentrations from the elimination of automobile round trips ≤ 8 km in 11 metropolitan areas in the upper midwestern United States using the Community Multiscale Air Quality (CMAQ) model. Next. we estimated annual changes in health outcomes and monetary costs expected from pollution changes using the U.S. Environmental Protection Agency Benefits Mapping Analysis Program (BenMAP). In addition. we used the World Health Organization Health Economic Assessment Tool (HEAT) to …,True,yFS538MAAAAJ:9yKSN-GCB0IC,239,https://ehp.niehs.nih.gov/doi/abs/10.1289/ehp.1103440,3237037041376396048,/scholar?cites=3237037041376396048,,https://ehp.niehs.nih.gov/doi/full/10.1289/ehp.1103440?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,0,0,0
1115303,Forecasting urban PM10 and PM2. 5 pollution episodes in very stable nocturnal conditions and complex terrain using WRF–Chem CO tracer model,2011,Pablo E Saide and Gregory R Carmichael and Scott N Spak and Laura Gallardo and Axel E Osses and Marcelo A Mena-Carrasco and Mariusz Pagowski,45,Atmospheric Environment,16,2769-2780,Pergamon,This study presents a system to predict high pollution events that develop in connection with enhanced subsidence due to coastal lows. particularly in winter over Santiago de Chile. An accurate forecast of these episodes is of interest since the local government is entitled by law to take actions in advance to prevent public exposure to PM10 concentrations in excess of 150 μg m−3 (24 h running averages). The forecasting system is based on accurately simulating carbon monoxide (CO) as a PM10/PM2.5 surrogate. since during episodes and within the city there is a high correlation (over 0.95) among these pollutants. Thus. by accurately forecasting CO. which behaves closely to a tracer on this scale. a PM estimate can be made without involving aerosol-chemistry modeling. Nevertheless. the very stable nocturnal conditions over steep topography associated with maxima in concentrations are hard to represent in …,True,yFS538MAAAAJ:Y0pCki6q_DkC,199,https://www.sciencedirect.com/science/article/pii/S1352231011001178,12738810220641477990,/scholar?cites=12738810220641477990,,http://www.uchile.cl/documentos/forecasting-urban-pm10-and-pm25-pollution-episodes-in-very-stable-nocturnal-conditions-and-complex-terrain-using-wrf-chem-co-tracer-model_98291_3_2034.pdf,0,0,0
1115304,Is compact growth good for air quality?,2007,Brian Stone Jr and Adam C Mednick and Tracey Holloway and Scott N Spak,73,Journal of the American Planning Association,4,404-418,Taylor & Francis Group, Problem: Explicitly prohibited from regulating the land use planning activities of municipal and county governments by the Clean Air Act (42 U.S.C. 131). the U.S. Environmental Protection Agency (EPA) has been forced to pursue an end-of-the-pipe approach to air quality management that has not proved successful in fully reducing ozone and fine particulate matter below health-based standards in many large U.S. cities. The persistence of these pollutants. in combination with a rapid rise in vehicle travel in recent decades. has raised concerns within the planning and public health communities about the long-term success of an air quality management program that is effectively divorced from the land use planning process. Purpose: This work. which is part of an EPA-sponsored study titled Projecting the Impact of Land Use and Transportation on Future Air Quality (PLUTO). was intended to assess the effectiveness …,True,yFS538MAAAAJ:u5HHmVD_uO8C,191,https://www.tandfonline.com/doi/abs/10.1080/01944360708978521,2314429970128977079,/scholar?cites=2314429970128977079,,https://www.academia.edu/download/50424108/5._Is_Compact_Growth_Good_for_Air_Quality.pdf,0,0,0
1115305,Increased estimates of air-pollution emissions from Brazilian sugar-cane ethanol,2012,CC Tsao and JE Campbell and M Mena-Carrasco and SN Spak and GR Carmichael and Y Chen,2,Nature Climate Change,1,53-57,Nature Publishing Group,Accelerating biofuel production has been promoted as an opportunity to enhance energy security. offset greenhouse-gas emissions and support rural economies. However. large uncertainties remain in the impacts of biofuels on air quality and climate 1. 2. Sugar-cane ethanol is one of the most widely used biofuels. and Brazil is its largest producer 3. Here we use a life-cycle approach to produce spatially and temporally explicit estimates of air-pollutant emissions over the whole life cycle of sugar-cane ethanol in Brazil. We show that even in regions where pre-harvest field burning has been eliminated on half the croplands. regional emissions of air pollutants continue to increase owing to the expansion of sugar-cane growing areas. and burning continues to be the dominant life-cycle stage for emissions. Comparison of our estimates of burning-phase emissions with satellite estimates of burning in São Paulo state …,True,yFS538MAAAAJ:IjCSPb-OGe4C,90,https://www.nature.com/articles/nclimate1325,16885148128489336016,/scholar?cites=16885148128489336016,,https://www.researchgate.net/profile/Yihsu_Chen/publication/237534352_Increased_Estimates_of_Air-pollution_Emissions_from_Brazilian_Sugar-cane_Ethanol/links/5515b5ea0cf2b5d6a0eb9efb/Increased-Estimates-of-Air-pollution-Emissions-from-Brazilian-Sugar-cane-Ethanol.pdf,0,0,0
1115306,Assessing regional scale predictions of aerosols. marine stratocumulus. and their interactions during VOCALS-REx using WRF-Chem,2011,Qing Yang and WI Gustafson Jr and Jerome D Fast and Hailong Wang and Richard C Easter and H Morrison and Y-N Lee and Elaine G Chapman and SN Spak and MA Mena-Carrasco,11,Atmospheric Chemistry and Physics,23,11951-11975,Copernicus GmbH, This study assesses the ability of the recent chemistry version (v3.3) of the Weather Research and Forecasting (WRF-Chem) model to simulate boundary layer structure. aerosols. stratocumulus clouds. and energy fluxes over the Southeast Pacific Ocean. Measurements from the VAMOS Ocean-Cloud-Atmosphere-Land Study Regional Experiment (VOCALS-REx) and satellite retrievals (i.e.. products from the MODerate resolution Imaging Spectroradiometer (MODIS). Clouds and Earth's Radiant Energy System (CERES). and GOES-10) are used for this assessment. The Morrison double-moment microphysics scheme is newly coupled with interactive aerosols in the model. The 31-day (15 October–16 November 2008) WRF-Chem simulation with aerosol-cloud interactions (AERO hereafter) is also compared to a simulation (MET hereafter) with fixed cloud droplet number concentrations in the microphysics scheme and simplified cloud and aerosol treatments in the radiation scheme. The well-simulated aerosol quantities (aerosol number. mass composition and optical properties). and the inclusion of full aerosol-cloud couplings lead to significant improvements in many features of the simulated stratocumulus clouds: cloud optical properties and microphysical properties such as cloud top effective radius. cloud water path. and cloud optical thickness. In addition to accounting for the aerosol direct and semi-direct effects. these improvements feed back to the simulation of boundary-layer characteristics and energy budgets. Particularly. inclusion of interactive aerosols in AERO strengthens the temperature and humidity gradients within the capping …,True,yFS538MAAAAJ:Tyk-4Ss8FVUC,90,https://acp.copernicus.org/articles/11/11951/2011/,12788982271961998922,/scholar?cites=12788982271961998922,,https://acp.copernicus.org/articles/11/11951/2011/acp-11-11951-2011.pdf,0,0,0
1115307,A comparison of statistical and dynamical downscaling for surface temperature in North America,2007,Scott Spak and Tracey Holloway and Barry Lynn and Richard Goldberg,112,Journal of Geophysical Research: Atmospheres,D8,,,Projections from general circulation model (GCM) simulations must be downscaled to the high spatial resolution needed for assessing local and regional impacts of climate change. but uncertainties in the downscaling process are difficult to quantify. We employed a multiple linear regression model and the MM5 dynamical model to downscale June. July. and August monthly mean surface temperature over eastern North America under greenhouse gas‐driven climate change simulation by the NASA GISS GCM. Here we examine potential sources of apparent agreement between the two classes of models and show that arbitrary parameters in a statistical model contribute significantly to the level of agreement with dynamical downscaling. We found that the two methods and all permutations of regression parameters generally exhibited comparable skill at simulating observations. although spatial patterns in …,True,yFS538MAAAAJ:u-x6o8ySG0sC,80,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005JD006712,9057798837458440404,/scholar?cites=9057798837458440404,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2005JD006712,0,0,0
1115308,Evaluating WRF-Chem aerosol indirect effects in Southeast Pacific marine stratocumulus during VOCALS-REx,2012,PE Saide and SN Spak and GR Carmichael and MA Mena-Carrasco and Q Yang and S Howell and DC Leon and JR Snider and AR Bandy and JL Collett and KB Benedict and SP de Szoeke and LN Hawkins and G Allen and I Crawford and J Crosier and SR Springston,12,Atmospheric Chemistry and Physics,,3045-3064,, We evaluate a regional-scale simulation with the WRF-Chem model for the VAMOS (Variability of the American Monsoon Systems) Ocean-Cloud-Atmosphere-Land Study Regional Experiment (VOCALS-REx). which sampled the Southeast Pacific's persistent stratocumulus deck. Evaluation of VOCALS-REx ship-based and three aircraft observations focuses on analyzing how aerosol loading affects marine boundary layer (MBL) dynamics and cloud microphysics. We compare local time series and campaign-averaged longitudinal gradients. and highlight differences in model simulations with (W) and without (NW) wet deposition processes. The higher aerosol loadings in the NW case produce considerable changes in MBL dynamics and cloud microphysics. in accordance with the established conceptual model of aerosol indirect effects. These include increase in cloud albedo. increase in MBL and cloud heights. drizzle suppression. increase in liquid water content. and increase in cloud lifetime. Moreover. better statistical representation of aerosol mass and number concentration improves model fidelity in reproducing observed spatial and temporal variability in cloud properties. including top and base height. droplet concentration. water content. rain rate. optical depth (COD) and liquid water path (LWP). Together. these help to quantify confidence in WRF-Chem's modeled aerosol-cloud interactions. especially in the activation parameterization. while identifying structural and parametric uncertainties including: irreversibility in rain wet removal; overestimation of marine DMS and sea salt emissions. and accelerated aqueous sulfate conversion. Our …,True,yFS538MAAAAJ:sSrBHYA8nusC,73,https://acp.copernicus.org/articles/12/3045/2012/,845002376260350725,/scholar?cites=845002376260350725,,https://acp.copernicus.org/articles/12/3045/2012/acp-12-3045-2012.pdf,0,0,0
1115309,Uncontrolled combustion of shredded tires in a landfill–Part 1: Characterization of gaseous and particulate emissions,2015,Jared Downard and Ashish Singh and Robert Bullard and Thilina Jayarathne and Chathurika M Rathnayake and Donald L Simmons and Brian R Wels and Scott N Spak and Thomas Peters and Douglas Beardsley and Charles O Stanier and Elizabeth A Stone,104,Atmospheric Environment,,195-204,Pergamon,In summer 2012. a landfill liner comprising an estimated 1.3 million shredded tires burned in Iowa City. Iowa. During the fire. continuous monitoring and laboratory measurements were used to characterize the gaseous and particulate emissions and to provide new insights into the qualitative nature of the smoke and the quantity of pollutants emitted. Significant enrichments in ambient concentrations of CO. CO2. SO2. particle number (PN). fine particulate (PM2.5) mass. elemental carbon (EC). and polycyclic aromatic hydrocarbons (PAH) were observed. For the first time. PM2.5 from tire combustion was shown to contain PAH with nitrogen heteroatoms (a.k.a. azaarenes) and picene. a compound previously suggested to be unique to coal-burning. Despite prior laboratory studies' findings. metals used in manufacturing tires (i.e. Zn. Pb. Fe) were not detected in coarse particulate matter (PM10) at a distance of 4.2 km …,True,yFS538MAAAAJ:70eg2SAEIzsC,66,https://www.sciencedirect.com/science/article/pii/S1352231014010073,4959591407086023692,/scholar?cites=4959591407086023692,,https://www.sciencedirect.com/science/article/pii/S1352231014010073,0,0,0
1115310,Impacts of transported background ozone on California air quality during the ARCTAS-CARB period–a multi-scale modeling study,2010,M Huang and GR Carmichael and B Adhikary and SN Spak and S Kulkarni and YF Cheng and C Wei and Y Tang and DD Parrish and SJ Oltmans and A D'allura and A Kaduwela and C Cai and AJ Weinheimer and M Wong and RB Pierce and JA Al-Saadi and DG Streets and Q Zhang,10,Atmospheric Chemistry and Physics,14,6947-6968,Copernicus GmbH, Multi-scale tracer and full-chemistry simulations with the STEM atmospheric chemistry model are used to analyze the effects of transported background ozone (O3) from the eastern Pacific on California air quality during the ARCTAS-CARB experiment conducted in June. 2008. Previous work has focused on the importance of long-range transport of O3 to North America air quality in springtime. However during this summer experiment the long-range transport of O3 is also shown to be important. Simulated and observed O3 transport patterns from the coast to inland northern California are shown to vary based on meteorological conditions and the O3 profiles over the oceans. which are strongly episodically affected by Asian inflows. Analysis of the correlations of O3 at various altitudes above the coastal site at Trinidad Head and at a downwind surface site in northern California. show that under long-range transport events. high O3 air-masses (O3>60 ppb) at altitudes between about 2 and 4 km can be transported inland and can significantly influence surface O3 20–30 h later. These results show the importance of characterizing the vertical structure of the lateral boundary conditions (LBC) needed in air quality simulations. The importance of the LBC on O3 prediction during this period is further studied through a series of sensitivity studies using different forms of LBC. It is shown that the use of the LBC downscaled from RAQMS global model that assimilated MLS and OMI data improves the model performance. We also show that the predictions can be further improved through the use of LBC based on NASA DC-8 airborne observations during the …,True,yFS538MAAAAJ:d1gkVwhDpl0C,58,https://acp.copernicus.org/articles/10/6947/2010/,9339871234888308296,/scholar?cites=9339871234888308296,,https://acp.copernicus.org/articles/10/6947/2010/acp-10-6947-2010.pdf,0,0,0
1115311,Central American biomass burning smoke can increase tornado severity in the US,2015,PE Saide and SN Spak and RB Pierce and JA Otkin and TK Schaack and AK Heidinger and AM Da Silva and M Kacenelenbogen and J Redemann and GR Carmichael,42,Geophysical research letters,3,956-965,John Wiley & Sons. Ltd,Tornadoes in the Southeast and central US are episodically accompanied by smoke from biomass burning in central America. Analysis of the 27 April 2011 historical tornado outbreak shows that adding smoke to an environment already conducive to severe thunderstorm development can increase the likelihood of significant tornado occurrence. Numerical experiments indicate that the presence of smoke during this event leads to optical thickening of shallow clouds while soot within the smoke enhances the capping inversion through radiation absorption. The smoke effects are consistent with measurements of clouds and radiation before and during the outbreak. These effects result in lower cloud bases and stronger low‐level wind shear in the warm sector of the extratropical cyclone generating the outbreak. two indicators of higher probability of tornadogenesis and tornado intensity and longevity. These …,True,yFS538MAAAAJ:g5m5HwL7SMYC,56,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2014GL062826@10.1002/(ISSN)1944-8007.2015EdHighlights,16088884867029647215,/scholar?cites=16088884867029647215,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014GL062826%4010.1002/%28ISSN%291944-8007.2015EdHighlights,0,0,0
