,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090276,Preparation of poly (1-vinylimidazole)-grafted magnetic nanoparticles and their application for removal of metal ions,2004,,,,,,,,False,wYkxnjIAAAAJ:LkGwnXOMwfcC,455,,,,,,,0,0,0
1090277,Functional organogel based on a salicylideneaniline derivative with enhanced fluorescence emission and photochromism,2007,,,,,,,,False,wYkxnjIAAAAJ:NaGl4SEjCO4C,188,,,,,,,0,0,0
1090278,FORMATION OF HELICAL SUPER STRUCTURE FROM SINGLE-WALLED BILAYERS BY AMPHIPHILES WITH OLIGO-L-GLUTAMIC ACID-HEAD GROUP,1984,,,,,,,,False,wYkxnjIAAAAJ:vV6vV6tmYwMC,173,,,,,,,0,0,0
1090279,Chirality Control of Self-Assembling Organogels from a Lipophilic l-Glutamide Derivative with Metal Chlorides,2002,,,,,,,,False,wYkxnjIAAAAJ:-DxkuPiZhfEC,128,,,,,,,0,0,0
1090280,Self-Assembled Fibrillar Networks through Highly Oriented Aggregates of Porphyrin and Pyrene Substituted by Dialkyl l-Glutamine in Organic Media,2002,,,,,,,,False,wYkxnjIAAAAJ:oi2SiIJ9l4AC,125,,,,,,,0,0,0
1090281,New poly (ionic liquid)-grafted silica multi-mode stationary phase for anion-exchange/reversed-phase/hydrophilic interaction liquid chromatography,2012,,,,,,,,False,wYkxnjIAAAAJ:AHdEip9mkN0C,119,,,,,,,0,0,0
1090282,Structures and binding energies of benzene–methane and benzene–benzene complexes. An ab initio SCF/MP2 study,1993,,,,,,,,False,wYkxnjIAAAAJ:Wp0gIr-vW9MC,105,,,,,,,0,0,0
1090283,Induction of strong and tunable circularly polarized luminescence of nonchiral. nonmetal. low‐molecular‐weight fluorophores using chiral nanotemplates,2017,,,,,,,,False,wYkxnjIAAAAJ:rbm3iO8VlycC,102,,,,,,,0,0,0
1090284,Helical superstructure of conductive polymers as created by electrochemical polymerization by using synthetic lipid assemblies as a template,2004,,,,,,,,False,wYkxnjIAAAAJ:5Ul4iDaHHb8C,101,,,,,,,0,0,0
1090285,Preparation of carbon/TiO2 microsphere composites from cellulose/TiO2 microsphere composites and their evaluation,2002,,,,,,,,False,wYkxnjIAAAAJ:hkOj_22Ku90C,100,,,,,,,0,0,0
1090286,Investigation of π–π and ion–dipole interactions on 1-allyl-3-butylimidazolium ionic liquid-modified silica stationary phase in reversed-phase liquid chromatography,2010,,,,,,,,False,wYkxnjIAAAAJ:OTTXONDVkokC,95,,,,,,,0,0,0
1090287,New strategy for drastic enhancement of selectivity via chemical modification of counter anions in ionic liquid polymer phase,2010,,,,,,,,False,wYkxnjIAAAAJ:AvfA0Oy_GE0C,82,,,,,,,0,0,0
1090288,Phase separation and reactivity changes of phenyl ester substrate and imidazole catalyst in the dialkylammonium bilayer membrane,1983,,,,,,,,False,wYkxnjIAAAAJ:9vf0nzSNQJEC,82,,,,,,,0,0,0
1090289,A new imidazolium-embedded C18 stationary phase with enhanced performance in reversed-phase liquid chromatography,2012,,,,,,,,False,wYkxnjIAAAAJ:YsMSGLbcyi4C,80,,,,,,,0,0,0
1090290,New surface-confined ionic liquid stationary phases with enhanced chromatographic selectivity and stability by co-immobilization of polymerizable anion and cation pairs,2012,,,,,,,,False,wYkxnjIAAAAJ:ldfaerwXgEUC,78,,,,,,,0,0,0
1090291,Effect of photopolymerization on the morphology of helical supramolecular assemblies,1992,,,,,,,,False,wYkxnjIAAAAJ:KbBQZpvPDL4C,78,,,,,,,0,0,0
1090292,Conformational change in DNA induced by cationic bilayer membranes,1996,,,,,,,,False,wYkxnjIAAAAJ:MAUkC_7iAq8C,77,,,,,,,0,0,0
1090293,Kinetics of Helix‐Handedness Inversion: Folding and Unfolding in Aromatic Amide Oligomers,2008,,,,,,,,False,wYkxnjIAAAAJ:JoZmwDi-zQgC,76,,,,,,,0,0,0
1090294,Lipid membrane analogs. Specific retention behavior in comb-shaped telomer-immobilized porous silica gels,1992,,,,,,,,False,wYkxnjIAAAAJ:yMeIxYmEMEAC,73,,,,,,,0,0,0
1090295,Self‐Assembly of a Chiral Lipid Gelator Controlled by Solvent and Speed of Gelation,2009,,,,,,,,False,wYkxnjIAAAAJ:EPG8bYD4jVwC,70,,,,,,,0,0,0
1090296,Facile synthesis of high-density poly (octadecyl acrylate)-grafted silica for reversed-phase high-performance liquid chromatography by surface-initiated atom transfer radical …,2008,,,,,,,,False,wYkxnjIAAAAJ:RHpTSmoSYBkC,67,,,,,,,0,0,0
1090297,Solvent dependence of helix stability in aromatic oligoamide foldamers,2012,,,,,,,,False,wYkxnjIAAAAJ:86PQX7AUzd4C,66,,,,,,,0,0,0
1090298,Enantioselective recognition by a highly ordered porphyrin-assembly on a chiral molecular gel,2012,,,,,,,,False,wYkxnjIAAAAJ:uWiczbcajpAC,66,,,,,,,0,0,0
1090299,Crystalline polymer on silica. Geometrical selectivity for azobenzenes through highly-oriented structure,1999,,,,,,,,False,wYkxnjIAAAAJ:1yQoGdGgb4wC,65,,,,,,,0,0,0
1090300,Hybrid self-assembly of a π gelator and fullerene derivative with photoinduced electron transfer for photocurrent generation,2010,,,,,,,,False,wYkxnjIAAAAJ:3NQIlFlcGxIC,64,,,,,,,0,0,0
