1092510,The anti-inflammatory effects of exercise: mechanisms and implications for the prevention and treatment of disease,2011,"['M Gleeson', 'NC Bishop', 'DJ Stensel']",KzgzuMoAAAAJ | Goj-2dkAAAAJ | P0r5qIAAAAAJ,,,,,,Regular exercise reduces the risk of chronic metabolic and cardiorespiratory diseases. in part because exercise exerts anti-inflammatory effects. However. these effects are also likely to be responsible for the suppressed immunity that makes elite athletes more susceptible to,False,,1523,https://www.nature.com/articles/nri3041,,"/scholar?cites=16969019458944455828&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/Michael_Gleeson/publication/51548683_The_anti-inflammatory_effects_of_exercise_Mechanisms_and_implications_for_the_prevention_and_treatment_of_disease/links/0d1c84f9501ec70b5c000000/The-anti-inflammatory-effects-of-exercise-Mechanisms-and-implications-for-the-prevention-and-treatment-of-disease.pdf,0,0,0
1092511,Plasmacytoid dendritic cells: sensing nucleic acids in viral infection and autoimmune diseases,2008,"['M Gilliet', 'W Cao', 'YJ Liu']",LO2b5k4AAAAJ | G0YeaoAAAAAJ | EfpBkNAAAAAJ,,,,,,Plasmacytoid dendritic cells (pDCs) are important mediators of antiviral immunity through their ability to produce large amounts of type I interferons (IFNs) on viral infection. This function of pDCs is linked to their expression of Toll-like receptor 7 (TLR7) and TLR9. which,False,,1220,https://www.nature.com/articles/nri2358/briefing/signup/,,"/scholar?cites=6035982537057941006&as_sdt=5,33&sciodt=0,33&hl=en",https://www.researchgate.net/profile/Michel_Gilliet/publication/51415729_Plasmacytoid_dendritic_cells_Sensing_nucleic_acids_in_viral_infection_and_autoimmune_diseases/links/02bfe50ef291c4afaf000000/Plasmacytoid-dendritic-cells-Sensing-nucleic-acids-in-viral-infection-and-autoimmune-diseases.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092512,Structural basis of toll-like receptor 3 signaling with double-stranded RNA,2008,"['L Liu', 'I Botos', 'Y Wang', 'JN Leonard', 'J Shiloach']", |  |  | gyJ2GeAAAAAJ | ,,,,,,Toll-like receptor 3 (TLR3) recognizes double-stranded RNA (dsRNA). a molecular signature of most viruses. and triggers inflammatory responses that prevent viral spread. TLR3 ectodomains (ECDs) dimerize on oligonucleotides of at least 40 to 50 base pairs in,False,,730,https://science.sciencemag.org/content/320/5874/379.abstract,,"/scholar?cites=4600775260183642511&as_sdt=5,33&sciodt=0,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2761030/,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092513,Innate immune sensing of pathogens and danger signals by cell surface Toll-like receptors,2007,['K Miyake'],,,,,,,The Toll family of receptors consists of cell surface TLRs (TLR4/MD-2. TLR1. TLR2. and TLR6) and intracellular TLRs (TLR3. TLR7. TLR8. and TLR9). Cell surface TLRs sense microbial membranes such as lipopolysaccharide or lipopeptides. Recognition by TLRs is,False,,599,https://www.sciencedirect.com/science/article/pii/S1044532306001229?casa_token=jD-j6PEFeH4AAAAA:J9xfXbvhAwqWFNLEO0CmfJOJL2C8COal598n_JqI97tKYy-Ie-CLHEubuMaWWUpT-Ga9kWUSD5E,,"/scholar?cites=11703558366168859495&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S1044532306001229?casa_token=jD-j6PEFeH4AAAAA:J9xfXbvhAwqWFNLEO0CmfJOJL2C8COal598n_JqI97tKYy-Ie-CLHEubuMaWWUpT-Ga9kWUSD5E,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092514,Anisakis simplex: from obscure infectious worm to inducer of immune hypersensitivity,2008,"['MT Audicana', 'MW Kennedy']", | ,,,,,,Infection of humans with the nematode worm parasite Anisakis simplex was first described in the 1960s in association with the consumption of raw or undercooked fish. During the 1990s it was realized that even the ingestion of dead worms in food fish can cause severe,False,,591,https://cmr.asm.org/content/21/2/360.short,,"/scholar?cites=12995142088713979586&as_sdt=5,33&sciodt=0,33&hl=en",https://cmr.asm.org/content/cmr/21/2/360.full.pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1092515,Pattern recognition receptors and the innate immune response to viral infection,2011,"['MR Thompson', 'JJ Kaminski', 'EA Kurt-Jones']", |  | ,,,,,,The innate immune response to viral pathogens is critical in order to mobilize protective immunity. Cells of the innate immune system detect viral infection largely through germline-encoded pattern recognition receptors (PRRs) present either on the cell surface or within,False,,591,https://www.mdpi.com/1999-4915/3/6/920,,"/scholar?cites=14954949908343602300&as_sdt=5,33&sciodt=0,33&hl=en",https://www.mdpi.com/1999-4915/3/6/920/pdf,0,0,0
,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
