,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1054662,Upconversion based temperature sensing ability of Er3+–Yb3+ codoped SrWO4: an optical heating phosphor,2015,Anurag Pandey and Vineet Kumar Rai and Vinod Kumar and Vijay Kumar and HC Swart,209,Sensors and Actuators B: Chemical,,352-358,Elsevier,The present paper covers a detail explanation about the laser induced optical heating and temperature sensing ability of intense green upconversion emitting Er3+–Yb3+ codoped SrWO4 phosphor. The structural studies based on X-ray diffraction and Fourier transform infrared analysis confirmed the phase formation. crystallinity and the presence of vibrational bands of the corresponding host lattice. The optical investigation was performed by recording the diffuse reflectance and upconversion emission spectra upon a 980 nm excitation. Multiphoton upconversion processes were confirmed by pump power dependence study for the various emission bands throughout the visible region. Optical thermometry has been performed using the fluorescence intensity ratio technique in which two thermally coupled levels of the green emission bands were used. A relatively low temperature (518 K) sensor with very high …,True,rIZN3aQAAAAJ:-mN3Mh-tlDkC,246,https://www.sciencedirect.com/science/article/pii/S0925400514015214,13824483198577312123,/scholar?cites=13824483198577312123,,https://www.academia.edu/download/47360956/Upconversion_based_temperature_sensing_a20160719-6723-v0qp52.pdf,0,0,0
1054664,Origin of the red emission in zinc oxide nanophosphors,2013,Vinod Kumar and HC Swart and OM Ntwaeaborwa and RE Kroon and JJ Terblans and SKK Shaat and A Yousif and MM Duvenhage,101,Materials Letters,,57-60,North-Holland,UV and orange-red light emitting zinc oxide nano-phosphors (ZnO NPr) were synthesised by a combustion method using zinc nitrate and zinc acetate as precursors and urea as a fuel. Hexagonal wurtzite structures of ZnO were synthesised. X-ray photoelectron spectroscopy (XPS) indicated that the O1s peak consist of three components: O1 (ZnO). O2 (deficient oxygen; OH groups) and O3 (adsorbed species) centred at 530.3. 531.2 and 532.6 eV. respectively. A broad orange-red emission from 500 to 850 nm was obtained from the ZnO NPr prepared with the nitrate precursor which may be attributed to different kinds of defects. and a sharp UV band. due to the possible passivation of defects. at 392 nm from ZnO NPr prepared with acetate precursor.,True,rIZN3aQAAAAJ:hMsQuOkrut0C,212,https://www.sciencedirect.com/science/article/pii/S0167577X13004011,15935502768807231670,/scholar?cites=15935502768807231670,,,0,0,0
1054666,Defect correlated fluorescent quenching and electron phonon coupling in the spectral transition of Eu3+ in CaTiO3 for red emission in display application,2014,S Som and AK Kunti and Vinod Kumar and Vijay Kumar and S Dutta and M Chowdhury and SK Sharma and JJ Terblans and HC Swart,115,Journal of Applied Physics,19,193101,American Institute of Physics,This paper reports on the defect correlated self-quenching and spectroscopic investigation of calcium titanate (CaTiO3) phosphors. A series of CaTiO3 phosphors doped with trivalent europium (Eu3+) and codoped with potassium (K+) ions were prepared by the solid state reaction method. The X-ray diffraction results revealed that the obtained powder phosphors consisted out of a single-phase orthorhombic structure and it also indicated that the incorporation of the dopants/co-dopants did not affect the crystal structure. The scanning electron microscopy images revealed the irregular morphology of the prepared phosphors consisting out of μm sized diameter particles. The Eu3+ doped phosphors illuminated with ultraviolet light showed the characteristic red luminescence corresponding to the 5D0→7FJ transitions of Eu3+. As a charge compensator. K+ ions were incorporated into the CaTiO3:Eu3+ phosphors. which …,True,rIZN3aQAAAAJ:QD3KBmkZPeQC,199,https://aip.scitation.org/doi/abs/10.1063/1.4876316,15021858914288677600,/scholar?cites=15021858914288677600,,https://www.researchgate.net/profile/Vijay_Kumar155/publication/262416940_Defect_correlated_fluorescent_quenching_and_electron_phonon_coupling_in_the_spectral_transition_of_Eu3_in_CaTiO3_for_red_emission_in_display_application/links/0a85e5374c8a7c64ac000000/Defect-correlated-fluorescent-quenching-and-electron-phonon-coupling-in-the-spectral-transition-of-Eu3-in-CaTiO3-for-red-emission-in-display-application.pdf,0,0,0
1054668,Advances in field emission displays phosphors,1999,PH Holloway and TA Trottier and B Abrams and C Kondoleon and SL Jones and JS Sebastian and WJ Thomes and Hendrik Swart,17,"Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures Processing, Measurement, and Phenomena",2,758-764,American Vacuum Society,Recent advances in the phosphors used for field emission displays (FEDs) are discussed. After reviewing the range of voltages and phosphors being used in first generation devices. the improved properties of future generation phosphors are reviewed. Specifically. next generation displays will require better low voltage efficiencies. chromaticity. saturation behavior. and maintenance. Possible routes to achieve these improvements are discussed. The improved understanding of the role of charging and surface recombination effects on cathodoluminescent intensity and efficiency is reviewed. An improved understanding of electron beam-stimulated surface chemical reaction effects on the degradation of phosphor is presented. It is concluded that recent research efforts have created a new level of understanding of FED phosphors. and this should lead to the necessary improvements in properties.,True,rIZN3aQAAAAJ:u5HHmVD_uO8C,194,https://avs.scitation.org/doi/abs/10.1116/1.590634,9705475081712444433,/scholar?cites=9705475081712444433,,,0,0,0
1054670,Degradation of zinc sulfide phosphors under electron bombardment,1996,HC Swart and JS Sebastian and TA Trottier and SL Jones and PH Holloway,14,"Journal of Vacuum Science & Technology A: Vacuum, Surfaces, and Films",3,1697-1703,American Vacuum Society,ZnS phosphor powders have been subjected to electron bombardment (2 keV. 2 mA/cm2) at a residual gas pressure of 1.2×10−8 Torr and oxygen pressures of 10−6 Torr. Auger electron spectroscopy and cathodoluminescence (CL). both excited by the same electron beam were used to monitor changes in surface state and luminous efficiency during electron bombardment. A direct correlation between the surface reactions and the degradation of CL brightness was observed. Both C and S were depleted from the surface during electron bombardment. The postulated mechanism for the electron stimulated reactions on the phosphor surface is electron beam dissociation of molecular species to atomic species which subsequently react with C to form volatile compounds (COx. CH4. etc.) and with ZnS to form a nonluminescence layer of either ZnO or ZnSO4. The growth in thickness of the nonluminescence surface …,True,rIZN3aQAAAAJ:u-x6o8ySG0sC,158,https://avs.scitation.org/doi/abs/10.1116/1.580322,1598413715277582154,/scholar?cites=1598413715277582154,,,0,0,0
1054672,The energy transfer phenomena and colour tunability in Y 2 O 2 S: Eu 3+/Dy 3+ micro-fibers for white emission in solid state lighting applications,2014,S Som and P Mitra and Vijay Kumar and Vinod Kumar and JJ Terblans and HC Swart and SK Sharma,43,Dalton Transactions,26,9860-9871,Royal Society of Chemistry,This paper reports on the structural. optical and photometric characterization of an Eu3+/Dy3+ doped yttrium oxysulfide phosphor (Y2O2S:Eu3+/Dy3+) for near white emission in solid state lighting. A series of Y2O2S phosphors doped with Eu3+/Dy3+ were prepared by the hydrothermal method. The microstructures of the as-synthesized phosphors were investigated by X-ray diffraction (XRD) and scanning electron microscopy (SEM). The XRD results reveal that the obtained powder phosphors have a single-phase hexagonal structure and also indicate that the incorporation of the dopants/co-dopants did not affect the crystal structure. The SEM images reveal the morphology of the prepared phosphors as an intense interpenetrating network of interconnected micro-fibers with a diameter of about 0.15 μm. The band gap of the phosphors was calculated from diffuse reflectance spectra using the Kubelka–Munk function …,True,rIZN3aQAAAAJ:LgRImbQfgY4C,157,https://pubs.rsc.org/lv/content/articlehtml/2014/dt/c4dt00349g,12336974004696263374,/scholar?cites=12336974004696263374,,https://pubs.rsc.org/fi/content/getauthorversionpdf/C4DT00349G,0,0,0
1054674,Role of film thickness on the properties of ZnO thin films grown by sol-gel method,2013,Vinod Kumar and Neetu Singh and RM Mehra and Avinashi Kapoor and LP Purohit and HC Swart,539,Thin Solid Films,,161-165,Elsevier,This paper reports the effect of thickness on the structural. morphological and optical properties of zinc oxide (ZnO) films. Thickness of ZnO films varied from 98 to 366 nm with an increase in the number of deposition cycles. Surface morphological studies showed that the increase in the film thickness causes an increase in the grain size. Roughness of the films has increased from 5.8 to 47 nm with an increase in the film thickness from 98 to 366 nm. The band gap is observed to vary from 3.33 to 3.24 eV with change in the film thickness from 98 to 366 nm. Thickness of the film affected the overall properties of the ZnO films significantly. The large surface roughness makes ZnO films to be potentially used as electrode in solar cells and gas sensing applications.,True,rIZN3aQAAAAJ:oNZyr7d5Mn4C,131,https://www.sciencedirect.com/science/article/pii/S0040609013009036,1482254565444673455,/scholar?cites=1482254565444673455,,https://www.academia.edu/download/32729006/TSF.pdf,0,0,0
1054675,Introduction,2012,Kartik N Shinde and SJ Dhoble and HC Swart and Kyeongsoon Park,,,,1-39,Springer. Berlin. Heidelberg,,True,rIZN3aQAAAAJ:nrtMV_XWKgEC,128,,6310064116340178864,/scholar?cites=6310064116340178864,,,0,0,0
1054676,Enhanced upconversion and temperature sensing study of Er3+–Yb3+ codoped tungsten–tellurite glass,2014,Anurag Pandey and Sudipta Som and Vijay Kumar and Vinod Kumar and Kaushal Kumar and Vineet Kumar Rai and HC Swart,202,Sensors and Actuators B: Chemical,,1305-1312,Elsevier,This article reports on the visible upconversion and temperature sensing behaviour of Er3+–Yb3+ doped/codoped TeO2–WO3 glasses prepared by a melting and quenching method. The upconversion emissions have been observed throughout the visible and infrared region upon 980 nm and 808 nm excitations and assigned suitably from different transitions of the Er3+ ion. The emission intensities of the most intense green band have been enhanced on the co-doping with theYb3+ ions with about 5.92 and 3.99 times upon 980 and 808 nm excitations. respectively. The reason behind this improvement is explained on the basis of a power dependence study and an energy level structure. The colour tunability behaviour of the codoped glass has also been investigated upon both excitations. The temperature sensing performance of the prepared glass has been studied by using the fluorescence intensity ratio …,True,rIZN3aQAAAAJ:PaBasH6fAo0C,118,https://www.sciencedirect.com/science/article/pii/S0925400514007631,3623358829984793301,/scholar?cites=3623358829984793301,,https://www.academia.edu/download/41606238/Enhanced_upconversion_and_temperature_se20160126-12158-19jm3vb.pdf,0,0,0
1054678,Tunable and white emission from ZnO: Tb3+ nanophosphors for solid state lighting applications,2014,Vinod Kumar and S Som and Vijay Kumar and Vinay Kumar and OM Ntwaeaborwa and E Coetsee and HC Swart,255,Chemical Engineering Journal,,541-552,Elsevier,Terbium doped Zinc oxide (ZnO:Tb3+) nano-phosphors (NPr) with a hexagonal wurtzite structure were synthesised by a solution combustion method. X-ray photoelectron spectroscopy confirmed the formation of different kind of defects for the undoped and lower Tb doping concentrations and the formation of Tb2O3 at higher doping concentrations. A broadband orange-red emission ranging from 500 to 850 nm was obtained from the undoped ZnO while white light emission was observed from ZnO doped with 5 mol% of Tb. The colour of the emission of the ZnO:Tb3+ NPr was tuned by varying the concentrations of Tb3+ in the ZnO host. The ZnO:Tb3+ NPr have potential applications in solid state lighting.,True,rIZN3aQAAAAJ:MpfHP-DdYjUC,117,https://www.sciencedirect.com/science/article/pii/S138589471400758X,15039186948988983622,/scholar?cites=15039186948988983622,,,0,0,0
