,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1091226,Toll-like receptors and their crosstalk with other innate receptors in infection and immunity,2011,"['T Kawai', 'S Akira']", | 0TG2laoAAAAJ,,,,,,Toll-like receptors (TLRs) are germline-encoded pattern recognition receptors (PRRs) that play a central role in host cell recognition and responses to microbial pathogens. TLR-mediated recognition of components derived from a wide range of pathogens and their role,False,,3125,https://www.sciencedirect.com/science/article/pii/S1074761311001907,,"/scholar?cites=7377228647384146331&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S1074761311001907,0,0,0
1091227,The origin. transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak–an update on the status,2020,"['YR Guo', 'QD Cao', 'ZS Hong', 'YY Tan', 'SD Chen']", |  |  |  | 1nN6Pl4AAAAJ,,,,,,An acute respiratory disease. caused by a novel coronavirus (SARS-CoV-2. previously known as 2019-nCoV). the coronavirus disease 2019 (COVID-19) has spread throughout China and received worldwide attention. On 30 January 2020. World Health Organization,False,,2507,https://link.springer.com/article/10.1186/s40779-020-00240-0,,"/scholar?cites=10615928722044394817&as_sdt=5,33&sciodt=0,33&hl=en",https://link.springer.com/article/10.1186/s40779-020-00240-0,0,0,0
1091228,Pathogen recognition by the innate immune system,2011,"['H Kumar', 'T Kawai', 'S Akira']",FmH7LksAAAAJ |  | 0TG2laoAAAAJ,,,,,,Microbial infection initiates complex interactions between the pathogen and the host. Pathogens express several signature molecules. known as pathogen-associated molecular patterns (PAMPs). which are essential for survival and pathogenicity. PAMPs are sensed by,False,,1933,https://www.tandfonline.com/doi/abs/10.3109/08830185.2010.529976,,"/scholar?cites=8668990322115570841&as_sdt=5,33&sciodt=0,33&hl=en",https://www.academia.edu/download/48618136/Iljazovic1_1.pdf,0,0,0
1091229,NF-κB signaling in inflammation,2017,"['T Liu', 'L Zhang', 'D Joo', 'SC Sun']", |  | 9_vPjOcAAAAJ | rrfl7UsAAAAJ,,,,,,The transcription factor NF-κB regulates multiple aspects of innate and adaptive immune functions and serves as a pivotal mediator of inflammatory responses. NF-κB induces the expression of various pro-inflammatory genes. including those encoding cytokines and,False,,1764,https://www.nature.com/articles/sigtrans201723,,"/scholar?cites=5097350091362732147&as_sdt=5,33&sciodt=0,33&hl=en",https://www.nature.com/articles/sigtrans201723,0,0,0
1091230,Vaccine adjuvants: putting innate immunity to work,2010,"['RL Coffman', 'A Sher', 'RA Seder']", |  | ,,,,,,Adjuvants enhance immunity to vaccines and experimental antigens by a variety of mechanisms. In the past decade. many receptors and signaling pathways in the innate immune system have been defined and these innate responses strongly influence the,False,,1467,https://www.sciencedirect.com/science/article/pii/S1074761310003626,,"/scholar?cites=14501423328313513011&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S1074761310003626,0,0,0
1091231,Toll-like receptor signaling pathways,2014,"['T Kawasaki', 'T Kawai']", | ,,,,,,Toll-like receptors (TLRs) play crucial roles in the innate immune system by recognizing pathogen-associated molecular patterns derived from various microbes. TLRs signal through the recruitment of specific adaptor molecules. leading to activation of the,False,,1404,https://www.frontiersin.org/articles/10.3389/fimmu.2014.00461/full?source=content_type%3Areact%7Cfirst_level_url%3Aarticle%7Csection%3Amain_content%7Cbutton%3Abody_link,,"/scholar?cites=8285139213360830750&as_sdt=5,33&sciodt=0,33&hl=en",https://www.frontiersin.org/articles/10.3389/fimmu.2014.00461/full?source=content_type%3Areact%7Cfirst_level_url%3Aarticle%7Csection%3Amain_content%7Cbutton%3Abody_link,0,0,0
1091232,Control of adaptive immunity by the innate immune system,2015,"['A Iwasaki', 'R Medzhitov']", | 7oY-qF4AAAAJ,,,,,,Microbial infections are recognized by the innate immune system both to elicit immediate defense and to generate long-lasting adaptive immunity. To detect and respond to vastly different groups of pathogens. the innate immune system uses several recognition systems,False,,1286,https://www.nature.com/ni/journal/v16/n4/full/ni.3123.html,,"/scholar?cites=3039521065452473606&as_sdt=5,33&sciodt=0,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4507498/?source=post_page---------------------------,0,0,0
1091233,Osteoarthritis as an inflammatory disease (osteoarthritis is not osteoarthrosis!),2013,['F Berenbaum'],PrmXwlYAAAAJ,,,,,,Osteoarthritis (OA) has long been considered a “wear and tear” disease leading to loss of cartilage. OA used to be considered the sole consequence of any process leading to increased pressure on one particular joint or fragility of cartilage matrix. Progress in,False,,1197,https://www.sciencedirect.com/science/article/pii/S1063458412010254,,"/scholar?cites=1267301050133109285&as_sdt=5,33&sciodt=0,33&hl=en",https://www.sciencedirect.com/science/article/pii/S1063458412010254,0,0,0
1091234,Mitogen-activated protein kinases in innate immunity,2013,"['JSC Arthur', 'SC Ley']",pAQSRSMAAAAJ | P6V_ZAEAAAAJ,,,,,,Following pathogen infection or tissue damage. the stimulation of pattern recognition receptors on the cell surface and in the cytoplasm of innate immune cells activates members of each of the major mitogen-activated protein kinase (MAPK) subfamilies—the extracellular,False,,1079,https://www.nature.com/articles/nri3495,,"/scholar?cites=3220522439555079217&as_sdt=5,33&sciodt=0,33&hl=en",,0,0,0
1091235,Trained immunity: a program of innate immune memory in health and disease,2016,"['MG Netea', 'LAB Joosten', 'E Latz', 'KHG Mills']",AEf6yccAAAAJ | cPEKrI0AAAAJ | PlEv530AAAAJ | 2cCoSAwAAAAJ,,,,,,BACKGROUND Host immune responses are classically divided into innate immune responses. which react rapidly and nonspecifically upon encountering a pathogen. and adaptive immune responses. which are slower to develop but are specific and build up,False,,1113,https://science.sciencemag.org/content/352/6284/aaf1098.abstract,,"/scholar?cites=14543399377346311863&as_sdt=5,33&sciodt=0,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5087274/,0,0,0
