,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1274599,Data clustering: a review,1999,Anil K Jain and M Narasimha Murty and Patrick J Flynn,31,ACM computing surveys (CSUR),3,264-323,Acm,Clustering is the unsupervised classification of patterns (observations. data items. or feature vectors) into groups (clusters). The clustering problem has been addressed in many contexts and by researchers in many disciplines; this reflects its broad appeal and usefulness as one of the steps in exploratory data analysis. However. clustering is a difficult problem combinatorially. and differences in assumptions and contexts in different communities has made the transfer of useful generic concepts and methodologies slow to occur. This paper presents an overview of pattern clustering methods from a statistical pattern recognition perspective. with a goal of providing useful advice and references to fundamental concepts accessible to the broad community of clustering practitioners. We present a taxonomy of clustering techniques. and identify  cross-cutting themes and recent advances. We also describe some important …,True,g-_ZXGsAAAAJ:ZZwcLRaXOV4C,17468,https://dl.acm.org/doi/abs/10.1145/331499.331504,16217999797896335,/scholar?cites=16217999797896335,,,https://www.cs.tau.ac.il/~fiat/DataMine05/p264-jain.pdf,0,0,0
1274600,Algorithms for Clustering Data,1988,Anil K Jain and Richard C Dubes,,,,,,"ACM Digital Library home. ACM home. Google. Inc. (search). Advanced Search; Browse; About;
Sign in; Register. Advanced Search; Journals; Magazines; Proceedings; Books; SIGs; Conferences;
People; More: Search ACM Digital Library. SearchSearch. Advanced Search. 10.5555/46712
guidebooksArticle/Chapter ViewAbstractPublication PagesBook Browse. Browse Digital Library;
Collections; More: HomeBrowse by TitleBooksAlgorithms for clustering data. Export Citation. Select
Citation format BibTeX. Download citation; Copy citation. Categories. Journals; Magazines; Books;
Proceedings; SIGs; Conferences; Collections; People. About. About ACM Digital Library;
Subscription Information; Author Guidelines; Using ACM Digital Library; All Holdings within the
ACM Digital Library; ACM Computing Classification System. Join. Join ACM; Join SIGs; Subscribe
to Publications; Institutions and Libraries. Connect … 
",True,g-_ZXGsAAAAJ:QYmifXMdJWgC,15170,https://dl.acm.org/doi/abs/10.5555/46712,11814610401250140113,/scholar?cites=11814610401250140113,,,,0,0,0
1274601,Statistical pattern recognition: a review,2000,Anil K Jain and Robert PW Duin and Jianchang Mao,1,"IEEE Transaction on Pattern Analysis and Machine Intelligence, PAMI-22",,4-37,,The primary goal of pattern recognition is supervised or unsupervised classification. Among the various frameworks in which pattern recognition has been traditionally formulated. the statistical approach has been most intensively studied and used in practice. More recently. neural network techniques and methods imported from statistical learning theory have been receiving increasing attention. The design of a recognition system requires careful attention to the following issues: definition of pattern classes. sensing environment. pattern representation. feature extraction and selection. cluster analysis. classifier design and learning. selection of training and test samples. and performance evaluation. In spite of almost 50 years of research and development in this field. the general problem of recognizing complex patterns with arbitrary orientation. location. and scale remains unsolved. New and emerging applications …,True,g-_ZXGsAAAAJ:Qs68GpkTGbMC,8468,https://ieeexplore.ieee.org/abstract/document/824819/,2492983015060992311,/scholar?cites=2492983015060992311,,,http://www4.comp.polyu.edu.hk/~csajaykr/myhome/teaching/biometrics/Jain_Duin_Mao_Spr.pdf,0,0,0
1274602,Data clustering: 50 years beyond K-means,2010,Anil K Jain,31,Pattern recognition letters,8,651-666,North-Holland,Organizing data into sensible groupings is one of the most fundamental modes of understanding and learning. As an example. a common scheme of scientific classification puts organisms into a system of ranked taxa: domain. kingdom. phylum. class. etc. Cluster analysis is the formal study of methods and algorithms for grouping. or clustering. objects according to measured or perceived intrinsic characteristics or similarity. Cluster analysis does not use category labels that tag objects with prior identifiers. i.e.. class labels. The absence of category information distinguishes data clustering (unsupervised learning) from classification or discriminant analysis (supervised learning). The aim of clustering is to find structure in data and is therefore exploratory in nature. Clustering has a long and rich history in a variety of scientific fields. One of the most popular and simple clustering algorithms. K-means. was first published in …,True,g-_ZXGsAAAAJ:RGFaLdJalmkC,8371,https://www.sciencedirect.com/science/article/pii/S0167865509002323,16205305846126879965,/scholar?cites=16205305846126879965,,,https://www.cs.odu.edu/~sampath/courses/w17/cs599/papers/reading7/45.pdf,0,0,0
1274603,Introduction to biometric recognition,2011,Anil K Jain and Arun A Ross and Karthik Nandakumar,,,,1-49,Springer US,,True,g-_ZXGsAAAAJ:8_tS2Vw13FcC,6096,,6644356153739645316,/scholar?cites=6644356153739645316,,,,0,0,0
1274604,Handbook of fingerprint recognition [et al.].-N,2003,Davide Maltoni and Dario Maio and Anil K Jain and Salil Probhakar,,,,,,,True,g-_ZXGsAAAAJ:54SpJiyHbzwC,5900,http://scholar.google.com/scholar?cluster=1476375974990443930&hl=en&oi=scholarr,5248592585527624791,/scholar?cites=5248592585527624791,,,,0,0,0
1274605,Handbook of fingerprint recognition,2009,Davide Maltoni and Dario Maio and Anil K Jain and Salil Prabhakar,,,,,Springer Science & Business Media,A major new professional reference work on fingerprint security systems and technology from leading international researchers in the field. Handbook provides authoritative and comprehensive coverage of all major topics. concepts. and methods for fingerprint security systems. This unique reference work is an absolutely essential resource for all biometric security professionals. researchers. and systems administrators.,True,g-_ZXGsAAAAJ:6sy8ByAbWgIC,5894,http://books.google.com/books?hl=en&lr=&id=1Wpx25D8qOwC&oi=fnd&pg=PR11&dq=info:V4Qf9yW_1kgJ:scholar.google.com&ots=9zL49Tmte_&sig=rdq6VeKEbTaBkdXs04cpoSnM0NA,5248592585527624791,/scholar?cites=5248592585527624791,,,https://pdfs.semanticscholar.org/80e2/ca0d3a06506a1f8bde1c3cc22da1b93d449d.pdf,0,0,0
1274606,Handbook of fingerprint recognition,2009,Davide Maltoni and Dario Maio and Anil K Jain and Salil Prabhakar,,,,,Springer Science & Business Media,A major new professional reference work on fingerprint security systems and technology from leading international researchers in the field. Handbook provides authoritative and comprehensive coverage of all major topics. concepts. and methods for fingerprint security systems. This unique reference work is an absolutely essential resource for all biometric security professionals. researchers. and systems administrators.,True,g-_ZXGsAAAAJ:CKf5m1HYVjMC,5894,http://books.google.com/books?hl=en&lr=&id=1Wpx25D8qOwC&oi=fnd&pg=PR11&dq=info:V4Qf9yW_1kgJ:scholar.google.com&ots=9zL49Tmte1&sig=BWYkA5CITGZ1m0xPzJ6Y0syeTXw,5248592585527624791,/scholar?cites=5248592585527624791,,,https://pdfs.semanticscholar.org/80e2/ca0d3a06506a1f8bde1c3cc22da1b93d449d.pdf,0,0,0
1274607,Handbook Of Fingerprint Recognition,2009,Davide Maltoni and Dario Maio and Anil K Jain and Salil Probhakar,1,,,,,A major new professional reference work on fingerprint security systems and technology from leading international researchers in the field. Handbook provides authoritative and comprehensive coverage of all major topics. concepts. and methods for fingerprint security systems. This unique reference work is an absolutely essential resource for all biometric security professionals. researchers. and systems administrators.,True,g-_ZXGsAAAAJ:gxb_f1p9zx4C,5894,http://books.google.com/books?hl=en&lr=&id=1Wpx25D8qOwC&oi=fnd&pg=PR11&dq=info:V4Qf9yW_1kgJ:scholar.google.com&ots=9zL49Tmte6&sig=ZJhScxFh5bZG4kPeXDPA1-gnjN0,5248592585527624791,/scholar?cites=5248592585527624791,,,https://pdfs.semanticscholar.org/80e2/ca0d3a06506a1f8bde1c3cc22da1b93d449d.pdf,0,0,0
1274608,Handbook of Fingerprint Recognition,2006,Davide Maltoni and Dario Maio and Anil K Jain and Salil Prabhakar,,,,,Springer Science & Business Media,A major new professional reference work on fingerprint security systems and technology from leading international researchers in the field. Handbook provides authoritative and comprehensive coverage of all major topics. concepts. and methods for fingerprint security systems. This unique reference work is an absolutely essential resource for all biometric security professionals. researchers. and systems administrators.,True,g-_ZXGsAAAAJ:OKy9v0bssVUC,5894,http://books.google.com/books?hl=en&lr=&id=1Wpx25D8qOwC&oi=fnd&pg=PR11&dq=info:V4Qf9yW_1kgJ:scholar.google.com&ots=9zL49Tmte7&sig=yOa9KmAf3QtAOFEPqf9kirrae74,5248592585527624791,/scholar?cites=5248592585527624791,,,https://pdfs.semanticscholar.org/80e2/ca0d3a06506a1f8bde1c3cc22da1b93d449d.pdf,0,0,0
