,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
46927,Solubilization of membranes by detergents,1975,Ari Helenius and KAI Simons,415,,1,29-79,Elsevier,30 membrane structure and function it is usually necessary to dissociate the membrane into its components. The techniques for extraction and analysis of the membrane lipids are well worked out. and are mainly based on the use of organic solvents. These have also been used to extract the proteins. but the resultant irreversible aggregation and denaturation of many membrane proteins limit their usefulness. Partial and selective protein solubilization can be obtained by a number of methods involving chelating agents. manipulation of ionic strength and pH. Protein perturbants (ie urea. guanidine and chaotropic agents) and enzymatic digestion have also been used. However. these procedures do not lead to solubilization of the proteins which are more strongly bound to the lipid matrix of the membrane. For such proteins the use of detergents (synthetic detergents. bile salts and saponins) appears to provide the most …,True,YtTQLjEAAAAJ:u5HHmVD_uO8C,3512,https://www.sciencedirect.com/science/article/pii/0304415775900167,13805842310368839172,/scholar?cites=13805842310368839172,,,0
46928,Intracellular functions of N-linked glycans,2001,Ari Helenius and Markus Aebi,291,,5512,2364-2369,American Association for the Advancement of Science,N-linked oligosaccharides arise when blocks of 14 sugars are added cotranslationally to newly synthesized polypeptides in the endoplasmic reticulum (ER). These glycans are then subjected to extensive modification as the glycoproteins mature and move through the ER via the Golgi complex to their final destinations inside and outside the cell. In the ER and in the early secretory pathway. where the repertoire of oligosaccharide structures is still rather small. the glycans play a pivotal role in protein folding. oligomerization. quality control. sorting. and transport. They are used as universal “tags” that allow specific lectins and modifying enzymes to establish order among the diversity of maturing glycoproteins. In the Golgi complex. the glycans acquire more complex structures and a new set of functions. The division of synthesis and processing between the ER and the Golgi complex represents an evolutionary …,True,YtTQLjEAAAAJ:u-x6o8ySG0sC,2625,https://science.sciencemag.org/content/291/5512/2364.abstract,17971229660676432049,/scholar?cites=17971229660676432049,,https://pdfs.semanticscholar.org/7c62/7bc792c82e63e320ef7b889105a04505521b.pdf,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
46929,Quality control in the endoplasmic reticulum,2003,Lars Ellgaard and Ari Helenius,4,,3,181-191,Nature Publishing Group,The endoplasmic reticulum (ER) has a quality-control system for'proof-reading'newly synthesized proteins. so that only native conformers reach their final destinations. Non-native conformers and incompletely assembled oligomers are retained. and. if misfolded persistently. they are degraded. As a large fraction of ER-synthesized proteins fail to fold and mature properly. ER quality control is important for the fidelity of cellular functions. Here. we discuss recent progress in understanding the conformation-specific sorting of proteins at the level of ER retention and export.,True,YtTQLjEAAAAJ:d1gkVwhDpl0C,2316,https://www.nature.com/articles/nrm1052,15711380412350900667,/scholar?cites=15711380412350900667,,http://pt7mdv.ceingebi.unam.mx/computo/pdfs/cursosviejos/bcelular/ERQualityControl.pdf,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
46930,Acidification of the endocytic and exocytic pathways,1986,Ira Mellman and Renate Fuchs and Ari Helenius,55,,1,663-700,Annual Reviews,Most of the membrane organelles in a typical eukaryotic cell belong to the elements of the exo-and endocytic pathways. referred to collectively as the vacuolar system. They include the endoplasmic reticulum. the Golgi complex. the secretory vacuoles. the endosomes. and the lysosomes and other organelles involved in biosynthesis. processing. transport. storage. release. and degrada tion of soluble and membrane-bound macromolecules. Both the inward-and the outward-directed pathways consist of a series of organelles through which material passes in an orderly and sequential fashion by means of specific transport vesicles and membrane fission and fusion reactions. Both pathways effect molecular sorting of soluble and membrane-bound components. and both pathways have in some cells the task of storage of molecules for subsequent mobilization. Mechanisms for membrane retrieval between the …,True,YtTQLjEAAAAJ:9yKSN-GCB0IC,2187,https://www.annualreviews.org/doi/pdf/10.1146/annurev.bi.55.070186.003311,4400781024207318480,/scholar?cites=4400781024207318480,,,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
46931,Roles of N-linked glycans in the endoplasmic reticulum,2004,Ari Helenius and Markus Aebi,73,,1,1019-1049,Annual Reviews,From a process involved in cell wall synthesis in archaea and some bacteria. N-linked glycosylation has evolved into the most common covalent protein modification in eukaryotic cells. The sugars are added to nascent proteins as a core oligosaccharide unit. which is then extensively modified by removal and addition of sugar residues in the endoplasmic reticulum (ER) and the Golgi complex. It has become evident that the modifications that take place in the ER reflect a spectrum of functions related to glycoprotein folding. quality control. sorting. degradation. and secretion. The glycans not only promote folding directly by stabilizing polypeptide structures but also indirectly by serving as recognition “tags” that allow glycoproteins to interact with a variety of lectins. glycosidases. and glycosyltranferases. Some of these (such as glucosidases I and II. calnexin. and calreticulin) have a central role in folding and …,True,YtTQLjEAAAAJ:2osOgNQ5qMEC,2078,https://www.annualreviews.org/doi/abs/10.1146/annurev.biochem.73.011303.073752,5656033163458240012,/scholar?cites=5656033163458240012,,https://www.researchgate.net/profile/Ari_Helenius/publication/8518479_Helenius_A_Aebi_M_Roles_of_N-linked_glycans_in_the_endoplasmic_reticulum_Annu_Rev_Biochem_73_1019-1049/links/00b7d52d41611d567d000000.pdf,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
