,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
49164,Molecular distinction and angiogenic interaction between embryonic arteries and veins revealed by ephrin-B2 and its receptor Eph-B4,1998,Hai U Wang and Zhou-Feng Chen and David J Anderson,93,Cell,5,741-753,Cell Press,,True,TXpoP5YAAAAJ:naSTrk-c4S8C,1861,,12559474471783217177,/scholar?cites=12559474471783217177,,,0
49165,STATs: signal transducers and activators of transcription,1996,James N Ihle,84,,3,331-334,Elsevier,,True,TXpoP5YAAAAJ:u5HHmVD_uO8C,1641,,8380935524302786668,/scholar?cites=8380935524302786668,,,0
49166,Cytokine receptor signalling,1995,James N Ihle,377,,6550,591-594,Nature Publishing Group,,True,TXpoP5YAAAAJ:u-x6o8ySG0sC,1460,,8219337081946991726,/scholar?cites=8219337081946991726,,,0
49167,Lack of IL-4-induced Th2 response and IgE class switching in mice with disrupted State6 gene,1996,Kazuya Shimoda and Jan van Deursent and Mark Y Sangster and Sally R Sarawar and Richard T Carson and Ralph A Tripp and Charles Chu and Frederick W Quelle and Tetsuya Nosaka and Dario AA Vignali and PC Doherty and G Grosveld and WE Paul and JN Ihle,380,Nature,6575,630-633,Nature Publishing Group,,True,TXpoP5YAAAAJ:d1gkVwhDpl0C,1455,,4864382749639641653,/scholar?cites=4864382749639641653,,,0
49168,Stat5a and Stat5b proteins have essential and nonessential. or redundant. roles in cytokine responses,1998,Stephan Teglund and Catriona McKay and Erin Schuetz and Jan M Van Deursen and Dimitrios Stravopodis and Demin Wang and Michael Brown and Sara Bodner and Gerard Grosveld and James N Ihle,93,Cell,5,841-850,Cell Press,,True,TXpoP5YAAAAJ:9yKSN-GCB0IC,1398,,13247905587296805648,/scholar?cites=13247905587296805648,,,0
49169,JAK2 associates with the erythropoietin receptor and is tyrosine phosphorylated and activated following stimulation with erythropoietin,1993,Bruce A Witthuhn and Frederick W Quelle and Olli Silvennoinen and Taolin Yi and Bo Tang and Osamu Miura and James N Ihle,74,Cell,2,227-236,Cell Press,,True,TXpoP5YAAAAJ:2osOgNQ5qMEC,1315,,234020274496902889,/scholar?cites=234020274496902889,,,0
49170,Requirement for Stat4 in interleukin-12-mediated responses of natural killer and T cells,1996,William E Thierfelder and Jan M van Deursen and Koh Yamamoto and Ralph A Tripp and Sally R Sarawar and Richard T Carson and Mark Y Sangster and Dario AA Vignali and Peter C Doherty and Gerard C Grosveld and James N Ihle,382,Nature,6587,171-174,Nature Publishing Group UK,,True,TXpoP5YAAAAJ:UeHWp8X0CEIC,1287,,3717908776031817003,/scholar?cites=3717908776031817003,,,0
49171,Jak2 is essential for signaling through a variety of cytokine receptors,1998,Evan Parganas and Demin Wang and Dimitrios Stravopodis and David J Topham and Jean-Christophe Marine and Stephan Teglund and Elio F Vanin and Sara Bodner and Oscar R Colamonici and Jan M Van Deursen and Gerard Grosveld and James N Ihle,93,Cell,3,385-395,Cell Press,,True,TXpoP5YAAAAJ:Tyk-4Ss8FVUC,1223,,250976470534151085,/scholar?cites=250976470534151085,,,0
49172,Identification of JAK2 as a growth hormone receptor-associated tyrosine kinase,1993,Lawrence S Argetsinger and George S Campbell and Xianjie Yang and Bruce A Witthuhn and Olli Silvennoinen and James N Ihle and Christin Carter-Su,74,Cell,2,237-244,Cell Press,,True,TXpoP5YAAAAJ:IjCSPb-OGe4C,1124,,14137403801109389767,/scholar?cites=14137403801109389767,,,0
49173,Gene-marking to trace origin of relapse after autologous bone-marrow transplantation,1993,Malcolm K Brenner and Donna R Rill and RA Krance and JN Ihle and RC Moen and J Mirro and WF Anderson,341,The Lancet,8837,85-86,Elsevier,,True,TXpoP5YAAAAJ:qjMakFHDy7sC,1121,,17309080488406554439,/scholar?cites=17309080488406554439,,,0
49174,Association and activation of Jak-Tyk kinases by CNTF-LIF-OSM-IL-6 beta receptor components,1994,Neil Stahl and Teri G Boulton and Thomas Farruggella and Nancy Y Ip and Sam Davis and Bruce A Witthuhn and Frederick W Quelle and Olli Silvennoinen and Giovanna Barbieri and Sandra Pellegrini,263,Science,5143,92-95,American Association for the Advancement of Science,,True,TXpoP5YAAAAJ:jtI9f0ekYq0C,1090,,5068916641658245364,/scholar?cites=5068916641658245364,,,0
49175,Interleukin 6 enhancement of interleukin 3-dependent proliferation of multipotential hemopoietic progenitors,1987,Kenji Ikebuchi and Gordon G Wong and Steven C Clark and James N Ihle and Yoshikatsu Hirai and Makio Ogawa,84,Proceedings of the National Academy of Sciences,24,9035-9039,National Academy of Sciences,,True,TXpoP5YAAAAJ:Y0pCki6q_DkC,1076,,4958112319188647851,/scholar?cites=4958112319188647851,,,0
49176,Jaks and Stats in signaling by the cytokine receptor superfamily,1995,James N Ihle and Ian M Kerr,11,,2,69-74,Elsevier Current Trends,,True,TXpoP5YAAAAJ:zYLM7Y9cAGgC,1059,,306922363931204538,/scholar?cites=306922363931204538,,,0
49177,Puma is an essential mediator of p53-dependent and-independent apoptotic pathways,2003,John R Jeffers and Evan Parganas and Youngsoo Lee and Chunying Yang and JinLing Wang and Jennifer Brennan and Kirsteen H MacLean and Jiawen Han and Thomas Chittenden and James N Ihle and Peter J McKinnon and John L Cleveland and Gerard P Zambetti,4,Cancer cell,4,321-328,Cell Press,,True,TXpoP5YAAAAJ:eQOLeE2rZwMC,1009,,8786232363828807629,/scholar?cites=8786232363828807629,,,0
49178,Biologic properties of homogeneous interleukin 3. I. Demonstration of WEHI-3 growth factor activity. mast cell growth factor activity. p cell-stimulating factor activity …,1983,JN Ihle and J Keller and S Oroszlan and LE Henderson and TD Copeland and F Fitch and MB Prystowsky and E Goldwasser and JW Schrader and E Palaszynski and M Dy and B Lebel,131,The Journal of Immunology,1,282-287,American Association of Immunologists,,True,TXpoP5YAAAAJ:W7OEmFMy1HYC,872,,1009007916871006773,/scholar?cites=1009007916871006773,,,0
49179,The JAK‐binding protein JAB inhibits Janus tyrosine kinase activity through binding in the activation loop,1999,Hideo Yasukawa and Hiroyuki Misawa and Hiroshi Sakamoto and Masaaki Masuhara and Atsuo Sasaki and Toru Wakioka and Satoshi Ohtsuka and Tsutomu Imaizumi and Tadashi Matsuda and James N Ihle and Akihiko Yoshimura,18,The EMBO journal,5,1309-1320,John Wiley & Sons. Ltd,,True,TXpoP5YAAAAJ:_FxGoFyzp5QC,861,,5930440482169823001,/scholar?cites=5930440482169823001,,,0
