,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1207488,At home. in public. and in between: gender differences in public. private and transportation pro-environmental behaviors in the US Intermountain West,2019,Michael D Briscoe and Jennifer E Givens and Shawn Olson Hazboun and Richard S Krannich,5,Environmental Sociology,4,374-392,Routledge,Research in environmental sociology finds differences between men and women in the performance of pro-environmental behaviors. but gender effects change over time. and vary by location and type of pro-environmental behavior. Thus. research needs to explore gender differences in various pro-environmental behaviors across different contexts. in order to contribute to better understanding of the connections between sustainability and gender equity. This paper analyzes the gendered differences in pro-environmental behaviors in the Intermountain West region of the United States using survey data collected in 2016 from five states: Colorado. Idaho. Montana. Utah. and Wyoming. Results of ordinary least squares and ordered logistic regression analyses indicate women are more likely than men to engage in pro-environmental behaviors in the private sphere. Gendered differences are also evident in public pro …,True,3i8Y0YQAAAAJ:WF5omc3nYNoC,18,https://www.tandfonline.com/doi/abs/10.1080/23251042.2019.1628333,7098979144138221684,/scholar?cites=7098979144138221684,,,0,0,0
1207489,Incorporating Social System Dynamics in the Columbia River Basin: Food-Energy-Water Resilience and Sustainability Modeling in the Yakima River Basin,2018,Jennifer E Givens and Julie Padowski and Christian D Guzman and Keyvan Malek and Rebecca Witinok-Huber and Barbara Cosens and Michael Briscoe and Jan Boll and Jennifer Adam,6,Frontiers in Environmental Science,,104,Frontiers,In the face of climate change. achieving resilience of desirable aspects of food-energy-water (FEW) systems already strained by competing multi-scalar social objectives requires interdisciplinary approaches. This study is part of a larger effort exploring “Innovations in the Food-Energy-Water Nexus (INFEWS)” in the Columbia River Basin (CRB) through coordinated modeling and simulated management scenarios. Here. we focus on a case study and conceptual mapping of the Yakima River Basin (YRB). a sub-basin of the CRB. Previous research on FEW system management and resilience includes some attention to social dynamics (e.g.. economic and governance systems); however. more attention to social drivers and outcomes is needed. Our goals are to identify several underutilized ways to incorporate social science perspectives into FEW nexus research and to explore how this interdisciplinary endeavor alters how we assess innovations and resilience in FEW systems. First. we investigate insights on FEW nexus resilience from the social sciences. Next. we delineate strategies for further incorporation of social considerations into FEW nexus research. including the use of social science perspectives and frameworks such as socio-ecological resilience and community capitals. Then. we examine a case study of the YRB. focusing on the historical development of the FEW nexus and innovations. We find that a resilience focus applied to the FEW nexus can inadvertently emphasize a status quo imposed by those already in power. Incorporating perspectives from the social sciences. which highlight issues related to inequality. power. and social …,True,3i8Y0YQAAAAJ:UeHWp8X0CEIC,17,https://www.frontiersin.org/articles/10.3389/fenvs.2018.00104/full,16190755437880019168,/scholar?cites=16190755437880019168,,https://www.frontiersin.org/articles/10.3389/fenvs.2018.00104/full,0,0,0
1207490,Keep quiet on climate: Assessing public response to seven renewable energy frames in the Western United States,2019,Shawn Olson Hazboun and Michael Briscoe and Jennifer Givens and Richard Krannich,57,Energy Research & Social Science,,101243,Elsevier,Support for renewable energy is often solicited by leveraging concern about environmental problems such as climate change. However. the environment – and especially climate change – is hyper-polarized amongst the American public. and non-environmental justifications for renewable energy may resonate more broadly. Using a 2016 mail survey of individuals living in five states in the Rocky Mountain region of the U.S.. we examine predictors of public approval of renewable energy usage. approval of a 20% renewable portfolio standard policy. and agreement with seven frames for renewable energy. of which four referenced the environment and three did not. We build upon previous research by analyzing geographic variation in frame agreement and by testing a religious environmental stewardship and resource-conservation frame. Results indicate high approval renewable energy but mixed support for the …,True,3i8Y0YQAAAAJ:ufrVoPGSRksC,11,https://www.sciencedirect.com/science/article/pii/S2214629619300581,6875624748317930636,/scholar?cites=6875624748317930636,,,0,0,0
1207491,Climate Change Views. Energy Policy Support. and Personal Action in the Intermountain West: The Anti-Reflexivity Effect,2020,Jennifer E Givens and Shawn Olson Hazboun and Michael D Briscoe and Richard S Krannich,,Society & Natural Resources,,1-23,Routledge,Reducing the environmental impacts of energy production and consumption is part of addressing climate change. Prior research finds political-economic factors shape climate change views. perceptions of and policy support for renewable and nonrenewable energy. and pro-environmental behaviors (PEBs). This study contributes to research in these three areas by empirically testing the anti-reflexivity thesis. which posits that forces defending the industrial capitalist system are sources of anti-reflexivity. obstructing critical self-evaluation and societal action to address climate change. Using OLS and logistic regression analysis of survey data from respondents in five states in the US Intermountain West region. we find empirical support for the effect of anti-reflexivity on climate views. energy policy support. and PEBs. We also find that PEBs in the Intermountain West still largely occur in the realm of personal …,True,3i8Y0YQAAAAJ:LkGwnXOMwfcC,4,https://www.tandfonline.com/doi/abs/10.1080/08941920.2020.1769782,10860522598109405972,/scholar?cites=10860522598109405972,,,0,0,0
1207492,The Separation of Church and Mate: How Does Church Attendance Impact Marital Satisfaction and Why,2015,Michael Briscoe,14,Undergraduate Research Journal for the Human Sciences,1,,Kappa Omicron Nu,This study seeks to assess the relationship between church attendance and marital satisfaction. This study uses the 2000 wave of the General Social Survey. It was hypothesized by the author that more frequent church attendance would increase levels of marital satisfaction in respondents. This hypothesis can be explained by the theory of symbolic interactionism. the idea that individuals assign different meanings and symbols to different parts of their life and then act according to those beliefs. It is theorized that people who attend church more frequently view marriage with more symbolism and meaning than those who do not. and therefore those who attend church frequently put forth more effort to maintain that commitment. The data showed that there was a highly statistically significant relationship between church attendance and marital satisfaction. and that the more frequently an individual attends church. the more satisfied they will be with their marriage. However. although this relationship was shown to be highly statistically significant. the amount of influence church attendance has on marital satisfaction is minimal. The results of this study show that further research may need to be conducted. particularly between different religions and religious denominations. and the effect that each of these individually may have on marital satisfaction.,True,3i8Y0YQAAAAJ:qjMakFHDy7sC,1,https://kon.org/urc/v14/briscoe.html,6638232895006411455,/scholar?cites=6638232895006411455,,https://kon.org/urc/v14/briscoe.html,0,0,0
1207493,Intersectional Indicators: A Race and Sex-Specific Analysis of the Carbon Intensity of Well-Being in the United States. 1998–2009,2021,Michael D Briscoe and Jennifer E Givens and Madeleine Alder,,Social Indicators Research,,1-20,Springer Netherlands,There is an ongoing need for indicators that balance social and environmental sustainability outcomes. The carbon intensity of well-being (CIWB) is a sustainability indicator that captures environmental impact and social well-being in a single measure. One of the benefits of this measure is that it can be applied across different scales and contexts to explore factors that might reduce the CIWB. leading to greater sustainability. We demonstrate the further utility of the indicator by analyzing CIWB in the United States at the state-level and take an intersectional approach. calculating CIWB by race and gender. We find income inequality contributes to larger CIWB for all groups. but the impacts are greater for blacks compared to whites and males compared to females. Economic growth is also associated with larger CIWB for all groups. These results suggest that to achieve more sustainable outcomes may require policies …,True,3i8Y0YQAAAAJ:roLk4NBRz8UC,0,https://link.springer.com/article/10.1007/s11205-021-02613-x,,,,,0,0,0
1207494,Emotional Labor. Gender. and Social Interaction in Animal Care,2019,Michael Briscoe,,,,,,Animal caretakers fill an important role in society-performing both hard and dirty work as they look after animals. and the overwhelming majority of nonfarm animal caretakers are women. This ethnographic study was conducted over the course of 11 weeks at an animal boarding facility. It finds that caring for animals is emotionally taxing labor. and that employees feel this type of work is particularly suited for women-though the exact reasons why vary. The animals themselves often serve as social facilitators between both staff and customers as employees navigate the stressful environment.,True,3i8Y0YQAAAAJ:eQOLeE2rZwMC,0,https://digitalcommons.usu.edu/researchweek/ResearchWeek2019/All2019/230/,,,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1955&context=researchweek,0,0,0
1207495,Stocks or Stakeholders: Nonhuman Animals in Natural Resource Sociology,2018,Michael Briscoe,,,,,,Human values and meanings for nonhuman animals are socially constructed. Nonhuman animals provide value through tangible means. such as food or economic value. but they also are valued for providing experiences. symbols. and ecosystem services like diversity. Nonhuman animals are afforded certain rights and considerations in modern society. but these have proved insufficient in ensuring positive outcomes for both social and ecological systems. Considering nonhuman animals as stakeholders could improve natural resource outcomes by more fully addressing transboundary and uncertainty issues.,True,3i8Y0YQAAAAJ:IjCSPb-OGe4C,0,https://digitalcommons.usu.edu/researchweek/ResearchWeek2018/All2018/12/,,,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1599&context=researchweek,0,0,0
1207496,Balance as bias: Global warming and the US prestige press,2004,Maxwell T Boykoff and Jules M Boykoff,14,Global environmental change,2,125-136,Pergamon,This paper demonstrates that US prestige-press coverage of global warming from 1988 to 2002 has contributed to a significant divergence of popular discourse from scientific discourse. This failed discursive translation results from an accumulation of tactical media responses and practices guided by widely accepted journalistic norms. Through content analysis of US prestige press—meaning the New York Times. the Washington Post. the Los Angeles Times. and the Wall Street Journal—this paper focuses on the norm of balanced reporting. and shows that the prestige press's adherence to balance actually leads to biased coverage of both anthropogenic contributions to global warming and resultant action.,True,aW3k5WMAAAAJ:u5HHmVD_uO8C,1913,https://www.sciencedirect.com/science/article/pii/S0959378003000669,3995268535104172121,/scholar?cites=3995268535104172121,,http://www.julesboykoff.org/wp-content/uploads/2013/06/B-as-B-2004-in-GEC.pdf,0,0,0
1207497,Climate change and journalistic norms: A case-study of US mass-media coverage,2007,Maxwell T Boykoff and Jules M Boykoff,38,,6,1190-1204,Pergamon,The Intergovernmental Panel on Climate Change – comprised of top climate scientists from around the globe – has reached consensus that human activities have contributed significantly to global climate change. However. over time. the United States has refused to join concerted international efforts – such as the Kyoto Protocol – to curb human activities contributing to climate change. US newspaper and television media constitute key influences among a set of complex dynamics shaping information dissemination in this politicized environment. Mass-media coverage of climate change is not simply a random amalgam of newspaper articles and television segments; rather. it is a social relationship between scientists. policy actors and the public that is mediated by such news packages. This paper demonstrates that consistent adherence to interacting journalistic norms has contributed to impediments in the …,True,aW3k5WMAAAAJ:u-x6o8ySG0sC,1142,https://www.sciencedirect.com/science/article/pii/S0016718507000188,2682757712835709703,/scholar?cites=2682757712835709703,,http://www.eci.ox.ac.uk/publications/downloads/boykoff07-geoforum.pdf,0,0,0
