,title,pub_year,author,author_id,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,eprint_url,got_citations,got_author_ids,author_ids
1089900,Antimony in the environment: a review focused on natural waters: I. Occurrence,2002,Montserrat Filella and Nelson Belzile and Yu-Wei Chen,,57,,1-2,125-176,Elsevier,Antimony is ubiquitously present in the environment as a result of natural processes and human activities. It exists mainly as Sb(III) and Sb(V) in environmental. biological and geochemical samples. Antimony and its compounds are considered to be priority pollutants interest by the USEPA and the EU. In this first review paper on antimony occurrence in natural waters. 420 papers on freshwaters. marine waters. estuaries. soils. and sediments have been reviewed. All data are quoted from the original sources. Typical concentrations of total dissolved antimony are usually less than 1.0 μg/l in non-polluted waters. When redox speciation determinations are performed. most studies report the dominance of Sb(V) under oxic conditions. However. the presence of significant proportions of Sb(III) is sometimes detected. This is in contrast with thermodynamic equilibrium predictions and discrepancies are often attributed to …,True,rpf8oeQAAAAJ:pqnbT2bcN3wC,1126,https://www.sciencedirect.com/science/article/pii/S0012825201000708,12461635281819862438,/scholar?cites=12461635281819862438,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.463.2405&rep=rep1&type=pdf,0,0,0
1089901,Antimony in the Environment: A Review Focused on Natural Waters. Part 2. Relevant Solution Chemistry,2002,Montserrat Filella and Nelson Belzile and Yu‐Wei Chen,,59,Earth-Science Reviews,,265-285,WILEY‐VCH Verlag,This paper discusses the main characteristics of the solution chemistry of antimony in relation to its behaviour and fate in natural waters. It is based on a careful and systematic examination of a comprehensive collection of solution equilibrium and environmentally oriented studies. some published more than 100 years ago. General principles are outlined and main unknowns highlighted. Existing information on antimony reactivity in solution is scarce and often relatively old. Studies performed under conditions relevant to natural water conditions are particularly scant.,True,rpf8oeQAAAAJ:eJXPG6dFmWUC,610,https://www.sciencedirect.com/science/article/pii/S0012825202000892,1311888765834405809,/scholar?cites=1311888765834405809,https://www.researchgate.net/profile/Nelson_Belzile/publication/250453713_Antimony_in_the_Environment_A_Review_Focused_on_Natural_Waters_Part_2_Relevant_Solution_Chemistry/links/5a620f23aca272a1581780a7/Antimony-in-the-Environment-A-Review-Focused-on-Natural-Waters-Part-2-Relevant-Solution-Chemistry.pdf,0,0,0
1089902,Metal sorption to diagenetic iron and manganese oxyhydroxides and associated organic matter: narrowing the gap between field and laboratory measurements,1996,A Tessier and D Fortin and N Belzile and RR DeVitre and GG Leppard,,60,Geochimica et Cosmochimica Acta,3,387-404,Pergamon,Diagenetic Fe and Mn oxyhydroxides were isolated in situ by vertically inserting inert collectors into the sediments of two geochemically different lakes located near Sudbury. Ontario. X-ray diffraction and electron microscopic analyses indicated that the Fe-rich material collected was predominantly ferrihydrite and poorly crystallized lepidocrocite. while the Mn-rich material was a mixture of poorly crystallized Mn oxyhydroxides. Conditional adsorption constants (KF-M and KMn-M) were calculated using the concentrations of metals (Ca. Cd. Cu. Mg. Ni. Pb. Zn) associated with the Fe- and Mn-rich material and the measured dissolved concentrations of these metals. Comparison of these in situ derived KFe-M and KMn-M values were made with: (1) the hydrolysis constants of the metals; (2) laboratory-derived intrinsic surface complexation constants obtained for adsorption of these metals on well-characterized Fe and Mn …,True,rpf8oeQAAAAJ:ZeXyd9-uunAC,462,https://www.sciencedirect.com/science/article/pii/0016703795004130,6508469256248862283,/scholar?cites=6508469256248862283,,0,0,0
1089903,Interactions between arsenic and iron oxyhydroxides in lacustrine sediments,1990,Nelson Belzile and Andre Tessier,,54,Geochimica et Cosmochimica Acta,1,103-109,Pergamon,Arsenic and iron concentrations were measured in surficial sediments and in interstitial and overlying waters at 22 littoral stations of 16 lakes. The lakes were chosen to cover values of pH between 4.0 and 8.4 and various As concentrations. Depth-distributions of dissolved As and Fe concentrations suggest a close association of both elements in a dissolution-diifusion-precipitation cycle for Fe and adsorbed As. Using a simplified version of the surface complexation model. apparent adsorption constants of As onto natural Fe oxyhydroxides have been calculated from the concentrations of As and Fe determined in leachates of surficial lake sediments and the in situ measurement of dissolved As in their respective overlying waters. These calculations assume. based on thermodynamic considerations and experimental evidence. that only As(V) is associated with the natural Fe oxyhydroxides. The binding intensity …,True,rpf8oeQAAAAJ:u9iWguZQMMsC,381,https://www.sciencedirect.com/science/article/pii/001670379090198T,18011951441335060084,/scholar?cites=18011951441335060084,,0,0,0
1089904,Testing readsorption of trace elements during partial chemical extractions of bottom sediments,1989,Nelson Belzile and Pierre Lecomte and Andre Tessier,,23,Environmental Science & Technology,8,1015-1020,American Chemical Society,The importance of postextraction readsorption of As. Cd. Cu. Ni. Pb. and Zn has been evaluated for each step of a sequential extraction procedure by measuring the recovery of small amounts of trace elements added during the extraction of oxic lake sediments. For all the cases examined but one. the trace element spikes (< 100% of the amount present in control samples) were recovered within the limite given by the experimental errors. These results contrast with the large percentages of postextraction readsorption observed for these trace elements in previous studies. a consequence of the use by previous investigators of either large spikes (greatly exceeding the amounts present in the control samples) during extractions of natural sediments or simple model sediments.Bottom sediments are complex mixtures that include detrital organic and inorganic substances as well as prod-ucts formed in thewater column or …,True,rpf8oeQAAAAJ:O3NaXMp0MMsC,281,https://pubs.acs.org/doi/pdf/10.1021/es00066a014,10730241931206195563,/scholar?cites=10730241931206195563,,0,0,0
1089905,Antimony in the environment: knowns and unknowns,2009,Montserrat Filella and Peter A Williams and Nelson Belzile,,6,,2,95-105,CSIRO PUBLISHING,Environmental context. Antimony first attracted public attention in the mid-1990s amid claims that it was involved in Sudden Infant Death Syndrome. A substantial number of papers have now been published on the element and its behaviour in the natural environment. However. many key aspects of the environmental chemistry of antimony remain poorly understood. These include critical areas such as its ecotoxicology. its global cycling through different environmental compartments. and what chemical form it takes in different environments. More focussed research would help the situation. The present review highlights several areas of environmental antimony chemistry that urgently need to be addressed. Abstract. The objective of the present article is to present a critical overview of issues related to the current state of knowledge on the behaviour of antimony in the environment. It makes no attempt to systematically …,True,rpf8oeQAAAAJ:0EnyYjriUFMC,278,http://www.publish.csiro.au/en/en09007,3249891409302432476,/scholar?cites=3249891409302432476,https://archive-ouverte.unige.ch/unige:29038/ATTACHMENT01,0,0,0
1089906,A review on pyrrhotite oxidation,2004,Nelson Belzile and Yu-Wei Chen and Mei-Fang Cai and Yuerong Li,,84,,2,65-76,Elsevier,The non-stoichiometric compounds of iron sulphide named pyrrhotite (Fe1−xS) are often associated with pyrite (FeS2) in sulphidic ores and their waste products. The factors affecting pyrite and pyrrhotite oxidation are similar but the latter has received much less attention. As it is the case for pyrite. an increase in temperature has an increasing effect on the oxidation of pyrrhotite and the process follows the Arrhenius behaviour. Both ferric iron and bacteria act as catalysts in the oxidation reactions and play a significant role in the oxidation kinetics. Several spectroscopic techniques are used to study the oxidation mechanisms and products of pyrrhotite oxidation. This paper presents and discusses the main factors controlling pyrrhotite oxidation and the proposed mechanisms of oxidation under normal conditions of temperature and pressure.,True,rpf8oeQAAAAJ:QIV2ME_5wuYC,277,https://www.sciencedirect.com/science/article/pii/S037567420400024X,6081253059981493981,/scholar?cites=6081253059981493981,https://www.researchgate.net/profile/Nelson_Belzile/publication/223602163_A_Review_on_Pyrrhotite_Oxidation/links/5a943016aca2721405673bda/A-Review-on-Pyrrhotite-Oxidation.pdf,0,0,0
1089907,Selenium and mercury in organisms: interactions and mechanisms,2008,Dan-Yi Yang and Yu-Wei Chen and John M Gunn and Nelson Belzile,,16,,NA,71-92,,This paper reviews the growing literature dealing with the antagonistic effect of selenium (Se) compounds on the toxicity of mercury (Hg) compounds in higher animals and organisms present in the aquatic environment. It covers both laboratory and field studies and summarizes the possible mechanisms that explain the protective action of Se compounds on mercuric mercury (Hg2+) and methylmercury (CH3Hg+) toxicity. The review is subdivided according to the molecular form of Hg and the organisms in which the antagonism has been studied. Many authors suggest that the protective effect of selenite on the toxicity of Hg2+ in mammals is due mainly to the in vivo formation of mercuric selenide (HgSe). a stable and biologically inert complex. The detection of HgSe has been confirmed in several studies in support of this mechanism. Possible mechanisms that may be involved in the antagonism between Se …,True,rpf8oeQAAAAJ:IWHjjKOFINEC,271,https://cdnsciencepub.com/doi/abs/10.1139/A08-001,6623881441309236529,/scholar?cites=6623881441309236529,https://www.researchgate.net/profile/Nelson_Belzile/publication/237150893_Selenium_and_mercury_in_organisms_Interactions_and_mechanisms/links/00b7d532c2e7c33680000000.pdf,0,0,0
1089908,Oxidation of antimony (III) by amorphous iron and manganese oxyhydroxides,2001,Nelson Belzile and Yu-Wei Chen and Zijian Wang,,174,Chemical Geology,4,379-387,Elsevier,Amorphous forms of natural and synthetic Fe oxyhydroxides and synthetic Mn oxyhydroxides were used to study the oxidation of antimonite. Sb(III). at different pH values. Sb species were measured by differential pulse adsorptive stripping voltametry (DPACSV). The oxidation of Sb(III) to Sb(V) was always rapid and completed after a few days following pseudo-first order rate laws. A slightly slower oxidation rate was observed at lower pH and was attributed to the lower stability of the oxyhydroxide compounds under mildly acidic conditions. The oxidation pseudo-first order rate of Sb(III) by natural Fe oxyhydroxides was also slower when compared to synthetic Fe compounds. This could be explained by a slight crystallinity of the natural oxides (when compared to amorphous synthetic compounds) and by their more complex chemical composition which can include adsorbed ions and organic matter. The study confirms …,True,rpf8oeQAAAAJ:4JMBOYKVnBMC,255,https://www.sciencedirect.com/science/article/pii/S0009254100002874,8786050051135371158,/scholar?cites=8786050051135371158,https://www.academia.edu/download/42509241/Oxidation_of_antimony_III_by_amorphous20160209-26034-1qy2ci1.pdf,0,0,0
1089909,Speciation and adsorption of arsenic on diagenetic iron oxyhydroxides,1991,Richard De Vitre and Nelson Belzile and Andre Tessier,,36,Limnology and Oceanography,7,1480-1485,,Diagenetic Fe and As samples have been obtained from 12 lakes on the Canadian Shield by deposition on Teflon collectors inserted vertically in the surficial sediments. Dissolution of the deposits showed that only arsenate was present. i.e. arsenite concentrations were undetectable. Laboratory batch experiments indicated that As(III) is oxidized rapidly by Fe oxyhydroxides. Apparent equilibrium constants for the absorption of As have been calculated from the Fe and As concentrations dissolved from the deposit of diagenetic material and As concentration in the water overlying the lake sediments. These field‐derived equilibrium constants agree well with laboratory‐derived equilibrium constants for the absorption of arsenate on amorphous Fe oxyhydroxides; the results taken together suggest that the latter laboratory constants can be used for modeling adsorption of inorganic As on Fe oxyhydroxides in natural waters.,True,rpf8oeQAAAAJ:hFOr9nPyWt4C,253,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.1991.36.7.1480,7654695699499870576,/scholar?cites=7654695699499870576,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1991.36.7.1480,0,0,0
