,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1328943,Spontaneous emergence versus technology management in sustainable mobility transitions: Electric bicycles in China,2015,Peter Wells and Xiao Lin,78,Transportation Research Part A: Policy and Practice,,371-383,Pergamon,,True,JHNLEqsAAAAJ:LkGwnXOMwfcC,47,,18119005243569944663,/scholar?cites=18119005243569944663,,,,0,0,0
1328944,Benign mobility? Electric bicycles. sustainable transport consumption behaviour and socio-technical transitions in Nanjing. China,2017,Xiao Lin and Peter Wells and Benjamin K Sovacool,103,Transportation research part A: policy and practice,,223-234,Pergamon,,True,JHNLEqsAAAAJ:WF5omc3nYNoC,41,,4155109315815191864,/scholar?cites=4155109315815191864,,,,0,0,0
1328945,The death of a transport regime? The future of electric bicycles and transportation pathways for sustainable mobility in China,2018,Xiao Lin and Peter Wells and Benjamin K Sovacool,132,Technological Forecasting and Social Change,,255-267,North-Holland,,True,JHNLEqsAAAAJ:hqOjcs7Dif8C,25,,15037105407006301692,/scholar?cites=15037105407006301692,,,,0,0,0
1328946,The coproduction of electric mobility: Selectivity. conformity and fragmentation in the sociotechnical acceptance of vehicle-to-grid (V2G) standards,2019,Johannes Kester and Lance Noel and Xiao Lin and Gerardo Zarazua de Rubens and Benjamin K Sovacool,207,Journal of Cleaner Production,,400-410,Elsevier,,True,JHNLEqsAAAAJ:0EnyYjriUFMC,13,,14167350998942467044,/scholar?cites=14167350998942467044,,,,0,0,0
1328947,Inter-niche competition on ice? Socio-technical drivers. benefits and barriers of the electric vehicle transition in Iceland,2020,Xiao Lin and Benjamin K Sovacool,35,Environmental Innovation and Societal Transitions,,1-20,Elsevier,,True,JHNLEqsAAAAJ:5nxA0vEk-isC,11,,2385060814260207259,/scholar?cites=2385060814260207259,,,,0,0,0
1328948,Future perspective of electric bicycles in sustainable mobility in China,2016,Xiao Lin,,,,,,,True,JHNLEqsAAAAJ:ufrVoPGSRksC,10,,8660719813307770908,/scholar?cites=8660719813307770908,,,,0,0,0
1328949,Energy. environmental and economic evaluations of a CCHP system driven by Stirling engine with helium and hydrogen as working gases,2019,Mahmood Chahartaghi and Mohammad Sheykhi,174,Energy,,1251-1266,Pergamon,,True,H_ZcsB0AAAAJ:YsMSGLbcyi4C,35,,10943569598940923091,/scholar?cites=10943569598940923091,,,,0,0,0
1328950,Energy. exergy. environmental. and economic modeling of combined cooling. heating and power system with Stirling engine and absorption chiller,2019,Mohammad Sheykhi and Mahmood Chahartaghi and Mohammad Mahdi Balakheli and Behrad Alizadeh Kharkeshi and Seyyed Mahdi Miri,180,Energy Conversion and Management,,183-195,Pergamon,,True,H_ZcsB0AAAAJ:Tyk-4Ss8FVUC,33,,9211066258079170198,/scholar?cites=9211066258079170198,,,,0,0,0
1328951,Performance investigation of a combined heat and power system with internal and external combustion engines,2019,Mohammad Sheykhi and Mahmood Chahartaghi and Mohammad Mahdi Balakheli and Seyed Majid Hashemian and Seyyed Mahdi Miri and Nima Rafiee,185,Energy Conversion and Management,,291-303,Pergamon,,True,H_ZcsB0AAAAJ:W7OEmFMy1HYC,27,,2192009373575871458,/scholar?cites=2192009373575871458,,,,0,0,0
1328952,Thermal modeling of a trigeneration system based on beta-type Stirling engine for reductions of fuel consumption and pollutant emission,2018,Mahmood Chahartaghi and Mohammad Sheykhi,205,Journal of Cleaner Production,,145-162,Elsevier,,True,H_ZcsB0AAAAJ:zYLM7Y9cAGgC,24,,13754626172713597457,/scholar?cites=13754626172713597457,,,,0,0,0
1328953,Energy and exergy analyses of beta-type Stirling engine at different working conditions,2018,Mahmood Chahartaghi and Mohammad Sheykhi,169,Energy Conversion and Management,,279-290,Pergamon,,True,H_ZcsB0AAAAJ:IjCSPb-OGe4C,17,,16053269630303807581,/scholar?cites=16053269630303807581,,,,0,0,0
1328954,Analysis of different arrangements of combined cooling. heating and power systems with internal combustion engine from energy. economic and environmental viewpoints,2020,Mohammad Mahdi Balakheli and Mahmood Chahartaghi and Mohammad Sheykhi and Seyed Majid Hashemian and Nima Rafiee,203,Energy Conversion and Management,,112253,Pergamon,,True,H_ZcsB0AAAAJ:ufrVoPGSRksC,11,,2595385895092416603,/scholar?cites=2595385895092416603,,,,0,0,0
