63402,Dietary trans fatty acids affect docosahexaenoic acid concentrations in plasma and liver but not brain of pregnant and fetal rats,2000,Elvira Larque and Francisca Pérez-Llamas and Victor Puerta and Maria D Girón and Maria D Suárez and Salvador Zamora and Angel Gil,47,Pediatric research,2,278-278,Nature Publishing Group,The aim of the present study was to investigate the maternal-fetal transport. incorporation. and effects on liver delta-6 fatty-acid desaturase activity of dietary trans fatty acids in pregnant rats. Three groups of six rats each were fed three experimental diets containing approximately 0%. 15%. and 30% of trans fatty acids but containing the same proportion of linoleic (18: 2 n-6) and α-linolenic (18: 3 n-3) acids for 10 wk. On d 20 of pregnancy. the animals from each group were killed. We determined the fatty acid profiles in plasma. brain. and liver microsomes of pregnant rats. as well as in placenta and fetal liver and brain. No changes were found in the number of fetuses of the pregnant rats. Trans fatty acids were incorporated in high concentrations in placenta and in maternal and fetal tissues. except brain. strongly elevating the linoleic acid proportion and lowering that of docosahexaenoic acid. The delta-6 fatty-acid …,True,cL_TePcAAAAJ:SP6oXDckpogC,74,https://www.nature.com/articles/pr200048,710401634099098054,/scholar?cites=710401634099098054,,https://www.nature.com/articles/pr200048,0
63384,The association of tooth lead content with dental health factors,1996,F Gil and A Facio and E Villanueva and ML Perez and R Tojo and A Gil,192,Science of the total environment,2,183-191,Elsevier,The purpose of this study was to determine the relationships of lead content in the human tooth with the prevalence of caries. dental plaque. pH of saliva. levels of Salivalis lactobacilli (SL) and Mutans streptococci (MS). degree of dental abrasion. tooth colour and toothbrushing frequency. A total of 220 teeth (one per person) were analysed using a microwave oven digestion procedure and lead content was measured by atomic absorption spectrometry. Tooth lead content followed a logarithmic-normal distribution and it increased with the prevalence of caries. Tooth lead concentrations were positively correlated with all the considered dental health factors except the pH of saliva. for which there was a significant negative correlation. Coloured teeth and teeth subject to abrasion showed the highest lead content. The highest number of colonies of SL and MS in saliva paralleled the highest lead tooth levels. Teeth …,True,cL_TePcAAAAJ:NhqRSupF_l8C,74,https://www.sciencedirect.com/science/article/pii/S0048969796053132,5172182131268045687,/scholar?cites=5172182131268045687,,https://www.academia.edu/download/63332385/s0048-9697_2896_2905313-220200516-12454-x2kbdv.pdf,0
<<<<<<< Updated upstream
63385,Thermogelation properties of methylcellulose (MC) and their effect on a batter formula,2005,T Sanz and MA Fernández and A Salvador and J Munoz and SM Fiszman,19,Food Hydrocolloids,1,141-147,Elsevier,Thermogelation properties of both a solution of methylcellulose (MC) and of a batter formula containing 1. 1.5 and 2% MC were studied by small amplitude oscillatory shear. simulating the thermal process undergone by batters in an innovative process for industrial battered food manufacturing which eliminates the pre-frying step. The mechanical spectra of the MC solution carried out at 15 and 60° C clearly showed a transition from a fluid-like to a gel-like behaviour. The evolution of G′ and G ″with an upward temperature ramp showed the sol–gel transition to occur at approximately 52° C (estimated as the crossover between G ″and G′). As the temperature was lowered a complete reversing of the gelation process was observed. Increasing the temperature of MC batters resulted in a transition from a soft gel at 15° C (behaviour in the innovative process before the coagulation step) to a stronger although still soft …,True,cL_TePcAAAAJ:Cew3JUE5alsC,72,https://www.sciencedirect.com/science/article/pii/S0268005X04000621,9833292375531895605,/scholar?cites=9833292375531895605,,,0
63386,Use of antioxidants to treat pain in chronic pancreatitis.,2000,G De las Heras Castaño and MD Fernández and Fernández Forcelledo JL,92,Revista espanola de enfermedades digestivas: organo oficial de la Sociedad Espanola de Patologia Digestiva,6,375-385,,OBJECTIVE: The purpose of this report is to analyze the results of a 1-year clinical study of antioxidant therapy in the treatment of pain and recurrent inflammatory episodes in patients with chronic and acute recurrent pancreatitis. using a prospective. descriptive. pre-post. open design. The intensity of pain at the beginning and end of treatment was assessed with a visual analogue scale. and these results along with the number of hospital admissions for pancreatic disease were analyzed. METHODS: We studied patients with acute recurrent or chronic pancreatitis who had suffered from pain or acute inflammatory episodes the year before the beginning of treatment with a complex containing L-methionine. beta-carotene. vitamin C. vitamin E and organic selenium. RESULTS: Of 10 patients with chronic pancreatitis who completed treatment. the intensity of pain was reduced considerably in 9 (61.5+/-21.5 mm vs. 19.6+/-26.1 mm. p= 0.03). and pain was completely absent in 3 of these patients. Twelve patients who completed treatment had fewer hospital admissions during the year with antioxidant treatment than they had had during the previous year (1.5+/-1.62 vs. 0.25+/-0.45 admissions. p= 0.03). CONCLUSIONS: Antioxidant treatment had a positive effect in patients who suffered from pancreatic inflammatory pain. and its effectiveness should be tested before more aggressive and costlier treatments are considered.,True,cL_TePcAAAAJ:D0NosnH9lYgC,71,https://europepmc.org/article/med/10985097,17048167999437496707,/scholar?cites=17048167999437496707,,,0
63387,Botulinum toxin for the treatment of anal fissure,1999,F Fernandez Lopez and R Conde Freire and A Rios Rios and J Garcia Iglesias and M Cainzos Fernandez and J Potel Lesquereux,16,Digestive surgery,6,515-518,Karger Publishers,,True,cL_TePcAAAAJ:Es-9c2L5hKwC,71,https://www.karger.com/Article/Abstract/18779,14133848290045144228,/scholar?cites=14133848290045144228,,,0
63388,Tratado de nutrición: nutrición humana en el estado de salud,2017,Ángel Gil and Mercedes Gil Campos and José Maldonado Lozano and Emilio Martínez de Victoria Muñoz,,,,,Médica Panamericana,,True,cL_TePcAAAAJ:1DAnfT_YoJgC,70,http://scholar.google.com/scholar?cluster=10429346753356027157&hl=en&oi=scholarr,10429346753356027157,/scholar?cites=10429346753356027157,,,0
63389,Successful multifaceted intervention aimed to reduce short peripheral venous catheter-related adverse events: a quasiexperimental cohort study,2013,Gabriel Mestre and Cristina Berbel and Purificación Tortajada and Margarita Alarcia and Roser Coca and Mari Mar Fernández and Gema Gallemi and Irene García and Mari C Aguilar and Jesús Rodríguez-Baño and José A Martinez,41,American journal of infection control,6,520-526,Mosby,Data concerning the effectiveness of strategies implemented to reduce short peripheral vein catheter (PVC)-related adverse events are scarce.A quasiexperimental study (2004-2011) was conducted to evaluate an intervention to reduce peripheral vein phlebitis (PVP) and PVC-related bloodstream infections (BSIs). Bundle intervention consisted of health care worker education and training. withdrawal of unnecessary catheters. exchange catheter policy. withdrawal of catheters at early stages of PVP. use of scales as a measuring tool. and repeated period-prevalence surveillance of PVC adverse events on wards. A Poisson exponentially weighted moving average control chart was used to assess time series analysis.One thousand six hundred thirty-one patients with 2.325 short catheters inserted were prospectively followed. PVP decreased by 48% (12.1% [95% confidence interval (CI …,True,cL_TePcAAAAJ:JMEA1obkRKoC,70,https://www.sciencedirect.com/science/article/pii/S0196655312010656,16879840620814207144,/scholar?cites=16879840620814207144,,,0
63390,Human intestinal dendritic cells decrease cytokine release against Salmonella infection in the presence of Lactobacillus paracasei upon TLR activation,2012,Miriam Bermudez-Brito and Sergio Muñoz-Quezada and Carolina Gomez-Llorente and Esther Matencio and María J Bernal and Fernando Romero and Angel Gil,7,PLoS One,8,e43197,Public Library of Science,Probiotic bacteria have been shown to modulate immune responses and could have therapeutic effects in allergic and inflammatory disorders. However. little is known about the signalling pathways that are engaged by probiotics. Dendritic cells (DCs) are antigen-presenting cells that are involved in immunity and tolerance. Monocyte-derived dendritic cells (MoDCs) and murine DCs are different from human gut DCs; therefore. in this study. we used human DCs generated from CD34+ progenitor cells (hematopoietic stem cells) harvested from umbilical cord blood; those DCs exhibited surface antigens of dendritic Langerhans cells. similar to the lamina propria DCs in the gut. We report that both a novel probiotic strain isolated from faeces of exclusively breast-fed newborn infants. Lactobacillus paracasei CNCM I-4034. and its cell-free culture supernatant (CFS) decreased pro-inflammatory cytokines and chemokines in human intestinal DCs challenged with Salmonella. Interestingly. the supernatant was as effective as the bacteria in reducing pro-inflammatory cytokine expression. In contrast. the bacterium was a potent inducer of TGF-β2 secretion. whereas the supernatant increased the secretion of TGF-β1 in response to Salmonella. We also showed that both the bacteria and its supernatant enhanced innate immunity through the activation of Toll-like receptor (TLR) signalling. These treatments strongly induced the transcription of the TLR9 gene. In addition. upregulation of the CASP8 and TOLLIP genes was observed. This work demonstrates that L. paracasei CNCM I-4034 enhanced innate immune responses. as evidenced by the activation of …,True,cL_TePcAAAAJ:ILKRHgRFtOwC,70,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043197,10952118711123795782,/scholar?cites=10952118711123795782,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043197,0
63391,Role of hydrocolloids in the creaming of oil in water emulsions,2003,Genoveva Vélez and Miguel A Fernández and José Muñoz and Peter A Williams and Robert J English,51,Journal of Agricultural and Food Chemistry,1,265-269,American Chemical Society,The influence of guar gum and xanthan gum on the creaming of 10% oil in water emulsions has been investigated. The presence of very low concentrations of the polysaccharides (typically < ∼0.075%) was found to induce depletion flocculation of the emulsion droplets and increased the rate of creaming. However. at higher polysaccharide concentrations (typically > ∼0.1%) the creaming rate was reduced due to the increased viscosity of the aqueous phase. For most systems a delay period was noted before creaming started. which was found to be dependent on the zero shear viscosity of the continuous phase and independent of polysaccharide type. The delay period increased significantly at zero shear viscosities approaching 1 Pa s. A mathematical model has been used to fit the creaming rate profiles and a simple exponential relationship obtained between delay time and polysaccharide concentration …,True,cL_TePcAAAAJ:dVnQPkO1q_gC,70,https://pubs.acs.org/doi/abs/10.1021/jf020664n,3541134997320428382,/scholar?cites=3541134997320428382,,,0
63392,Infant formulas and nutrition products enriched with nucleosides and/or nucleotides and processes for their preparation,1991,,,,,,,Nucleosides and/or nucleotides are added to non-milk based infant formulas. to provide a formula having en hanced physiological properties and also closely resem ble human milk. Additionally. nutritionally balanced diet formulations are described having nucleosides and/or nucleotides incorporated therein.,True,cL_TePcAAAAJ:K3LRdlH-MEoC,70,https://patents.google.com/patent/US5066500A/en,3688044889304643637,/scholar?cites=3688044889304643637,,https://patentimages.storage.googleapis.com/ec/58/3a/7fbf2926d079c8/US5066500.pdf,0
