,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations
50367,Analysis of the genome sequence of the flowering plant Arabidopsis thaliana,2000,Samir Kaul and Hean L Koo and Jennifer Jenkins and Michael Rizzo and Timothy Rooney and Luke J Tallon and Tamara Feldblyum and William Nierman and Maria Ines Benito and Xiaoying Lin and Christopher D Town and J Craig Venter and Claire M Fraser and Satoshi Tabata and Yasukazu Nakamura and Takakazu Kaneko and Shusei Sato and Erika Asamizu and Tomohiko Kato and Hirokazu Kotani and Shigemi Sasamoto and Joseph R Ecker and Athanasios Theologis and Nancy A Federspiel and Curtis J Palm and Brian I Osborne and Paul Shinn and Ken Dewar and Christopher J Kim and Eugen Buehler and Patrick Dunn and Qimin Chao and Huaming Chen and Valentina S Vysotskaia and Catherine A Lenz and Nancy F Hansen and Shirley X Liu and Hootan Alta and Hitomi Sakano and Bao Lam and Paul K Pham and Michelle Nguyen and Guixia Yu and Audrey Southwick and Jeong Mi Lee and Molly Miranda and Mitsue J Toriumi and Ronald W Davis and Aaron B Conway and Lane Conn and Altafi Hootan and R Wambutt and G Murphy and A Düsterhöft and W Stiekema and T Pohl and KD Entian and N Terryn and G Volckaert and M Salanoubat and N Choisne and F Artiguenave and J Weissenbach and F Quetier and M Rieger and W Ansorge and M Unseld and B Fartmann and G Valle and Richard K Wilson and M Sekhon and K Pepin and J Murray and D Johnson and L Hillier and Melissa de la Bastide and Emily Huang and Lori Spiegel and Lidia Gnoj and Kristina Habermann and Neilay Dedhia and Larry Parnell and Raymond Preston and M Marra and W Richard McCombie and Ellson Chen and Robert Martienssen and Klaus Mayer and Kai Lemcke and Brian Haas and Dirk Haase and Stephen Rudd and Heiko Schoof and Dimitrij Frishman and Burkhard Morgenstern and Paulo Zaccaria and Hans Werner Mewes and Owen White and Todd H Creasy and Cord Bielke and Rama Maiti and Jeremy Peterson and Maria Ermolaeva and Mihaela Pertea and John Quackenbush and Natalia Volfovsky and Dongying Wu and Steven L Salzberg and Michael Bevan and Todd M Lowe and S Rounsley and D Bush and S Subramaniam and I Levin and S Norris and R Schmidt and A Acarkan and I Bancroft and A Brennicke and Jonathan A Eisen and T Bureau and BA Legault and QH Le and N Agrawal and Z Yu and GP Copenhaver and S Luo and D Preuss and CS Pikaard and IT Paulsen and M Sussman and AB Britt and DA Selinger and R Pandey and VL Chandler and RA Jorgensen and DW Mount and C Pikaard and G Juergens and EM Meyerowitz and J Dangl and J DG Jones and M Chen and J Chory and C Somerville,408,,6814,796-815,Nature Publishing Groups,The flowering plant Arabidopsis thaliana is an important model system for identifying genes end determining their functions. Here we report the analysis of the genomic sequence of Arabidopsis. The sequenced regions cover 115.4 megabases of the 125-megabase genome and extend into centromeric regions. The evolution of Arabidopsis involved a whole-genome duplication. followed by subsequent gene loss and extensive local gene duplications. giving rise to a dynamic genome enriched by lateral gene transfer from a cyanobacterial-like ancestor of the plastid. The genome contains 25.498 genes encoding proteins from 11.000 families. similar to the functional diversity of Drosophila and Caenorhabditis elegans-the other sequenced multicellular eukaryotes. Arabidopsis has many families of new proteins but also lacks several common protein families. indicating that the sets of common proteins have undergone differential expansion and contraction in the three multicellular eukaryotes. This is the first complete genome sequence of a plant and provides the foundations for more comprehensive comparison of conserved processes in all eukaryotes. identifying a wide range of plant-specific gene functions and establishing rapid systematic ways to identify genes for crop improvement.,True,CXXYxf4AAAAJ:8wCixH_E2vEC,9489,https://researchers.mq.edu.au/en/publications/analysis-of-the-genome-sequence-of-the-flowering-plant-arabidopsi,5257361017467319203,/scholar?cites=5257361017467319203,,https://researchers.mq.edu.au/en/publications/analysis-of-the-genome-sequence-of-the-flowering-plant-arabidopsi,0
50368,Beneficial biofuels—the food. energy. and environment trilemma,2009,David Tilman and Robert Socolow and Jonathan A Foley and Jason Hill and Eric Larson and Lee Lynd and Stephen Pacala and John Reilly and Tim Searchinger and Chris Somerville and Robert Williams,325,Science,5938,270-271,American Association for the Advancement of Science,Forty-eight Escherichia coli strains were chosen due to variable detection of stx or serogroup by PCR. Although all strains were initially determined to be Shiga toxin-producing Escherichia coli (STEC). their genomes revealed 11 isolates carrying stx1a. stx1b. stx2a. and/or stx2b. Assembled genome sizes varied between 4.667.418 and 5.556.121 bp. with N50 values between 79.648 and 294.166 bp and G+C contents between 50.3% and 51.4%.,True,CXXYxf4AAAAJ:Y0pCki6q_DkC,1661,https://science.sciencemag.org/content/325/5938/270.summary,12634015027532184255,/scholar?cites=12634015027532184255,,https://www.researchgate.net/profile/Robert_Socolow/publication/237285820_Benefi_cial_BiofuelsThe_Food_Energy_and_Environment_Trilemma/links/0c96052836d1fe3735000000/Benefi-cial-BiofuelsThe-Food-Energy-and-Environment-Trilemma.pdf,0
50369,Toward a systems approach to understanding plant cell walls,2004,Chris Somerville and Stefan Bauer and Ginger Brininstool and Michelle Facette and Thorsten Hamann and Jennifer Milne and Erin Osborne and Alex Paredez and Staffan Persson and Ted Raab and Sonja Vorwerk and Heather Youngs,306,,5705,2206-2211,American Association for the Advancement of Science,One of the defining features of plants is a body plan based on the physical properties of cell walls. Structural analyses of the polysaccharide components. combined with high-resolution imaging. have provided the basis for much of the current understanding of cell walls. The application of genetic methods has begun to provide new insights into how walls are made. how they are controlled. and how they function. However. progress in integrating biophysical. developmental. and genetic information into a useful model will require a system-based approach.,True,CXXYxf4AAAAJ:Tyk-4Ss8FVUC,1234,https://science.sciencemag.org/content/306/5705/2206.abstract,2169769916203157061,/scholar?cites=2169769916203157061,,https://www.academia.edu/download/49552719/Toward_a_systems_approach_to_understandi20161012-17935-6c6dbr.pdf,0
50370,Feedstocks for lignocellulosic biofuels,2010,Chris Somerville and Heather Youngs and Caroline Taylor and Sarah C Davis and Stephen P Long,329,,5993,790-792,American Association for the Advancement of Science,In 2008. the world produced approximately 87 gigaliters of liquid biofuels. which is roughly equal to the volume of liquid fuel consumed by Germany that year. Essentially. all of this biofuel was produced from crops developed for food production. raising concerns about the net energy and greenhouse gas effects and potential competition between use of land for production of fuels. food. animal feed. fiber. and ecosystem services. The pending implementation of improved technologies to more effectively convert the nonedible parts of plants (lignocellulose) to liquid fuels opens diverse options to use biofuel feedstocks that reach beyond current crops and the land currently used for food and feed. However. there has been relatively little discussion of what types of plants may be useful as bioenergy crops.,True,CXXYxf4AAAAJ:ULOm3_A8WrAC,1208,https://science.sciencemag.org/content/329/5993/790.abstract,15715479220589066915,/scholar?cites=15715479220589066915,,https://www.researchgate.net/profile/Heather_Youngs2/publication/45640323_Feedstocks_for_Lignocellulosic_Fuels/links/0deec53960377e1cdc000000/Feedstocks-for-Lignocellulosic-Fuels.pdf,0
50371,Insensitivity to ethylene conferred by a dominant mutation in Arabidopsis thaliana,1988,Anthony B Bleecker and Mark A Estelle and Chris Somerville and Hans Kende,241,Science,4869,1086-1089,American Association for the Advancement of Science,Ethylene influences a number of developmental processes and responses to stress in higher plants. The molecular basis for the action of ethylene was investigated in mutants of Arabidopsis thaliana that have altered responses to ethylene. One mutant line. which has a dominant mutation at a locus designated etr. lacks a number of responses to ethylene that are present in the wild-type plant. These include inhibition of cell elongation. promotion of seed germination. enhancement of peroxidase activity. acceleration of leaf senescence. and feedback suppression of ethylene synthesis by ethylene. These diverse responses. which occur in different tissues of Arabidopsis. appear to share some common element in their transduction pathways—for example. a single receptor for ethylene. Results of ethylene binding experiments in vivo indicate that this receptor may be affected by the etr mutation.,True,CXXYxf4AAAAJ:9yKSN-GCB0IC,1128,https://science.sciencemag.org/content/241/4869/1086.abstract,14712694278199682719,/scholar?cites=14712694278199682719,,,0
50372,Cellulose synthesis in higher plants,2006,Chris Somerville,22,,,53-78,Annual Reviews,Cellulose microfibrils play essential roles in the organization of plant cell walls. thereby allowing a growth habit based on turgor. The fibrils are made by 30 nm diameter plasma membrane complexes composed of approximately 36 subunits representing at least three types of related CESA proteins. The complexes assemble in the Golgi. where they are inactive. and move to the plasma membrane. where they become activated. The complexes move through the plasma membrane during cellulose synthesis in directions that coincide with the orientation of microtubules. Recent. simultaneous. live-cell imaging of cellulose synthase and microtubules indicates that the microtubules exert a direct influence on the orientation of cellulose deposition. Genetic studies in Arabidopsis have identified a number of genes that contribute to the overall process of cellulose synthesis. but the role of these proteins is not yet known.,True,CXXYxf4AAAAJ:ufrVoPGSRksC,968,https://www.annualreviews.org/doi/abs/10.1146/annurev.cellbio.22.022206.160206,11846930966458869637,/scholar?cites=11846930966458869637,,http://www.debiq.eel.usp.br/aferraz/T%C3%B3p.%20Esp.:%20Forma%C3%A7%C3%A3o%20e%20degrada%C3%A7%C3%A3o%20da%20parede%20celular/aula%202c%20cellulose%20synthesis%20in%20higher%20plants%20Chris%20Somerville.pdf,0
50373,Random GFP∷ cDNA fusions enable visualization of subcellular structures in cells of Arabidopsis at a high frequency,2000,Sean R Cutler and David W Ehrhardt and Joel S Griffitts and Chris R Somerville,97,Proceedings of the National Academy of Sciences,7,3718-3723,National Academy of Sciences,We describe a general approach for identifying components of subcellular structures in a multicellular organism by exploiting the ability to generate thousands of independent transformants in Arabidopsis thaliana. A library of Arabidopsis cDNAs was constructed so that the cDNAs were inserted at the 3′ end of the green fluorescent protein (GFP) coding sequence. The library was introduced en masse into Arabidopsis by Agrobacterium-mediated transformation. Fluorescence imaging of 5.700 transgenic plants indicated that ≈2% of lines expressed a fusion protein with a different subcellular distribution than that of soluble GFP. About half of the markers identified were targeted to peroxisomes or other subcellular destinations by non-native coding sequence (i.e.. out-of-frame cDNAs). This observation suggests that some targeting signals are of sufficiently low information content that they can be generated frequently …,True,CXXYxf4AAAAJ:qjMakFHDy7sC,925,https://www.pnas.org/content/97/7/3718.short,3219788423520155498,/scholar?cites=3219788423520155498,,https://www.pnas.org/content/pnas/97/7/3718.full.pdf,0
50374,Sequence and analysis of chromosome 2 of the plant Arabidopsis thaliana,1999,Xiaoying Lin and Samir Kaul and Steve Rounsley and Terrance P Shea and Maria-Ines Benito and Christopher D Town and Claire Y Fujii and Tanya Mason and Cheryl L Bowman and Mary Barnstead and Tamara V Feldblyum and C Robin Buell and Karen A Ketchum and John Lee and Catherine M Ronning and Hean L Koo and Kelly S Moffat and Lisa A Cronin and Mian Shen and Grace Pai and Susan Van Aken and Lowell Umayam and Luke J Tallon and John E Gill and Mark D Adams and Ana J Carrera and Todd H Creasy and Howard M Goodman and Chris R Somerville and Greg P Copenhaver and Daphne Preuss and William C Nierman and Owen White and Jonathan A Eisen and Steven L Salzberg and Claire M Fraser and J Craig Venter,402,Nature,6763,761-768,Nature Publishing Group,Arabidopsis thaliana (Arabidopsis) is unique among plant model organisms in having a small genome (130–140 Mb). excellent physical and genetic maps. and little repetitive DNA. Here we report the sequence of chromosome 2 from the Columbia ecotype in two gap-free assemblies (contigs) of 3.6 and 16 megabases (Mb). The latter represents the longest published stretch of uninterrupted DNA sequence assembled from any organism to date. Chromosome 2 represents 15% of the genome and encodes 4.037 genes. 49% of which have no predicted function. Roughly 250 tandem gene duplications were found in addition to large-scale duplications of about 0.5 and 4.5 Mb between chromosomes 2 and 1 and between chromosomes 2 and 4. respectively. Sequencing of nearly 2 Mb within the genetically defined centromere revealed a low density of recognizable genes. and a high density and diverse range of …,True,CXXYxf4AAAAJ:Fd3FjPIBfbkC,876,https://www.nature.com/articles/45471,14431242033303904556,/scholar?cites=14431242033303904556,,https://www.researchgate.net/profile/Jonathan_Eisen/publication/232761792_Sequence_and_analysis_of_chromosome_2_of_the_plant_Arabidopsis_thaliana/links/0c960522a867993eb3000000.pdf,0
50375,Cellulosic biofuels,2009,Andrew Carroll and Chris Somerville,60,,,165-182,Annual Reviews,The development of sustainable. low-carbon. liquid fuels from cellulosic biomass will require advances in many areas of science and engineering. This review describes the major topics of enquiry concerning cellulosic biofuels with an emphasis on those areas of research and development that include research problems of interest to plant biologists.,True,CXXYxf4AAAAJ:_kc_bZDykSQC,850,https://www.annualreviews.org/doi/abs/10.1146/annurev.arplant.043008.092125,9862213281283274255,/scholar?cites=9862213281283274255,,https://www.researchgate.net/profile/Andrew_Carroll6/publication/23478605_Cellulosic_Biofuels/links/553f80220cf2574dcf6298f1.pdf,0
50376,Genes galore: a summary of methods for accessing results from large-scale partial sequencing of anonymous Arabidopsis cDNA clones,1994,Tom Newman and Frans J de Bruijn and Pam Green and Ken Keegstra and Hans Kende and Lee McIntosh and John Ohlrogge and Natasha Raikhel and Shauna Somerville and Mike Thomashow and Ernie Retzel and Chris Somerville,106,Plant Physiology,4,1241-1255,American Society of Plant Biologists,High-throughput automated partial sequencing of anonymous cDNA clones  provides a method to survey the repertoire of expressed genes from an  organism. Comparison of the coding capacity of these expressed sequence  tags (ESTs) with the sequences in the public data bases results in assignment of putative function to a significant proportion of the ESTs.  Thus. the more than 13.400 plant ESTs that are currently available provide a new resource that will facilitate progress in many areas of plant  biology. These opportunities are illustrated by a description of the  results obtained from analysis of 1500 Arabidopsis ESTs from a cDNA library prepared from equal portions of poly(A+) mRNA from etiolated seedlings.  roots. leaves. and flowering inflorescences. More than 900 different  sequences were represented. 32% of which showed significant nucleotide or deduced amino acid sequence similarity to previously …,True,CXXYxf4AAAAJ:2osOgNQ5qMEC,773,http://www.plantphysiol.org/content/106/4/1241.short,284593540565319351,/scholar?cites=284593540565319351,,http://www.plantphysiol.org/content/plantphysiol/106/4/1241.full.pdf,0
