,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090714,Effect of kaolin additive on PM2. 5 reduction during pulverized coal combustion: importance of sodium and its occurrence in coal,2014,Junping Si and Xiaowei Liu and Minghou Xu and Lei Sheng and Zijian Zhou and Chao Wang and Yang Zhang and Yong-Chil Seo,114,Applied energy,,434-444,Elsevier,Little work has been performed on the importance of sodium and its occurrence in coal to PM2.5 (particles less than 2.5 μm in aerodynamic diameter) reduction by kaolin during O2/N2 combustion and O2/CO2 combustion at high temperatures. In this study. the combustion experiment of a treated low-sodium coal with sodium aluminosilicate additive was conducted in a lab-scale drop tube furnace (DTF) at 1500 °C to reveal the contribution of mineral melting and coalescence to PM2.5 reduction. Meanwhile. two typical Na-loaded coals (in which the sodium was loaded in the form of NaCl and sodium carboxylate. respectively) with kaolin added were also burnt under O2/N2 and O2/CO2 atmospheres to investigate the effect of interaction between kaolin and different chemical form sodium on PM2.5 reduction. The results show that sodium aluminosilicate is able to promote the migration of PM0.5–2.5 (particles in …,True,NlXZ_MYAAAAJ:UeHWp8X0CEIC,91,https://www.sciencedirect.com/science/article/pii/S0306261913008222,2173211379328793665,/scholar?cites=2173211379328793665,,,0,0,0
1090715,Screening of inert solid supports for CaO-based sorbents for high temperature CO2 capture,2016,Yingchao Hu and Wenqiang Liu and Hongqiang Chen and Zijian Zhou and Wenyu Wang and Jian Sun and Xinwei Yang and Xian Li and Minghou Xu,181,Fuel,,199-206,Elsevier,A screening of inert solid supports as metal skeletons of CaO-based sorbents was conducted in this work. aiming to provide the basis and guideline for the selection of inert solid refractories to produce high temperature CO2 capture sorbent. We studied 12 different refractories including Al-. Ti-. Mn-. Mg-. Y-. Si-. La-. Zr-. Ce-. Nd-. Pr- and Yb-based supports. among which Yb and Pr are newly introduced ones. The sorbents were synthesized using the same wet-mixing method. by which the inert supports could be well dispersed among the ultra-fine active specie of CaO/CaCO3 particles to fully play the role of frameworks for sintering resistance. The sorbents stabilized by these inert supports were also cyclically tested under the same conditions. Y- and Al-based supports were found to exhibit much superior cyclic performance than the other supports. Mn-. Mg-. La-. Yb- and Nd-based supports are also good candidates …,True,NlXZ_MYAAAAJ:WF5omc3nYNoC,77,https://www.sciencedirect.com/science/article/pii/S0016236116303039,8715653968010890432,/scholar?cites=8715653968010890432,,https://www.researchgate.net/profile/Yingchao_Hu2/publication/301903874_Screening_of_inert_solid_supports_for_CaO-based_sorbents_for_high_temperature_CO2_capture/links/5c9f0c3f92851cf0aea0c996/Screening-of-inert-solid-supports-for-CaO-based-sorbents-for-high-temperature-CO2-capture.pdf,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090716,Effects of existing energy saving and air pollution control devices on mercury removal in coal-fired power plants,2015,Ming-Hou Xu Zi-Jian Zhoua and Xiao-Wei Liu and  and  and Bo Zhaoa and Zhen-Guo Chena and Hai-Zhong Shaoa and Le-Le Wangb,131,Fuel Processing Technology,,99-108,,The impacts of a low temperature economizer (LTE) on mercury removal across an electrostatic precipitator and influence of load variation on mercury conversion over selective catalytic reduction (SCR) catalysts were determined at two coal-fired boilers. When the LTE was on. the total and elemental mercury removal efficiency increased by 42.87% and 18.85%. respectively. due to the improvement of adsorption and oxidation capacity of the fly ash at lower temperature. Mercury speciation at the inlet and outlet of the SCR system were analyzed. and the impacts of load variation and catalyst aging on Hg0 conversion were discussed. The variable loads resulted in simultaneous changes of the gas hourly space velocity. the ambient temperature. and the oxygen content. The results showed the load ratio was significant for Hg0 conversion by the SCR catalysts and load reduction benefitted Hg0 conversion. When the …,True,NlXZ_MYAAAAJ:d1gkVwhDpl0C,77,https://www.sciencedirect.com/science/article/pii/S0378382014004810,9519180042622795335,/scholar?cites=9519180042622795335,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090717,Elemental mercury oxidation over manganese-based perovskite-type catalyst at low temperature,2016,M Xu Z Zhou and X Liu and B Zhao and H Shao and Y Xu,288,Chemical Engineering Journal,,701–710,,La1−xSrxMnO3 (LSx. x = 0/0.2/0.4/0.6) perovskite-type oxides catalysts were synthesized for elemental mercury (Hg0) oxidation in simulated coal-fired flue gas at low temperature. LS0.4 exhibited superior catalytic behavior for Hg0 oxidation at 100–200 °C. The superior performance was mainly due to the surface adsorbed oxygen species in the catalysts. Effects of different components in the flue gas including HCl. O2. SO2. H2O. NO and NH3 on Hg0 oxidation efficiencies were studied. The results suggested that HCl significantly enhanced Hg0 oxidation efficiency in the presence of O2 and 10 ppmv HCl was sufficient for enhancing the oxidation process. As the catalyst had strong oxygen storage capacity. the Hg0 oxidation activity was less dependent on O2 concentration. As a result. the catalyst could be applied in the power plants burning low-chlorine coals. SO2. H2O and NH3 had inhibitory effect on Hg0 …,True,NlXZ_MYAAAAJ:u-x6o8ySG0sC,60,https://www.sciencedirect.com/science/article/pii/S1385894715017283,4105860502223426318,/scholar?cites=4105860502223426318,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090718,Catalytic oxidation of elemental mercury by Mn–Mo/CNT at low temperature,2016,Bo Zhao and Xiaowei Liu and Zijian Zhou and Haizhong Shao and Minghou Xu,284,Chemical Engineering Journal,,1233-1241,Elsevier,Mercury oxidized by a type of novel carbon nanotube catalyst was studied in this work. The results of this suggest that in the absence of HCl. Mn/CNT could perfectly catalytic the process of O2 oxidizing Hg0 at 150–250 °C. and even with only 10 ppm HCl present. this catalyst could attain a high mercury oxidation efficiency. The optimal temperature and MnO2 content for mercury oxidation was 250 °C and 5 wt%. However. Mn/CNT almost lost the ability to oxidize mercury in the presence of 500 ppm SO2 because SO2 reacted with MnO2 in the catalyst to form manganese sulfate. Tests of mercury oxidized by Mn–Mo/CNT indicated that SO2 could enhance mercury oxidation by this catalyst and that the optimal temperature for mercury oxidized by Mn–Mo/CNT decreased to 150 °C mainly because Mo was able to promote the transformation of SO2 to SO3. which is beneficial for mercury oxidation. and Mo was also able …,True,NlXZ_MYAAAAJ:9yKSN-GCB0IC,49,https://www.sciencedirect.com/science/article/pii/S1385894715013613,6973966810786497678,/scholar?cites=6973966810786497678,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090719,Elemental mercury removal using a novel KI modified bentonite supported by starch sorbent,2016,Haizhong Shao and Xiaowei Liu and Zijian Zhou and Bo Zhao and Zhenguo Chen and Minghou Xu,291,Chemical Engineering Journal,,306-316,Elsevier,A novel KI modified bentonite supported by starch sorbent (B–S–I) was synthesized and the comparison between B–S–I and the traditional KI modified bentonite sorbent (B–I) in Hg0 removal was performed under simulated flue gas. The results showed that B–S–I exhibited more remarkable Hg0 removal ability than B–I. This was because B–S–I demonstrated more excellent iodine uptake capacity due to the reaction between iodine and the starch loaded on B–S–I. I2 was validated to exist in B–S–I due to the KI oxidation by air and starch–iodine complex could be formed. The starch–iodine complex was considered to have the ability to provide I2 for Hg0 to form iodated mercuric compounds. O2 promoted Hg0 removal while H2O inhibited them. B–S–I exhibited a higher extent of Hg0 removal than B–I in the presence of O2 because more KI adsorbed by B–S–I could be oxidized to I2 by O2. SO2 showed distinct effects …,True,NlXZ_MYAAAAJ:Tyk-4Ss8FVUC,46,https://www.sciencedirect.com/science/article/pii/S1385894716300584,14954262298699350643,/scholar?cites=14954262298699350643,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090720,An efficient sorbent based on CuCl2 loaded CeO2-ZrO2 for elemental mercury removal from chlorine-free flue gas,2018,Zijian Zhou and Xiaowei Liu and Yingchao Hu and Zhiqiang Liao and Shan Cheng and Minghou Xu,216,Fuel,,356-363,Elsevier,To remove elemental mercury (Hg0) in chlorine-free coal combustion flue gas efficiently. CuCl2 loaded CeO2-ZrO2 sorbents (denoted as CC/CZ) were developed. In this way. the abundant Cl and affluent active chemical adsorbed oxygen (O∗) on the surface of the sorbent would be combined and made full use for Hg0 removal. XRD. XPS. SEM. Raman. TG. and N2 adsorption/desorption were employed to characterize the sorbents. Hg0 removal behaviors over CC/CZ were studied using a lab-scale fixed-bed reactor. The sorbent with optimal loading 6% CuCl2 exhibited superior and stable performances (89.6–97.1%) within a much wider applicable temperature range (100–300 °C) in the absence of HCl. The results also indicated that 6%CC/CZ exhibit very good performance at lower temperature (100–200 °C). The interaction between Cl and chemical adsorbed oxygen was observed and probably responsible …,True,NlXZ_MYAAAAJ:3fE2CSJIrl8C,42,https://www.sciencedirect.com/science/article/pii/S0016236117315491,13267366777042251658,/scholar?cites=13267366777042251658,,,0,0,0
,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
