id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
25000,,M Handley and H Schulzrinne and E Schooler and J Rosenberg,11372,10028521347775998407,"RFC 2543, Internet Engineering Task Force",,,,SIP: Session Initiation Protocol,,,1999,/scholar?cites=10028521347775998407,XRyUF6gAAAAJ:HDshCWvjkbEC
25001,"Hash tables-which map"" keys"" onto"" values""-are an essential building block in modern software systems. We believe a similar functionality would be equally valuable to large distributed systems. In this paper, we introduce the concept of a Content-Addressable Network (CAN) as a distributed infrastructure that provides hash table-like functionality on Internet-like scales. The CAN is scalable, fault-tolerant and completely self-organizing, and we demonstrate its scalability, robustness and low-latency properties through simulation.",Sylvia Ratnasamy and Paul Francis and Mark Handley and Richard Karp and Scott Shenker,10219,8792716695429496379,ACM SIGCOMM Computer Communication Review,4,161-172,ACM,A scalable content-addressable network,https://dl.acm.org/doi/abs/10.1145/383059.383072,31,2001,/scholar?cites=8792716695429496379,XRyUF6gAAAAJ:u5HHmVD_uO8C
25002,,Jonathan Rosenberg and Henning Schulzrinne and Gonzalo Camarillo and Alan Johnston and Jon Peterson and Robert Sparks and Mark Handley and Eve Schooler,10121,10028521347775998407,,,,"RFC 3261, Internet Engineering Task Force",SIP: session initiation protocol,http://www.hjp.at/doc/rfc/rfc3261.html,,2002,/scholar?cites=10028521347775998407,XRyUF6gAAAAJ:u-x6o8ySG0sC
25003,,Mark Handley and Colin Perkins and Van Jacobson,3977,10322104939715245760,,,,,SDP: session description protocol,http://scholar.google.com/scholar?cluster=18043951541601040128&hl=en&oi=scholarr,,2006,/scholar?cites=10322104939715245760,XRyUF6gAAAAJ:d1gkVwhDpl0C
25004,,Bill Fenner and Mark Handley and H Holbrook and Isidor Kouvelas,2262,6590938425928292295,,,,Internet Society,RFC 4601: Protocol Independent Multicast-Sparse Mode (PIM-SM): Protocol Specification (Revised),http://scholar.google.com/scholar?cluster=1408138038737009487&hl=en&oi=scholarr,,2006,/scholar?cites=6590938425928292295,XRyUF6gAAAAJ:EUQCXRtRnyEC
25005,"This paper proposes a mechanism for equation-based congestion control for unicast traffic. Most best-effort traffic in the current Internet is well-served by the dominant transport protocol, TCP. However, traffic such as best-effort unicast streaming multimedia could find use for a TCP-friendly congestion control mechanism that refrains from reducing the sending rate in half in response to a single packet drop. With our mechanism, the sender explicitly adjusts its sending rate as a function of the measured rate of loss events, where a loss event consists of one or more packets dropped within a single round-trip time. We use both simulations and experiments over the Internet to explore performance.",Sally Floyd and Mark Handley and Jitendra Padhye and Jörg Widmer,2169,14278850473642954148,ACM SIGCOMM Computer Communication Review,4,43-56,Acm,Equation-based congestion control for unicast applications,https://dl.acm.org/doi/abs/10.1145/347057.347397,30,2000,/scholar?cites=14278850473642954148,XRyUF6gAAAAJ:9yKSN-GCB0IC
25006,"Theory and experiments show that as the per-flow product of bandwidth and latency increases, TCP becomes inefficient and prone to instability, regardless of the queuing scheme. This failing becomes increasingly important as the Internet evolves to incorporate very high-bandwidth optical links and more large-delay satellite links. To address this problem, we develop a novel approach to Internet congestion control that outperforms TCP in conventional environments, and remains efficient, fair, scalable, and stable as the bandwidth-delay product increases. This new eXplicit Control Protocol, XCP, generalizes the Explicit Congestion Notification proposal (ECN). In addition, XCP introduces the new concept of decoupling utilization control from fairness control. This allows a more flexible and analytically tractable protocol design and opens new avenues for service differentiation. Using a control theory framework, we …",Dina Katabi and Mark Handley and Charlie Rohrs,1750,12962879822180495267,,,89-102,,Congestion control for high bandwidth-delay product networks,https://dl.acm.org/doi/abs/10.1145/633025.633035,,2002,/scholar?cites=12962879822180495267,XRyUF6gAAAAJ:UeHWp8X0CEIC
25007,,Mark Handley and Sally Floyd and Jitendra Padhye and Jörg Widmer,1521,2903234663956500014,,,,RFC,TCP friendly rate control (TFRC): Protocol specification,http://www.hjp.at/doc/rfc/rfc3448.html,3448,2003,/scholar?cites=2903234663956500014,XRyUF6gAAAAJ:Zph67rFs4hoC
25008,"TCP/IP communication is currently restricted to a single path per connection, yet multiple paths often exist between peers. The simultaneous use of these multiple paths for a TCP/IP session would improve resource usage within the network and thus improve user experience through higher throughput and improved resilience to network failure.Multipath TCP provides the ability to simultaneously use multiple paths between peers. This document presents a set of extensions to traditional TCP to support multipath operation. The protocol offers the same type of service to applications as TCP (ie, reliable bytestream), and it provides the components necessary to establish and use multiple TCP flows across potentially disjoint paths.",Alan Ford and Costin Raiciu and Mark Handley and Olivier Bonaventure,1388,3866433716614422150,RFC 6824,,,Internet Engineering Task Force,TCP Extensions for Multipath Operation with Multiple Addresses,https://ftp.ripe.net/rfc/v3test/draft-ietf-mptcp-rfc6824bis-18.pdf,,2013,/scholar?cites=3866433716614422150,XRyUF6gAAAAJ:vRqMK49ujn8C
25009,,Eddie Kohler and Mark Handley and F Floyd,1170,2924479639737445492,,,,Internet Society,RFC 4340: Datagram congestion control protocol (DCCP),http://scholar.google.com/scholar?cluster=16015231261247562345&hl=en&oi=scholarr,,2006,/scholar?cites=2924479639737445492,XRyUF6gAAAAJ:D_tqNUsBuKoC
25010,"End-to-end congestion control mechanisms have been critical to the robustness and stability of the Internet. Most of today's Internet traffic is TCP, and we expect this to remain so in the future. Thus, having ""TCP-friendly"" behavior is crucial for new applications. However, the emergence of non-congestion-controlled realtime applications threatens unfairness to competing TCP traffic and possible congestion collapse. We present an end-to-end TCP-friendly rate adaptation protocol (RAP), which employs an additive-increase, multiplicative-decrease (AIMD) algorithm. It is well suited for unicast playback of realtime streams and other semi-reliable rate-based applications. Its primary goal is to be fair and TCP-friendly while separating network congestion control from application-level reliability. We evaluate RAP through extensive simulation, and conclude that bandwidth is usually evenly shared between TCP and RAP …",Reza Rejaie and Mark Handley and Deborah Estrin,1168,5529690121760114833,,,1337-1345,IEEE,RAP: An end-to-end rate-based congestion control mechanism for realtime streams in the Internet,https://ieeexplore.ieee.org/abstract/document/752152/,3,1999,/scholar?cites=5529690121760114833,XRyUF6gAAAAJ:IjCSPb-OGe4C
