id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
19000,"The fuzzy set was conceived as a result of an attempt to come to grips with the problem of pattern recognition in the context of imprecisely defined categories. In such cases, the belonging of an object to a class is a matter of degree, as is the question of whether or not a group of objects form a cluster. A pioneering application of the theory of fuzzy sets to cluster analysis was made in 1969 by Ruspini. It was not until 1973, however, when the appearance of the work by Dunn and Bezdek on the Fuzzy ISODATA (or fuzzy c-means) algorithms became a landmark in the theory of cluster analysis, that the relevance of the theory of fuzzy sets to cluster analysis and pattern recognition became clearly established. Since then, the theory of fuzzy clustering has developed rapidly and fruitfully, with the author of the present monograph contributing a major share of what we know today. In their seminal work, Bezdek and Dunn have introduced the basic idea of determining the fuzzy clusters by minimizing an appropriately defined functional, and have derived iterative algorithms for computing the membership functions for the clusters in question. The important issue of convergence of such algorithms has become much better understood as a result of recent work which is described in the monograph.",James C Bezdek,20956,4309718249920630000,,,,Springer Science & Business Media,Pattern recognition with fuzzy objective function algorithms,http://books.google.com/books?hl=en&lr=&id=z6XqBwAAQBAJ&oi=fnd&pg=PR14&dq=info:8IyJGOoxzzsJ:scholar.google.com&ots=0iWOuZFhDo&sig=EVxq9Hv_9sJ8rDx0ijlf7C-RKHo,,2013,/scholar?cites=4309718249920630000,kXy4LAMAAAAJ:s2G-WRnXBicC
19001,"This paper transmits a FORTRAN-IV coding of the fuzzy c-means (FCM) clustering program. The FCM program is applicable to a wide variety of geostatistical data analysis problems. This program generates fuzzy partitions and prototypes for any set of numerical data. These partitions are useful for corroborating known substructures or suggesting substructure in unexplored data. The clustering criterion used to aggregate subsets is a generalized least-squares objective function. Features of this program include a choice of three norms (Euclidean, Diagonal, or Mahalonobis), an adjustable weighting factor that essentially controls sensitivity to noise, acceptance of variable numbers of clusters, and outputs that include several measures of cluster validity.",James C Bezdek and Robert Ehrlich and William Full,5185,8050684385299829334,Computers & Geosciences,2-3,191-203,Pergamon,FCM: The fuzzy c-means clustering algorithm,https://staff.fmi.uvt.ro/~daniela.zaharie/dm2019/EN/projects/biblio/FuzzyCMeans/FCM%20-%20The%20Fuzzy%20c-Means%20Clustering%20Algorithm.pdf,10,1984,/scholar?cites=8050684385299829334,kXy4LAMAAAAJ:9yKSN-GCB0IC
19002,"Many functionals have been proposed for validation of partitions of object data produced by the fuzzy c-means (FCM) clustering algorithm. We examine the role a subtle but important parameter-the weighting exponent m of the FCM model-plays in determining the validity of FCM partitions. The functionals considered are the partition coefficient and entropy indexes of Bezdek, the Xie-Beni (1991), and extended Xie-Beni indexes, and the Fukuyama-Sugeno index (1989). Limit analysis indicates, and numerical experiments confirm, that the Fukuyama-Sugeno index is sensitive to both high and low values of m and may be unreliable because of this. Of the indexes tested, the Xie-Beni index provided the best response over a wide range of choices for the number of clusters, (2-10), and for m from 1.01-7. Finally, our calculations suggest that the best choice for m is probably in the interval [1.5, 2.5], whose mean and …",Nikhil R Pal and James C Bezdek,2207,2056204744029945449,IEEE Transactions on Fuzzy systems,3,370-379,IEEE,On cluster validity for the fuzzy c-means model,https://ieeexplore.ieee.org/abstract/document/413225/,3,1995,/scholar?cites=2056204744029945449,kXy4LAMAAAAJ:rqnDXT1GswoC
19003,"Fuzzy Models and Algorithms for Pattern Recognition and Image Processing presents a comprehensive introduction of the use of fuzzy models in pattern recognition and selected topics in image processing and computer vision. Unique to this volume in the Kluwer Handbooks of Fuzzy Sets Series is the fact that this book was written in its entirety by its four authors. A single notation, presentation style, and purpose are used throughout. The result is an extensive unified treatment of many fuzzy models for pattern recognition. The main topics are clustering and classifier design, with extensive material on feature analysis relational clustering, image processing and computer vision. Also included are numerous figures, images and numerical examples that illustrate the use of various models involving applications in medicine, character and word recognition, remote sensing, military image analysis, and industrial engineering.",James C Bezdek and James Keller and Raghu Krisnapuram and Nikhil Pal,1791,10084874381146823978,,,,Springer Science & Business Media,Fuzzy models and algorithms for pattern recognition and image processing,http://books.google.com/books?hl=en&lr=&id=wIwlkgEE8_gC&oi=fnd&pg=PR9&dq=info:Kp2xVNGr9IsJ:scholar.google.com&ots=6QWmHPrLEy&sig=WpIXtRHQHR75_8V9iZfOtCSKiCk,4,1999,/scholar?cites=10084874381146823978,kXy4LAMAAAAJ:2osOgNQ5qMEC
19004,,James C Bezdek and Sankar K Pal,1772,337653028140586347,,,,Ieee,Fuzzy models for pattern recognition: methods that search for structures in data,http://scholar.google.com/scholar?cluster=337653028140586347&hl=en&oi=scholarr,,1992,/scholar?cites=337653028140586347,kXy4LAMAAAAJ:u-x6o8ySG0sC
19005,"Given a finite, unlabelled set of real vectors X, one often presumes the existence of (c) subsets (clusters) in X, the members of which somehow bear more similarity to each other than to members of adjoining clusters. In this paper, we use membership function matrices associated with fuzzy c-partitions of X, together with their values in the Euclidean (matrix) norm, to formulate an a posteriori method for evaluating algorithmically suggested clusterings of X. Several numerical examples are offered in support of the proposed technique.",James C Bezdek,1480,18016695900805204164,,3,58-73,Taylor & Francis Group,Cluster validity with fuzzy sets,https://www.tandfonline.com/doi/abs/10.1080/01969727308546047,3,1973,/scholar?cites=18016695900805204164,kXy4LAMAAAAJ:IjCSPb-OGe4C
19006,"Magnetic resonance imaging (MRI) systems measure spatial distributions of several distinct tissue-related parameters such as relaxation times and proton density. Analogous to LANDSAT imagery, MRI measurements are collections of features (that is, numerical characteristics) from spatial arrays that are aggregated into multidimensional data (from a single anatomical slice). 1-11 Measured intensities at p different"" frequencies"" at each spatial (pixel) location can be used as a basis for algorithmically formed tissue clusters in/»-dimensional feature space, which is the collection of all possible aggregates of the measured features. As p is increased using different tailored pulse sequences, higher-dimensional feature spaces may yield improved image segmentation when compared to visual interpretation or gray-scale segmentation of single MR images. 4-712 For example, 2-D or 3-D Fouriertransformed sequences …",James C Bezdek and LO Hall and L_P Clarke,1359,5460300214102710967,MEDICAL PHYSICS-LANCASTER PA-,,1033-1033,American Institute of Physics,Review of MR image segmentation techniques using pattern recognition,http://ee.sharif.edu/~miap/Files/MedPhy%201993%20Review%20MR%20Segmentation.pdf,20,1993,/scholar?cites=5460300214102710967,kXy4LAMAAAAJ:qjMakFHDy7sC
19007,"We review two clustering algorithms (hard c-means and single linkage) and three indexes of crisp cluster validity (Hubert's statistics, the Davies-Bouldin index, and Dunn's index). We illustrate two deficiencies of Dunn's index which make it overly sensitive to noisy clusters and propose several generalizations of it that are not as brittle to outliers in the clusters. Our numerical examples show that the standard measure of interset distance (the minimum distance between points in a pair of sets) is the worst (least reliable) measure upon which to base cluster validation indexes when the clusters are expected to form volumetric clouds. Experimental results also suggest that intercluster separation plays a more important role in cluster validation than cluster diameter. Our simulations show that while Dunn's original index has operational flaws, the concept it embodies provides a rich paradigm for validation of partitions that …",James C Bezdek and Nikhil R Pal,1324,8323637445052435102,"IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",3,301-315,IEEE,Some new indexes of cluster validity,https://ieeexplore.ieee.org/abstract/document/678624/,28,1998,/scholar?cites=8323637445052435102,kXy4LAMAAAAJ:UeHWp8X0CEIC
19008,"In this paper the convergence of a class of clustering procedures, popularly known as the fuzzy ISODATA algorithms, is established. The theory of Zangwill is used to prove that arbitrary sequences generated by these (Picard iteration) procedures always terminates at a local minimum, or at worst, always contains a subsequence which converges to a local minimum of the generalized least squares objective functional which defines the problem.",James C Bezdek,1205,11681112440443917184,IEEE transactions on pattern analysis and machine intelligence,1,1-8,IEEE,A convergence theorem for the fuzzy ISODATA clustering algorithms,https://ieeexplore.ieee.org/abstract/document/4766964/,,1980,/scholar?cites=11681112440443917184,kXy4LAMAAAAJ:zYLM7Y9cAGgC
19009,Multiple classifier fusion may generate more accurate classification than each of the constituent classifiers. Fusion is often based on fixed combination rules like the product and average. Only under strict probabilistic conditions can these rules be justified. We present here a simple rule for adapting the class combiner to the application. c decision templates (one per class) are estimated with the same training set that is used for the set of classifiers. These templates are then matched to the decision profile of new incoming objects by some similarity measure. We compare 11 versions of our model with 14 other techniques for classifier fusion on the Satimage and Phoneme datasets from the database ELENA. Our results show that decision templates based on integral type measures of similarity are superior to the other schemes on both data sets.,Ludmila I Kuncheva and James C Bezdek and Robert PW Duin,1195,17778516152451076028,Pattern recognition,2,299-314,Pergamon,Decision templates for multiple classifier fusion: an experimental comparison,https://www.sciencedirect.com/science/article/pii/S003132039900223X,34,2001,/scholar?cites=17778516152451076028,kXy4LAMAAAAJ:Y0pCki6q_DkC
