id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year
3000,"We present an extensive molecular‐dynamics simulation for a bead spring model of a melt of linear polymers. The number of monomers N covers the range from N=5 to N=400. Since the entanglement length Ne is found to be approximately 35, our chains cover the crossover from the nonentangled to the entangled regime. The Rouse model provides an excellent description for short chains N<Ne, while the dynamics of the long chains can be described by the reptation model. By mapping the model chains onto chemical species we give estimates of the times and distances of onset of the slowing down in motion due to reptation. Comparison to neutron spin‐echo data confirm our mapping procedure, resolving a discrepancy between various experiments. By considering the primitive chain we are able to directly visualize the confinement to a tube. Analyzing the Rouse mode relaxation allows us to exclude the …",Kurt Kremer and Gary S Grest,3234,10164367454711182685,The Journal of Chemical Physics,8,5057-5086,American Institute of Physics,Dynamics of entangled linear polymer melts: A molecular‐dynamics simulation,https://aip.scitation.org/doi/abs/10.1063/1.458541,92,1990
3001,"We describe an efficient and general algorithm for simulating polymers, which can be used for single, large chains as well as many-chain systems. It allows us to distinguish solvent effects from interchain effects on the dynamics of the chains. The method is tested for linear and cyclic chains of 50 to 200 monomers. We have confirmed two theoretical results which have not been observed numerically or experimentally, namely the anomalous behavior of S (q) for rings and the t 0.54 power law for the motion of a monomer in a self-avoiding chain undergoing Rouse relaxation.",Gary S Grest and Kurt Kremer,1606,14013357973757693769,Physical Review A,5,3628,American Physical Society,Molecular dynamics simulation for polymers in the presence of a heat bath,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.33.3628,33,1986
3002,"We present a new effective algorithm to simulate dynamic properties of polymeric systems confined to lattices. The algorithm displays Rouse behavior for all spatial dimensions. It combines typical advantages of lattice Monte Carlo methods with those from the continuous Brownian dynamics algorithm. In addition, it allows for the simulation of branched structures and is shown to be ergodic. Detailed numerical tests for random and self-avoiding walks are performed for d= 2. For SAWs the power law for the mean-square displacement for inner monomers, g (t)= tVd+ d/2*·))(at0*, d= 2), is clearly found. Also, an anomaly in the static structure function S (k), which is typical for d= 2 linear polymers, was found. We can also compare this ergodic algorithmwith a nonergodic one, which seems to be suitable for isolated chains.",I Carmesin and Kurt Kremer,1502,14620577461690549962,Macromolecules,9,2819-2823,American Chemical Society,The bond fluctuation method: a new effective algorithm for the dynamics of polymers in all spatial dimensions,https://pubs.acs.org/doi/pdf/10.1021/ma00187a030,21,1988
3003,"Written by leading experts from around the world, Monte Carlo and Molecular Dynamics Simulations in Polymer Science comprehensively reviews the latest simulation techniques for macromolecular materials. Focusing in particular on numerous new techniques, the book offers authoritative introductions to solutions of neutral polymers and polyelectrolytes; dynamics of polymer melts, rubbers and gels, and glassy materials; thermodynamics of polymer mixing and mesophase formation, and polymers confined at interfaces and grafted to walls. Throughout, contributors offer practical advice on how to overcome the unique challenges posed by the large size and slow relaxation of polymer coils. Students and researchers in polymer chemistry, polymer physics, chemical engineering, and materials and computational science will all benefit from the cogent, step-by-step introductions contained in this important new book.",Kurt Binder,1249,17433941633135794728,,,,Oxford University Press,Monte Carlo and molecular dynamics simulations in polymer science,http://scholar.google.com/scholar?cluster=17433941633135794728&hl=en&oi=scholarr,,1995
3004,"The influence of a hard wall on the configurations of long flexible polymer chains near the wall is studied, in the presence of a short‐range attractive force between monomers and the wall. Particular attention is paid to the region around the temperature Ta below which the polymer becomes adsorbed to the wall, i.e., where the typical polymer linear dimensions perpendicular to the wall become independent of chain length. Both ideal noninteracting chains and chains with excluded volume interactions are treated. Polymer linear dimensions parallel and perpendicular to the wall and their probability distributions are studied, as well as the behavior of the monomer fraction at the surface and a distance z in the interior. The relation of polymer statistics to the problem of correlation functions in the n‐vector model of magnetism in the limit n→0 is exploited to express both the exponents describing the various power laws …",E Eisenriegler and K Kremer and K Binder,766,6741242804264981470,The Journal of Chemical Physics,12,6296-6320,American Institute of Physics,Adsorption of polymer chains at surfaces: Scaling and Monte Carlo analyses,https://aip.scitation.org/doi/abs/10.1063/1.443835,77,1982
3005,"The phase diagram and dynamical properties of systems of particles interacting through a repulsive screened Coulomb (Yukawa) potential have been calculated using molecular and lattice dynamics techniques. The phase diagram contains both a melting transition and a transition from fcc to bcc crystalline phases. These phase transitions have been studied as a function of potential shape (screening length) and compared to phenomenological criteria for transition temperatures such as those of Lindemann and of Hansen and Verlet. The transition from fcc to bcc with increasing temperature is shown to result from a higher entropy in the bcc phase because of its softer shear modes. Even when the stable solid phase below the melting temperature is fcc, bcc‐like local order is found in the liquid phase. This may substantially slow crystallization. The calculated phase diagram and shear modulus are in good …",Mark O Robbins and Kurt Kremer and Gary S Grest,725,6588943183646612935,The Journal of chemical physics,5,3286-3312,American Institute of Physics,Phase diagram and dynamics of Yukawa systems,https://aip.scitation.org/doi/abs/10.1063/1.453924,88,1988
3006,"Membrane remodelling 1, 2, 3, 4, 5 plays an important role in cellular tasks such as endocytosis, vesiculation and protein sorting, and in the biogenesis of organelles such as the endoplasmic reticulum or the Golgi apparatus. It is well established that the remodelling process is aided by specialized proteins that can sense 4 as well as create 6 membrane curvature, and trigger tubulation 7, 8, 9 when added to synthetic liposomes. Because the energy needed for such large-scale changes in membrane geometry significantly exceeds the binding energy between individual proteins and between protein and membrane, cooperative action is essential. It has recently been suggested 10, 11 that curvature-mediated attractive interactions could aid cooperation and complement the effects of specific binding events on membrane remodelling. But it is difficult to experimentally isolate curvature-mediated interactions from direct …",Benedict J Reynwar and Gregoria Illya and Vagelis A Harmandaris and Martin M Müller and Kurt Kremer and Markus Deserno,699,11673756883595978037,Nature,7143,461-464,Nature Publishing Group,Aggregation and vesiculation of membrane proteins by curvature-mediated interactions,https://www.nature.com/articles/nature05840,447,2007
3007,"The viscoelastic properties of high molecular weight polymeric liquids are dominated by topological constraints on a molecular scale. In a manner similar to that of entangled ropes, polymer chains can slide past but not through each other. Tube models of polymer dynamics and rheology are based on the idea that entanglements confine a chain to small fluctuations around a primitive path that follows the coarse-grained chain contour. Here we provide a microscopic foundation for these highly successful phenomenological models. We analyze the topological state of polymeric liquids in terms of primitive paths and obtain parameter-free, quantitative predictions for the plateau modulus, which agree with experiment for all major classes of synthetic polymers.",Ralf Everaers and Sathish K Sukumaran and Gary S Grest and Carsten Svaneborg and Arvind Sivasubramanian and Kurt Kremer,633,15969684641401108416,Science,5659,823-826,American Association for the Advancement of Science,Rheology and microscopic topology of entangled polymeric liquids,https://science.sciencemag.org/content/303/5659/823.abstract,303,2004
3008,"We present results of molecular dynamics simulations of linear polyelectrolytes in solution. The fundamental model for polyelectrolytes in solution is studied. Specifically, simulations are performed for multichain systems of a flexible chain model of charged polymers. The full Coulomb interactions of the monomers and counterions are treated explicitly. Experimental measurements of the osmotic pressure and the structure factor are reproduced. The simulations reveal a new picture of the chain structure based on calculations of the structure factor, persistence length, end‐to‐end distance, etc. We present a detailed discussion of the chain structure and a comparison with present theories. In contrast to the predicted dilute limit of rodlike chains, we find that the chains have significant bending at very low densities. Furthermore, the chains contract significantly before they overlap. We also show that counterion …",Mark J Stevens and Kurt Kremer,515,7108113159171126129,The Journal of chemical physics,4,1669-1690,American Institute of Physics,The nature of flexible linear polyelectrolytes in salt free solution: A molecular dynamics study,https://aip.scitation.org/doi/abs/10.1063/1.470698,103,1995
3009,"Discotic liquid crystals are a promising class of materials for molecular electronics thanks to their self-organization and charge transporting properties. The best discotics so far are built around the coronene unit and possess six-fold symmetry. In the discotic phase six-fold-symmetric molecules stack with an average twist of 30∘, whereas the angle that would lead to the greatest electronic coupling is 60∘. Here, a molecule with three-fold symmetry and alternating hydrophilic/hydrophobic side chains is synthesized and X-ray scattering is used to prove the formation of the desired helical microstructure. Time-resolved microwave-conductivity measurements show that the material has indeed a very high mobility, 0.2 cm 2 V− 1 s− 1. The assemblies of molecules are simulated using molecular dynamics, confirming the model deduced from X-ray scattering. The simulated structures, together with quantum-chemical …",Xinliang Feng and Valentina Marcon and Wojciech Pisula and Michael Ryan Hansen and James Kirkpatrick and Ferdinand Grozema and Denis Andrienko and Kurt Kremer and Klaus Müllen,509,14493941227071916047,Nature materials,5,421-426,Nature Publishing Group,Towards high charge-carrier mobilities by rational design of the shape and periphery of discotics,https://www.nature.com/articles/nmat2427,8,2009
