,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
314801,"Professor, School of Computing & Information Systems, Athabasca University",,4543,iE7eHXcAAAAJ,{'indices'},,Jon Dron,,2099,26,17,63,27,0,0
314802,University of Alberta,,7097,M1dwruoAAAAJ,{'indices'},,Liam Rourke,,2121,23,16,32,22,0,0
314803,"TUS, Liberal Arts, Japan 東京理科大学",,925,jdXmBrsAAAAJ,{'indices'},,Terumi Miyazoe 宮添輝美,,520,10,7,11,6,0,0
314804,University of Alberta,,12876,rFkvhkEAAAAJ,{'indices'},,Heather Kanuka,,5282,31,23,52,32,0,0
314805,"Professor, Technology Enhanced Knowledge Research Institute, Athabasca University",,6007,Z1L4514AAAAJ,{'indices'},,Rory McGreal,,2499,30,19,54,28,0,0
314806,Frederick Community College,,2323,o8K2YScAAAAJ,{'indices'},,Julie Shattuck,,1619,8,6,6,5,0,0
314807,"Professeur titulaire, département de psychopédagogie et d'andragogie, directeur du Centre de",,845,AA7Zp78AAAAJ,{'indices'},,Bruno Poellhuber,,473,14,10,19,12,0,0
314808,"Professor of Educational Technology, University of Oldenburg, Germany",,2955,-yWppRsAAAAJ,{'indices'},,Olaf Zawacki-Richter,,2082,29,23,63,43,0,0
314809,"Education Technology, Okanagan College",,455,U2Vq_ncAAAAJ,{'indices'},,Ross McKerlich,,264,5,5,4,4,0,0
314810,"Professor, Educational Technology, Boise State University",,5488,vjGTaG4AAAAJ,{'indices'},,Norm Friesen,,2368,31,23,80,44,0,0
314811,University of Alberta,,1638,mz4ll6QAAAAJ,{'indices'},,Katy Campbell,,513,19,12,22,12,0,0
314812,"Director, UNESCO Chair in Education & Technology for Social Change, Universitat Oberta de Catalunya",,5225,5PVirWIAAAAJ,{'indices'},,Albert Sangrà,,2542,31,23,59,39,0,0
314813,Université de Montréal,,1114,SbUwuzEAAAAJ,{'indices'},,Normand Roy,,654,14,11,14,11,0,0
314814,Dr.,,3224,88SKrBEAAAAJ,{'indices'},,zehra akyol,,1956,17,14,17,16,0,0
314815,Open University,,7050,mos29XQAAAAJ,{'indices'},,Martin Weller,,3433,39,27,88,57,0,0
314816,"UT Arlington, University of South Australia",,27491,EtknWk4AAAAJ,{'indices'},,George Siemens,,16858,55,45,116,94,0,0
314817,National Research Council Canada,,10394,Uz8GKA0AAAAJ,{'indices'},,Stephen Downes,,3468,34,21,88,36,0,0
314818,University of Ottawa,,113,g-HrbToAAAAJ,{'indices'},,Shanta Rohse,,75,3,3,2,2,0,0
314819,African Virtual University,,1864,CdlVBl4AAAAJ,{'indices'},,griff richards,,381,21,9,37,9,0,0
314820,"School of Interactive Arts & Technology, Simon Fraser University",,5227,ApdHT0UAAAAJ,{'indices'},,Marek Hatala,,2564,41,26,104,54,0,0
314821,KM&EL Journal,,4437,CXCyQxYAAAAJ,{'indices'},,KM&EL Journal,,2836,31,29,32,32,0,0
314822,"Professor of Medicine and Medical Education, Mayo Clinic",,8190,G_pQnqgAAAAJ,{'indices'},,"Thomas J. Beckman, MD, FACP",,5483,38,29,88,68,0,0
314823,University of Toronto,,7360,ByGGgPsAAAAJ,{'indices'},,Ryan Brydges,,5198,33,31,59,50,0,0
314824,University of Toronto,,11186,NpPVmasAAAAJ,{'indices'},,"Stanley J Hamstra, PhD",,6041,45,33,97,75,0,0
314825,NYU Grossman School of Medicine,,2853,1a5cOfwAAAAJ,{'indices'},,"Marc Triola, MD",,1329,21,17,37,25,0,0
314826,Mayo Clinic,,20221,K7PGPT0AAAAJ,{'indices'},,"Colin P West, MD, PhD, FACP",,15482,58,51,116,106,0,0
314827,National University,,894,GdlrOhgAAAAJ,{'indices'},,Thomas H Reynolds,,271,11,6,12,4,0,0
314828,"Professor of Curriculum and Instruction, University of Houston",,1155,de60ea4AAAAJ,{'indices'},,Mimi Miyoung Lee,,828,15,12,24,14,0,0
314829,Florida State University,,4563,fkGwM8YAAAAJ,{'indices'},,Vanessa Dennen,,1777,32,20,58,36,0,0
314830,Indiana University,,7741,l13_u9wAAAAJ,{'indices'},,Noriko Hara,,2079,31,20,53,32,0,0
314831,"Professor of Instructional Technology, Department of Education, University of Cyprus",,6940,3eOMkcUAAAAJ,{'indices'},,Charoula Angeli,,3091,32,22,53,43,0,0
314832,Wayne State University,,1981,5y4teTYAAAAJ,{'indices'},,Ke Zhang,,899,19,13,28,17,0,0
314833,"Assistant Professor, Wayne State University",,297,p5ErZXUAAAAJ,{'indices'},,Meina Zhu,,297,8,8,8,8,0,0
314834,University of Hawaii at Manoa,,995,jmCVAWoAAAAJ,{'indices'},,Meng-Fen Grace Lin,,426,12,8,16,8,0,0
314835,Brigham Young University,,20958,6OjirS8AAAAJ,{'indices'},,Charles R. Graham,,12306,53,45,105,88,0,0
314836,The University of Georgia,,22680,d76nkwoAAAAJ,{'indices'},,Thomas C. Reeves,,8769,65,40,141,87,0,0
314837,"Professor Emeritus, Indiana University",,1644,elvapk0AAAAJ,{'indices'},,Jack A Cummings,,359,21,10,41,11,0,0
314838,Uniformed Services University,,199,-YhyWV0AAAAJ,{'indices'},,Yating Teng,,63,7,5,5,3,0,0
314839,"Assoc. Dean of Scholarship & Innovation, Mary Lou Fulton Teacher's College, Arizona State",,34730,BvF3pA4AAAAJ,{'indices'},,Punya Mishra,,19999,54,41,137,94,0,0
314840,"Indiana University Bloomington, Yogyakarta State University, Universitas Negeri Yogyakarta",,547,K7bjcMcAAAAJ,{'indices'},,Annisa Ratna Sari,,490,10,10,10,10,0,0
314841,,,67,6RCc9MAAAAAJ,{'indices'},,Suthiporn Sajjapanroj,,16,5,2,3,0,0,0
314842,"Associate Professor, University Libraries, Kent State University",,267,NOg5O2sAAAAJ,{'indices'},,FENG-RU SHEU,,231,6,6,5,4,0,0
