,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
342246,"CoE Chair Professor of Mechanical Eng., Villanova University, USA, Professor INSA Toulouse, France",,14198,wq-o5EcAAAAJ,{'indices'},,Sylvie Lorente,,5082,48,27,160,106,0,0
342247,UFPR,,3680,_GbWsxEAAAAJ,{'indices'},,Jose Viriato Coelho Vargas,,1539,32,20,81,50,0,0
342248,"Professor, School of Sciences and Technologies, University of Evora",,6655,5RoNSnIAAAAJ,{'indices'},,A. Heitor Reis,,1998,21,13,36,22,0,0
342249,University of Ontario Institute of Technology,,63780,mLx9ZO0AAAAJ,{'indices'},,Ibrahim Dincer,,36401,119,87,830,687,0,0
342250,ETH Zurich,,29711,RQZI4r0AAAAJ,{'indices'},,Dimos Poulikakos,,13464,89,57,371,257,0,0
342251,Professor do Programa de Pós-Graduação em Engenharia Mecânica da UNISINOS,,4253,hyTK1RUAAAAJ,{'indices'},,Luiz Alberto Oliveira Rocha,,2566,32,27,92,84,0,0
342252,Southern Methodist University,,4735,L-0SAQ4AAAAJ,{'indices'},,Jose´ Lage,,1350,36,17,75,35,0,0
342253,"Professor of Environmental Engineering, Brazilian Federal University of Paraná",,1166,VcZP1GkAAAAJ,{'indices'},,Marcelo R. Errera,,537,15,12,18,15,0,0
342254,"Professor of Mechanical Engineering, University of Cape Town",,2251,RNHCGK0AAAAJ,{'indices'},,"Tunde Bello-Ochende, PhD",,1457,29,23,44,34,0,0
342255,"Florida State University, Department of Mechanical Engineering",,1972,IXeH0BIAAAAJ,{'indices'},,Juan C. Ordonez,,1087,23,17,59,39,0,0
342256,"Department of Physics, University of Evora, Portugal",,7187,FwNcf8UAAAAJ,{'indices'},,Antonio Ferreira Miguel,,2204,28,18,53,29,0,0
342257,"Professor of Mechanical Engineering, University of Massachusetts Dartmouth",,2621,PCPtGB8AAAAJ,{'indices'},,Alex J Fowler,,760,22,14,32,14,0,0
342258,Professor at Department of Petroleum Engineering at Unicamp,,1757,3JFqehoAAAAJ,{'indices'},,OSVAIR VIDAL TREVISAN,,798,17,14,25,17,0,0
342259,,,7932,-th0SVMAAAAJ,{'indices'},,WJ Minkowycz,,2588,41,27,104,54,0,0
342260,"Associate Professor of Mechanical Engineering, University of Alaska Fairbanks",,848,CqX8uIUAAAAJ,{'indices'},,Sunwoo Kim,,407,14,9,15,9,0,0
