,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
345670,Kharkiv National University of Radioelectronics,,1600,lmVrEM4AAAAJ,{'indices'},,Vladimir Hahanov (Володимир Хахан...,,770,19,12,47,19,0,0
345671,Kharkov National University of Radioelectronics,,739,J5ePrKcAAAAJ,{'indices'},,Svetlana Chumachenko  / Светлана Ч...,,443,12,8,14,8,0,0
345672,Professor of Computer Science,,755,-f2GdTQAAAAJ,{'indices'},,Wajeb Gharibi,,565,15,13,25,19,0,0
345673,Xi'an Jiaotong-Liverpool University ,,2535,XBwrKysAAAAJ,{'indices'},,Ka Lok Man,,1402,23,18,71,42,0,0
345674,university teacher computer science university of baghdad,,91,2vBA59oAAAAJ,{'indices'},,baghdadi ammar awni abbas,,54,4,4,2,2,0,0
345675,"доцент кафедры АПВТ, Kharkiv National University of Radioelectronics",,125,Auk3dIwAAAAJ,{'indices'},,Анна Хаханова/ Anna Hahanova/ Ha...,,85,5,5,4,3,0,0
345676,First Institute of Reliable Software,,115,UbGdOYIAAAAJ,{'indices'},,Vladimir Obrizan,,73,5,3,4,2,0,0
345677,Kharkiv National University of Radioelectronics,,134,lby3b24AAAAJ,{'indices'},,Oleksandr Mishchenko,,109,6,5,3,2,0,0
345678,Kharkiv National university of Radioelectronics,,75,AxhRq5AAAAAJ,{'indices'},,Artur Ziarmand,,64,5,5,3,3,0,0
345679,Ректор Донецкой академии автомобильного транспорта,,66,RXImXjYAAAAJ,{'indices'},,Ирина Павловна Энглези,,29,5,2,0,0,0,0
345680,Kharkiv National University of Radioelectronics,,26,KYTotG8AAAAJ,{'indices'},,Ігор Ємельянов,,17,3,2,0,0,0,0
345681,Dublin City University,,1262,58Tv7lsAAAAJ,{'indices'},,John Geraghty,,708,13,9,13,9,0,0
345682,Professor @ Technological University Dublin (TUD),,1644,JlcQFV0AAAAJ,{'indices'},,"Amr Arisha, PhD",,1173,18,15,37,26,0,0
345683,Associate Professor in Operations and Supply Chain Management,,2068,95c4nDoAAAAJ,{'indices'},,Arijit Bhattacharya,,1214,18,14,29,18,0,0
345684,"Optimisation Scientist, Irish Manufacturing Research",,46,qLnbHrcAAAAJ,{'indices'},,Anna Rotondo,,28,4,3,0,0,0,0
