,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
608098,Tsinghua University,,34133,IBF9kPwAAAAJ,{'indices'},,Junwei Cao,,20433,80,46,163,123,0,0
608099,"James W. Bagley Chair Professor, Mississippi State University",,18168,5UzSbgIAAAAJ,{'indices'},,Samee U. Khan,,13735,65,57,229,184,0,0
608100,"Professor of High Performance Computing and Networking, Sydney University",,28226,ak35bjgAAAAJ,{'indices'},,Albert Y. Zomaya,,16631,78,60,481,332,0,0
608101,"Professor of Computer Science, Carnegie Mellon University",,1133,R9sorZwAAAAJ,{'indices'},,Majd Sakr,,534,15,11,17,12,0,0
608102,Qatar University,,2003,uxzUkuUAAAAJ,{'indices'},,Qutaibah Malluhi,,1298,19,17,34,26,0,0
608103,"Professor of Computer & Electrical Engineering and Computer Science, Florida Atlantic",,1215,c2XTHWgAAAAJ,{'indices'},,Shihong Huang,,352,19,10,33,11,0,0
608104,"Associate Professor, Qatar University",,1545,ekS-yPIAAAAJ,{'indices'},,Tamer Elsayed,,992,21,18,41,36,0,0
608105,"School of Computer, Data and Mathematical Sciences, Western Sydney University",,16577,Fj8MuyEAAAAJ,{'indices'},,Rodrigo N. Calheiros,,10896,44,42,68,65,0,0
608106,IBM Research - Ireland,,17423,kTs7svoAAAAJ,{'indices'},,Srikumar Venugopal,,5729,37,22,63,38,0,0
608107,"Distinguished Professor and Academic Director, School of Computing, Newcastle University, UK",,19913,Y_Y3fVEAAAAJ,{'indices'},,Rajiv Ranjan,,13460,58,52,193,161,0,0
608108,"School of Computing and Information Systems, University of Tasmania",,6920,Npd4ZzgAAAAJ,{'indices'},,Saurabh Garg,,4375,32,28,64,60,0,0
608109,Software Engineer at Google,,14654,OjQKzwcAAAAJ,{'indices'},,Anton Beloglazov,,9209,18,18,20,19,0,0
608110,Singapore University of Social Sciences,,12782,SLD1hG4AAAAJ,{'indices'},,Chee Shin Yeo,,4793,16,13,17,14,0,0
608111,PwC,,4283,CxiatUQAAAAJ,{'indices'},,Amir Vahid Dastjerdi,,3818,30,29,38,35,0,0
608112,University of Queensland,,12766,o5NbsPEAAAAJ,{'indices'},,David Abramson,,1713,42,20,138,36,0,0
608113,"Research Scientist, IBM Research - Australia",,3080,C9YzE4wAAAAJ,{'indices'},,Christian Vecchiola,,1360,20,14,25,18,0,0
608114,"Faculty of Information Systems, Monash University",,2802,qIh_I-gAAAAJ,{'indices'},,Adel N. Toosi,,2087,24,21,34,31,0,0
608115,ETS Montreal,,4091,nn5DX-MAAAAJ,{'indices'},,Marcos Assuncao,,2621,26,20,47,35,0,0
608116,"Past - UniMelb, CSIRO, IBM Research Australia",,3099,mqVTWv0AAAAJ,{'indices'},,Dr Suraj Pandey,,1525,17,13,26,17,0,0
608117,"Professor of Information Technology, Federation University Australia",,4963,2546GSEAAAAJ,{'indices'},,Manzur Murshed,,1532,25,16,72,28,0,0
608118,Full Professor - Computer Science - School of Technology - PUCRS - Brazil,,8223,MliaRD4AAAAJ,{'indices'},,Cesar Augusto Fonticielha De Rose,,4876,21,15,35,20,0,0
608119,IBM Research,,3451,x5VvtLwAAAAJ,{'indices'},,Marco A. S. Netto,,2537,25,20,48,39,0,0
608120,Professor of Electrical Engineering,,27466,XQ1NBoYAAAAJ,{'indices'},,M. Palaniswami,,17837,61,41,282,161,0,0
608121,"School of Computing and Information Systems, The University of Melbourne",,1153,mFBMaEwAAAAJ,{'indices'},,Maria Alejandra Rodriguez,,1069,10,10,12,12,0,0
608122,"Lecturer (Assistant Professor) of Cloud Computing, Queen Mary University of London, UK",,2267,NHkWom4AAAAJ,{'indices'},,Sukhpal Singh Gill,,2084,25,23,42,38,0,0
608123,"Indian Institute of Technology Kharagpur, India",,4076,wTtdGd4AAAAJ,{'indices'},,Soumya K. Ghosh,,3265,26,23,85,58,0,0
608124,"Vice Chancellor, Bangalore University, IEEE Fellow, ACM Distinguished Educator",,5125,F4Fhh8IAAAAJ,{'indices'},,Venugopal K R,,3051,34,24,116,76,0,0
608125,"Bloomberg Distinguished Professor, Johns Hopkins University",,238069,sUVeH-4AAAAJ,{'indices'},,Steven Salzberg,,123278,145,102,297,236,0,0
608126,"Professor of Biostatistics, Johns Hopkins Bloomberg School of Public Health",,14590,HI-I6C0AAAAJ,{'indices'},,Jeff Leek,,10697,44,39,68,65,0,0
608127,"Dept. of Biostatistics, Johns Hopkins University",,16395,8XOPyM4AAAAJ,{'indices'},,Kasper D. Hansen,,11995,46,41,66,63,0,0
608128,"Professor of Computer Science, University of Maryland, College Park",,53812,4glkLD0AAAAJ,{'indices'},,Mihai Pop,,27987,59,49,100,86,0,0
608129,"Assistant Professor, University of Washington",,82965,XtXFCp8AAAAJ,{'indices'},,Cole Trapnell,,58187,53,51,76,75,0,0
608130,"Associate Professor, Johns Hopkins University",,11514,SYXodmQAAAAJ,{'indices'},,Andrew E. Jaffe,,10147,41,40,79,76,0,0
608131,"Professor, Biostatistics and Computational Biology, Dana-Farber and Harvard",,86807,nFW-2Q8AAAAJ,{'indices'},,Rafael A Irizarry,,35529,85,61,177,133,0,0
608132,"Assistant Professor of Biomedical Engineering and Surgery, Oregon Health & Science University",,3233,XxPWj5oAAAAJ,{'indices'},,Abhinav Nellore,,2087,21,18,27,22,0,0
608133,"Director, Center for Epigenetics; Professor, Johns Hopkins University",,89961,tbj-LpcAAAAJ,{'indices'},,Andrew P. Feinberg,,21840,111,67,245,165,0,0
608134,Research Scientist at Lieber Institute for Brain Development,,1638,h57-MykAAAAJ,{'indices'},,Leonardo Collado-Torres,,1242,19,18,22,22,0,0
608135,"Bloomberg Distinguished Associate Professor, Johns Hopkins University",,29139,rcs6IKwAAAAJ,{'indices'},,Michael C. Schatz,,17077,66,61,122,114,0,0
608136,Michael L. Rosenberg Assistant Professor of Bioinformatics at the University of Texas Southwestern,,30142,RotyhxEAAAAJ,{'indices'},,Daehwan Kim,,26570,10,10,10,10,0,0
608137,"PhD Student in Computer Science, Johns Hopkins University",,18076,Lefyye4AAAAJ,{'indices'},,Christopher Wilks,,11766,10,10,11,11,0,0
608138,"Associate Professor of Computer Science, University of Maryland",,10183,QEVXP-kAAAAJ,{'indices'},,Hector Corrada Bravo,,8012,31,27,47,42,0,0
608139,Johns Hopkins University,,4778,okf1Zj0AAAAJ,{'indices'},,Sarven Sabunciyan,,2343,22,18,27,25,0,0
608140,"Assistant Professor, Johns Hopkins University",,4674,wTEx9N8AAAAJ,{'indices'},,Winston Timp,,2852,28,23,46,37,0,0
608141,Caltech,,39827,zywJ6REAAAAJ,{'indices'},,Djorgovski,,9484,97,46,398,163,0,0
608142,Drexel University,,76289,hV6xa0oAAAAJ,{'indices'},,Gordon Richards,,26911,112,75,294,249,0,0
608143,University of Washington,,92528,Ix4W8SEAAAAJ,{'indices'},,Andrew Connolly,,24039,126,64,369,213,0,0
608144,"Blooomberg Distinguished Professor, Johns Hopkins University",,97879,rUiWchkAAAAJ,{'indices'},,A. S. Szalay,,27485,117,64,304,194,0,0
608145,Caltech,,11061,Ww9DSqAAAAAJ,{'indices'},,ashish mahabal,,7332,48,40,137,95,0,0
608146,Princeton university,,93072,W-0_21AAAAAJ,{'indices'},,Neta Bahcall,,21793,121,65,261,159,0,0
608147,Universidade Cruzeiro do Sul / Universidade Cidade de São Paulo,,5748,Cu9F-r4AAAAJ,{'indices'},,Reinaldo Ramos de Carvalho,,1565,43,21,101,43,0,0
608148,University of Arizona,,88504,QgINalAAAAAJ,{'indices'},,Xiaohui Fan,,33239,128,80,355,297,0,0
608149,University of Washington,,107241,daGXM5wAAAAJ,{'indices'},,Zeljko Ivezic,,32577,137,84,274,223,0,0
608150,Principal Data Scientist (Product) at Dotscience,,1382,Fh5WPYIAAAAJ,{'indices'},,Nicholas M. Ball,,680,11,10,13,10,0,0
608151,"Senior Research Scientist, National Center for Supercomputing Applications",,16968,uAwnhcIAAAAJ,{'indices'},,Matias Carrasco Kind,,16591,63,62,200,199,0,0
608152,"Senior Scientist, Lawrence Berkeley National Lab",,138496,-BynFYEAAAAJ,{'indices'},,David Schlegel,,52543,145,97,299,259,0,0
608153,"Professor of Physics, Eötvös University, Budapest",,72489,7C7SiMEAAAAJ,{'indices'},,Istvan Csabai,,19209,92,53,188,137,0,0
608154,"Professor Emerita of Astrophysical Sciences, Princeton University",,110950,ZyH3HIAAAAAJ,{'indices'},,Gillian Knapp,,32438,130,72,366,224,0,0
608155,Saint Mary's University,,6003,Ix2t-ucAAAAJ,{'indices'},,Marcin Sawicki,,2284,38,22,83,55,0,0
608156,California Institute of Technology,,54630,2ZjKVVAAAAAJ,{'indices'},,Roy Williams,,16859,106,52,635,208,0,0
608157,Principal Data Scientist at ThoughtWorks,,31317,0V-jGE4AAAAJ,{'indices'},,David Johnston,,7226,64,35,86,67,0,0
608158,University of Illinois at Urbana-Champaign,,2521,Cy81VegAAAAJ,{'indices'},,Volodymyr Kindratenko,,616,24,12,43,16,0,0
608159,"STFC Ernest Rutherford Fellow, Institute for Astronomy, University of Edinburgh",,28311,gKgomRgAAAAJ,{'indices'},,Nicholas P. Ross,,18974,78,65,126,118,0,0
608160,Professor of Astronomy & Astrophysics,,68251,TMDQH_wAAAAJ,{'indices'},,D Lamb,,14673,100,47,280,137,0,0
608161,"Bradley Distinguished Professor, IEEE Fellow, Virginia Tech, USA",,19031,d6CtlCkAAAAJ,{'indices'},,Thomas Hou,,7222,68,39,216,115,0,0
608162,Microsoft India,,9837,RJCmtBcAAAAJ,{'indices'},,Shivkumar Kalyanaraman,,2252,50,26,202,57,0,0
608163,"Computer Science, IIT Delhi",,3250,-5JfCRsAAAAJ,{'indices'},,Smruti R. Sarangi,,1671,19,15,38,26,0,0
608164,"Distinguished Research Staff Member, IBM Research",,6594,iklPa0oAAAAJ,{'indices'},,Hubertus Franke,,2160,45,26,114,58,0,0
608165,"Associate Professor of Electrical Engineering, Pontificia Universidad Católica de Chile",,1018,izs8_hQAAAAJ,{'indices'},,Christian Oberli,,384,13,10,18,10,0,0
608166,Xilinx Inc.,,519,jk6JpNYAAAAJ,{'indices'},,Raghu Mysore Rao,,130,10,6,11,3,0,0
608167,LinkedIn,,1620,yS8ebMIAAAAJ,{'indices'},,Partha Dutta,,685,23,15,39,21,0,0
608168,IBM Research,,105,4YHnspEAAAAJ,{'indices'},,Mukundan Madhavan,,68,6,5,3,1,0,0
608169,"Research & Engineering, Core Networking, Apple Inc.",,2123,pGLn8JwAAAAJ,{'indices'},,Amitabha Ghosh,,905,16,12,19,13,0,0
608170,"Professor of Computer Science, Università Ca' Foscari Venezia, Italy",,4779,njCMBiwAAAAJ,{'indices'},,Salvatore Orlando,,1602,36,20,101,49,0,0
608171,"ERISS, Tilburg University",,219,Z-cxzhkAAAAJ,{'indices'},,Dinh Khoa Nguyen,,104,8,5,7,3,0,0
608172,"University of Lugano, Switzerland",,7381,cXcqHogAAAAJ,{'indices'},,Mehdi Jazayeri,,1007,31,15,67,16,0,0
