,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
199786,"Sociology, Princeton University",@princeton.edu,153895,P7ocv9gAAAAJ,{'indices'},Sociology|immigration|development|migration|social capital,Alejandro Portes,https://scholar.google.com/citations?view_op=medium_photo&user=P7ocv9gAAAAJ,40802,123,75,397,237,0,0
199787,,@faculty.nsysu.edu.tw,50450,MBQYKBcAAAAJ,{'indices'},industrial relations|Vietnam|migration|Taiwan,HZ WANG,https://scholar.google.com/citations?view_op=medium_photo&user=MBQYKBcAAAAJ,28022,93,66,843,569,0,0
199788,"Research Professor of sociology, University of sydney",@sydney.edu.au,44057,BXyjsO8AAAAJ,{'indices'},migration|citizenship|race|ethnciity,Stephen Castles,https://scholar.google.com/citations?view_op=medium_photo&user=BXyjsO8AAAAJ,14903,75,44,218,131,0,0
199789,Max Planck Institute for the Study of Religious and Ethnic Diversity,@mmg.mpg.de,36562,SjiWsXwAAAAJ,{'indices'},migration|diversity|transnationalism|multiculturalism,Steven Vertovec,https://scholar.google.com/citations?view_op=medium_photo&user=SjiWsXwAAAAJ,16105,66,45,153,113,0,0
199790,Chair in Global Flyway Ecology at University of Groningen/Royal NIOZ,@nioz.nl,33833,ABDPZjQAAAAJ,{'indices'},migration|ecology|population biology|phenotypic evolution|developmental ecology,Theunis Piersma,https://scholar.google.com/citations?view_op=medium_photo&user=ABDPZjQAAAAJ,11619,96,48,483,318,0,0
199791,"Professor of Social Science, University of Salford",@salford.ac.uk,29819,Tyxr5QoAAAAJ,{'indices'},migration|gender|ageing|housing|narrative analsis,Anya Ahmed,https://scholar.google.com/citations?view_op=medium_photo&user=Tyxr5QoAAAAJ,19665,71,56,586,418,0,0
199792,"University of Amsterdam, International Migration Institute - Oxford University",@uva.nl,29314,nJno7ZAAAAAJ,{'indices'},migration|social transformation|globalization|development|Morocco,Hein de Haas,https://scholar.google.com/citations?view_op=medium_photo&user=nJno7ZAAAAAJ,13279,54,43,103,77,0,0
199793,"Director, Max Planck Institute of Animal Behavior and Professor, University of Konstanz",@ab.mpg.de,27885,YndKFWcAAAAJ,{'indices'},bio-logging|physiology|migration,Martin Wikelski,https://scholar.google.com/citations?view_op=medium_photo&user=YndKFWcAAAAJ,14504,92,64,256,225,0,0
199794,"Professor, Centre for Integrative Ecology, Deakin University (Warrnambool), Australia",@deakin.edu.au,26184,7rc3SmAAAAAJ,{'indices'},turtles|plankton|jellyfish|migration|diving,Graeme C. Hays,https://scholar.google.com/citations?view_op=medium_photo&user=7rc3SmAAAAAJ,11011,90,53,261,212,0,0
199795,University College London (UCL),@ucl.ac.uk,25834,XWl6OhQAAAAJ,{'indices'},Labour Economics|Migration|Economics of Education,Christian Dustmann,https://scholar.google.com/citations?view_op=medium_photo&user=XWl6OhQAAAAJ,12558,78,58,144,113,0,0
199796,BGP Research and Development Center at Houston,@bgprdc.com,25757,YKoNQz8AAAAJ,{'indices'},Migration|Full waveform inverison,Wei Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=YKoNQz8AAAAJ,9627,37,24,112,71,0,0
199797,"London School of Economics and Political Science, Department of Geography & …",@lse.ac.uk,24997,G0gjwD4AAAAJ,{'indices'},Quantitative methods|Economic and human development|Conflict and violence|Globalization|Migration,Eric Neumayer,https://scholar.google.com/citations?view_op=medium_photo&user=G0gjwD4AAAAJ,10843,85,59,172,143,0,0
199798,Professor of Geography UCLA,@geog.ucla.edu,23500,5MDX4RMAAAAJ,{'indices'},migration|residential mobility|housing|urban studies|segregation,William AV Clark,https://scholar.google.com/citations?view_op=medium_photo&user=5MDX4RMAAAAJ,7048,77,44,258,126,0,0
199799,"Emeritus Professor of Development Studies, University of Oxford. Former Professor of …",@qeh.ox.ac.uk,23287,7OnAKPIAAAAJ,{'indices'},Migration|Globalization|Diasporas|Creolization|Labour Studies,Robin Cohen,https://scholar.google.com/citations?view_op=medium_photo&user=7OnAKPIAAAAJ,6492,56,28,153,72,0,0
199800,"Professor of Geography, Sussex Centre for Migration Research (SCMR), University of …",@sussex.ac.uk,23282,4SM3yQoAAAAJ,{'indices'},Migration|Rural Geography|the Mediterranean|Islands|Ageing,Russell King,https://scholar.google.com/citations?view_op=medium_photo&user=4SM3yQoAAAAJ,9783,74,47,215,128,0,0
199801,"Professor, UNU-MERIT, Maastricht Uni, Bonn Uni & President, Global Labor Organization …",@merit.unu.edu,23243,9-mNytAAAAAJ,{'indices'},Economics|Labor Economics|Population Economics|Migration,Klaus F. Zimmermann,https://scholar.google.com/citations?view_op=medium_photo&user=9-mNytAAAAAJ,7805,77,49,294,167,0,0
199802,"Research Director, WZB Berlin Social Science Center & Professor of Sociology, Humboldt …",@wzb.eu,22838,17eRF2YAAAAJ,{'indices'},Political Sociology|Comparative Politics|Immigration|Migration|Social movements,Ruud Koopmans,https://scholar.google.com/citations?view_op=medium_photo&user=17eRF2YAAAAJ,8104,67,42,145,90,0,0
199803,"Professor of Economics, University of Sussex; CEPR, IZA, GDN",@sussex.ac.uk,21681,_qlrSeQAAAAJ,{'indices'},International Trade|Development|Migration,L Alan Winters,https://scholar.google.com/citations?view_op=medium_photo&user=_qlrSeQAAAAJ,3515,70,28,230,70,0,0
199804,"Professor of Sociology, Bielefeld University",@uni-bielefeld.de,21417,s7MFmoUAAAAJ,{'indices'},migration|transnationalization|citizenship|development,Thomas Faist,https://scholar.google.com/citations?view_op=medium_photo&user=s7MFmoUAAAAJ,8734,65,43,177,111,0,0
199805,"Distinguished Professor of Sociology Emeritus, UCLA",@ucla.edu,21337,DYZUS1wAAAAJ,{'indices'},social demography|social stratification and mobility|migration|quantitative methods,Donald Treiman,https://scholar.google.com/citations?view_op=medium_photo&user=DYZUS1wAAAAJ,5727,51,30,84,45,0,0
199806,University of Exeter,@exeter.ac.uk,21000,00E8LukAAAAJ,{'indices'},Foraging ecology|migration|carry over effects|stable isotopes,Stuart Bearhop,https://scholar.google.com/citations?view_op=medium_photo&user=00E8LukAAAAJ,11883,63,48,146,133,0,0
199807,"Professor, University of Surrey",@surrey.ac.uk,20898,xHdngMwAAAAJ,{'indices'},migration|geography|tourism,Allan Williams,https://scholar.google.com/citations?view_op=medium_photo&user=xHdngMwAAAAJ,7661,66,44,183,113,0,0
199808,"Evolutionary Genetics, Max Planck Institute for Evolutionary Anthropology",@eva.mpg.de,20265,5UbYSBEAAAAJ,{'indices'},Population genetics|sediment DNA|Neandertals|migration|selection on gene regulation,Benjamin Vernot,https://scholar.google.com/citations?view_op=medium_photo&user=5UbYSBEAAAAJ,13027,22,22,25,25,0,0
199809,"Professor of Conservation Science, University of Exeter",@exeter.ac.uk,19888,i_FDZDwAAAAJ,{'indices'},Conservation Biology|Migration|Marine Vertebrates|Fisheries|Marine Plastic,Brendan Godley,https://scholar.google.com/citations?view_op=medium_photo&user=i_FDZDwAAAAJ,9384,82,51,265,228,0,0
199810,"Distinguished Professor of Sociology, UCLA",@soc.ucla.edu,19734,GvSYk80AAAAJ,{'indices'},Migration|Immigration|Diasporas|Transnationalism|Ethnicity,Roger Waldinger,https://scholar.google.com/citations?view_op=medium_photo&user=GvSYk80AAAAJ,5207,57,31,125,77,0,0
199811,"Department of Social Policy, London School of Economics and Political Science",@lse.ac.uk,19523,dVrLLJAAAAAJ,{'indices'},Housing|urbanisation|labour-markets|migration|urban poverty,Sunil Kumar,https://scholar.google.com/citations?view_op=medium_photo&user=dVrLLJAAAAAJ,10178,40,30,164,105,0,0
199812,Netherlands Interdisciplinary Demographic Institute (NIDI-KNAW),@nidi.nl,18854,OEMqUeAAAAAJ,{'indices'},Demography|Family|Migration|Social Stratification,Matthijs Kalmijn,https://scholar.google.com/citations?view_op=medium_photo&user=OEMqUeAAAAAJ,7204,67,50,166,119,0,0
199813,"Graduate Research Assistance, Multimedia University",@student.mmu.edu.my,18663,ut7TOGIAAAAJ,{'indices'},Corruption|Corporate Governance|Migration|Corporate Social responsibility,Md Ashikur Rahman,https://scholar.google.com/citations?view_op=medium_photo&user=ut7TOGIAAAAJ,10547,56,40,463,298,0,0
199814,"Professor of Geography, National University of Singapore",@nus.edu.sg,18471,oyMS8OgAAAAJ,{'indices'},migration|transnationalism|gender|Asia,Brenda Yeoh,https://scholar.google.com/citations?view_op=medium_photo&user=oyMS8OgAAAAJ,7717,77,49,252,180,0,0
199815,"Professor of Psychology, University of Pittsburgh",@pitt.edu,18271,3BMMMK4AAAAJ,{'indices'},Migration|Motivational Factors|Place Attachment|Interpersonal Violence|Cross-cultural differences in work and gender,Irene Frieze,https://scholar.google.com/citations?view_op=medium_photo&user=3BMMMK4AAAAJ,3202,61,29,131,68,0,0
199816,"LISER, Head of Crossing Borders Department",@liser.lu,15586,jaac85oAAAAJ,{'indices'},Economics|Migration|Development|Growth,Frederic Docquier,https://scholar.google.com/citations?view_op=medium_photo&user=jaac85oAAAAJ,6495,47,35,104,63,0,0
199817,"UGA Athletic Association Professor of Ecology, University of Georgia",@uga.edu,15424,S4tKxT4AAAAJ,{'indices'},Ecology|Evolution|Infectious Disease|Parasitism|Migration,Sonia Altizer,https://scholar.google.com/citations?view_op=medium_photo&user=S4tKxT4AAAAJ,7679,53,44,101,90,0,0
199818,"Conservation Ecology Group, Groningen Institute of Evolutionary Life Sciences",@rug.nl,14488,suB9ijMAAAAJ,{'indices'},Ecology|Climate change|Ornithology|Migration|Dispersal,Christiaan Both,https://scholar.google.com/citations?view_op=medium_photo&user=suB9ijMAAAAJ,6004,48,35,94,75,0,0
199819,"Professor of Gender, Migration and Citizenship, Middlesex University",@mdx.ac.uk,14471,hvJQL1sAAAAJ,{'indices'},Gender|Migration|Citizenship|welfare,ELEONORE KOFMAN,https://scholar.google.com/citations?view_op=medium_photo&user=hvJQL1sAAAAJ,5591,47,32,101,62,0,0
199820,"CIGI Chair in Global Migration and Development, Balsillie School of International Affairs and",@balsillieschool.ca,14465,AbuvmP8AAAAJ,{'indices'},Migration|development|food security,Jonathan Crush,https://scholar.google.com/citations?view_op=medium_photo&user=AbuvmP8AAAAJ,5930,63,38,223,152,0,0
199821,"Professor, Paris School of Economics",@psemail.eu,13784,EocGLY8AAAAJ,{'indices'},Migration|Development|Political Economy|Economic History,Hillel Rapoport,https://scholar.google.com/citations?view_op=medium_photo&user=EocGLY8AAAAJ,6424,40,31,69,54,0,0
199822,professor of sociology ucl institute of education,@ucl.ac.uk,13640,_4G3LsEAAAAJ,{'indices'},family|methodology|generations|migration|food,Julia Brannen,https://scholar.google.com/citations?view_op=medium_photo&user=_4G3LsEAAAAJ,4584,48,31,125,71,0,0
199823,"Professor of Development Geography, LSE",@lse.ac.uk,13337,io1Lm6QAAAAJ,{'indices'},gender and development|poverty|household|migration|employment,Sylvia Chant,https://scholar.google.com/citations?view_op=medium_photo&user=io1Lm6QAAAAJ,4296,54,36,116,64,0,0
199824,Independent,@desarrollosocial.gob.ec,13056,m65ujykAAAAJ,{'indices'},Childhood and youth|migration,Alexandra Escobar García,https://scholar.google.com/citations?view_op=medium_photo&user=m65ujykAAAAJ,6448,50,33,287,137,0,0
199825,"Professor of Sociology, University of Southern California",@usc.edu,12947,2k7ehq0AAAAJ,{'indices'},sociology|labor|migration|globalization|gender,Rhacel Salazar Parrenas,https://scholar.google.com/citations?view_op=medium_photo&user=2k7ehq0AAAAJ,5558,31,25,56,46,0,0
199826,"Professor of Sociology and Social Policy, University of the West of Scotland",@uws.ac.uk,12571,VwS-WDkAAAAJ,{'indices'},Romani Studies|Migration|Ethnic and Racial Studies|Ethnography,colin clark,https://scholar.google.com/citations?view_op=medium_photo&user=VwS-WDkAAAAJ,2381,44,20,135,44,0,0
199827,Professor of Sociology,@lboro.ac.uk,12421,2sQ1iGMAAAAJ,{'indices'},Brexit|Brits Abroad|Migration|Ethnography,Karen OReilly,https://scholar.google.com/citations?view_op=medium_photo&user=2sQ1iGMAAAAJ,6163,38,30,68,49,0,0
199828,Professor Luskin school UCL,@g.ucla.edu,12140,yWNwg7gAAAAJ,{'indices'},Amazon Forests|Forest transition|migration|indigenous knowledge systems|tropical environmental history,SUSANNA B HECHT,https://scholar.google.com/citations?view_op=medium_photo&user=yWNwg7gAAAAJ,3616,41,25,68,34,0,0
199829,Columbia University,,12018,Bmnfx5oAAAAJ,{'indices'},Glial biology|brain tumor|migration|neurooncology,Peter Canoll,https://scholar.google.com/citations?view_op=medium_photo&user=Bmnfx5oAAAAJ,5553,56,40,131,116,0,0
199830,University of Alaska Museum,@alaska.edu,11766,llQaCpMAAAAJ,{'indices'},Evolutionary Biology|Birds|Migration|Biodiversity|Population Genomics,Kevin Winker,https://scholar.google.com/citations?view_op=medium_photo&user=llQaCpMAAAAJ,4870,51,27,127,77,0,0
199831,"Queen Mary University of London Radboud, University Nijmegem",@conflits.org,11473,BUFxo7sAAAAJ,{'indices'},migration,elspeth guild,https://scholar.google.com/citations?view_op=medium_photo&user=BUFxo7sAAAAJ,4762,50,30,211,115,0,0
199832,British Trust for Ornithology,@bto.org,11236,Rvx64Z0AAAAJ,{'indices'},Population Dynamics|Migration|Statistical ecology|Ornithology|Design of monitoring schemes.,Stephen R Baillie,https://scholar.google.com/citations?view_op=medium_photo&user=Rvx64Z0AAAAJ,2680,52,27,113,56,0,0
199833,"Emeritus Professor and Emeritus Director, Regional Economics Applications Laboratory …",@illinois.edu,10932,LQP5N-cAAAAJ,{'indices'},regional economics|regional modeling|interregional trade|migration|ageing,Geoffrey JD Hewings,https://scholar.google.com/citations?view_op=medium_photo&user=LQP5N-cAAAAJ,3426,53,27,239,121,0,0
199834,World Bank,@dilipratha.com,10879,9Y4tm18AAAAJ,{'indices'},Economics|Innovative Finance|Migration|Remittances|Diasporas,Dilip Ratha,https://scholar.google.com/citations?view_op=medium_photo&user=9Y4tm18AAAAJ,3914,47,28,83,58,0,0
199835,"Professor of International Politics; Queen Mary, University of London",@qmul.ac.uk,10815,ycmbQFoAAAAJ,{'indices'},security|international relations|international political sociology|migration|mobility,Jef Huysmans,https://scholar.google.com/citations?view_op=medium_photo&user=ycmbQFoAAAAJ,5097,36,27,55,44,0,0
199836,Universidad Autónoma de Zacatecas,@estudiosdeldesarrollo.net,10658,0YhGRkQAAAAJ,{'indices'},migration|rural development|development,Rodolfo Garcia Zamora orcid ID 0000-0002-0685-3165,https://scholar.google.com/citations?view_op=medium_photo&user=0YhGRkQAAAAJ,6673,37,27,136,57,0,0
199837,"Professor of Biological Sciences, University of Southern Mississippi",@usm.edu,10300,fx1R_5QAAAAJ,{'indices'},migration|behavior|ecology|conservation biology,Frank R. Moore,https://scholar.google.com/citations?view_op=medium_photo&user=fx1R_5QAAAAJ,3308,59,31,146,98,0,0
199838,"University of California, Irvine",@uci.edu,9916,NN8PjD4AAAAJ,{'indices'},immigration|migration|media|medical anthropology,Leo Chavez,https://scholar.google.com/citations?view_op=medium_photo&user=NN8PjD4AAAAJ,3248,41,23,58,35,0,0
199839,"University of California, Department of Anthropology",@uci.edu,9889,1mwSl38AAAAJ,{'indices'},migration|media|medical care,Leo Chavez,https://scholar.google.com/citations?view_op=medium_photo&user=1mwSl38AAAAJ,3223,41,22,57,34,0,0
199840,"Carleton University, Ottawa",@carleton.ca,9673,wZKwRMcAAAAJ,{'indices'},politics|governance|Foucault|security studies|migration,William Walters,https://scholar.google.com/citations?view_op=medium_photo&user=wZKwRMcAAAAJ,4844,41,32,59,54,0,0
199841,"Professor of Economics, University of Waikato",@waikato.ac.nz,9632,YsrqZqYAAAAJ,{'indices'},Development economics|Household surveys|Migration|Poverty,John Gibson,https://scholar.google.com/citations?view_op=medium_photo&user=YsrqZqYAAAAJ,4649,53,35,153,107,0,0
199842,"Professor of Geography, McMaster University",@mcmaster.ca,9568,10Mv4LwAAAAJ,{'indices'},immigration|health|migration,Bruce Newbold,https://scholar.google.com/citations?view_op=medium_photo&user=10Mv4LwAAAAJ,4172,47,27,124,81,0,0
199843,"Professor of Human Geography, London School of Economics",@lse.ac.uk,9567,V5yYe6UAAAAJ,{'indices'},human geography|urban studies|economic geography|labour markets|migration,Ian Gordon,https://scholar.google.com/citations?view_op=medium_photo&user=V5yYe6UAAAAJ,1969,42,21,102,37,0,0
199844,Instituto de Biologia Molecular y Celular del Cancer,@usal.es,9155,2XTiw1oAAAAJ,{'indices'},Migration|adhesion|cancer,MIGUEL VICENTE MANZANARES,https://scholar.google.com/citations?view_op=medium_photo&user=2XTiw1oAAAAJ,3237,44,26,57,48,0,0
199845,"Professor i zooekologi, Lunds Universitet",@biol.lu.se,8819,wCt_GFkAAAAJ,{'indices'},evolutionary ecology|ecology|sensory biology|ethology|migration,Susanne Åkesson,https://scholar.google.com/citations?view_op=medium_photo&user=wCt_GFkAAAAJ,3724,49,32,124,91,0,0
199846,"Professor of Geography, University of Washington",@uw.edu,8735,7MpiBLIAAAAJ,{'indices'},China|urbanization|migration|the hukou system,Kam Wing Chan 陈金永,https://scholar.google.com/citations?view_op=medium_photo&user=7MpiBLIAAAAJ,3690,31,25,61,36,0,0
199847,"Professor of Economics, University of Michigan",@umich.edu,8631,SEI6YmsAAAAJ,{'indices'},Development Economics|Migration|Financial Decision-Making|Microfinance,Dean Yang,https://scholar.google.com/citations?view_op=medium_photo&user=SEI6YmsAAAAJ,4472,32,30,41,36,0,0
199848,"Professor of Political Science, University of North Texas",@unt.edu,8499,_nJN9OUAAAAJ,{'indices'},International Relations|Comparative Politics|Migration|Protest|Civil War,Idean Salehyan,https://scholar.google.com/citations?view_op=medium_photo&user=_nJN9OUAAAAJ,4754,32,28,44,34,0,0
199849,Ryerson University,@ryerson.ca,8407,EZj8BakAAAAJ,{'indices'},migration|cultural diversity|nationalism,Anna Triandafyllidou,https://scholar.google.com/citations?view_op=medium_photo&user=EZj8BakAAAAJ,4310,46,33,145,106,0,0
199850,"Professor of Sciology, Hertie School of Governance",@hertie-school.org,8246,YFaXmGoAAAAJ,{'indices'},Familiendemographie|Familiensoziologie|Sozialpolitik|Lebenslaufanalyse|Migration,Michaela Kreyenfeld,https://scholar.google.com/citations?view_op=medium_photo&user=YFaXmGoAAAAJ,3109,45,26,117,59,0,0
199851,Universidad Complutense de Madrid,@geps.es,8037,khmhtc0AAAAJ,{'indices'},historical demography|demography|family|migration|economic history,David Reher,https://scholar.google.com/citations?view_op=medium_photo&user=khmhtc0AAAAJ,2590,43,27,100,56,0,0
199852,York University,@yorku.ca,7817,kevU0m4AAAAJ,{'indices'},refugees|geography|geopolitics|migration|humanitarianism,Jennifer Hyndman,https://scholar.google.com/citations?view_op=medium_photo&user=kevU0m4AAAAJ,3903,42,30,79,55,0,0
199853,Brown University,@brown.edu,7620,hGIm7ogAAAAJ,{'indices'},demography|urbanization|migration,Michael J White,https://scholar.google.com/citations?view_op=medium_photo&user=hGIm7ogAAAAJ,2408,45,28,84,50,0,0
199854,"Professor of Sociology, Erasmus Universiteit Rotterdam",@fsw.eur.nl,7605,5UdNlrUAAAAJ,{'indices'},Sociology|Criminology|Migration|Transnationalism|Poverty,Godfried Engbersen,https://scholar.google.com/citations?view_op=medium_photo&user=5UdNlrUAAAAJ,3198,44,28,125,55,0,0
199855,International Food Policy Research Institute,@cgiar.org,7477,3bEGROAAAAAJ,{'indices'},Development Economics|Impact Evaluation|Agricultural Development|Migration,Alan de Brauw,https://scholar.google.com/citations?view_op=medium_photo&user=3bEGROAAAAAJ,3767,40,34,79,58,0,0
