,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
116050,"Professor of Physics, Royal Holloway, University of London",@rhul.ac.uk,351992,ljQwt8QAAAAJ,{'indices'},Physics|Particle Physics|Statistical Data Analysis,Glen Cowan,https://scholar.google.com/citations?view_op=medium_photo&user=ljQwt8QAAAAJ,167507,219,159,1728,1253,0,0
116051,Seoul National University,@snu.ac.kr,280401,xllAZtwAAAAJ,{'indices'},physics,sb kim,https://scholar.google.com/citations?view_op=medium_photo&user=xllAZtwAAAAJ,100053,236,137,1751,985,0,0
116052,"Senior Scientific Software Engineer,  University of Edinburgh",@ed.ac.uk,265550,CIQdaf8AAAAJ,{'indices'},Software Engineering|Computational Biology|HPC|Physics,Thomas Doherty,https://scholar.google.com/citations?view_op=medium_photo&user=CIQdaf8AAAAJ,116472,208,144,1758,1070,0,0
116053,University of Oregon,@uoregon.edu,262684,5BdD3-sAAAAJ,{'indices'},High Energy Physics|Particle Physics|Physics,Eric Torrence,https://scholar.google.com/citations?view_op=medium_photo&user=5BdD3-sAAAAJ,135726,217,156,1472,1068,0,0
116054,,,252908,8Lv43I4AAAAJ,{'indices'},Physics,francesca pastore,https://scholar.google.com/citations?view_op=medium_photo&user=8Lv43I4AAAAJ,117814,212,145,1633,1097,0,0
116055,Cinvestav,@fis.cinvestav.mx,252552,9fh0GAMAAAAJ,{'indices'},Physics|high energy physics,Heriberto Castilla,https://scholar.google.com/citations?view_op=medium_photo&user=9fh0GAMAAAAJ,116209,225,152,2005,1400,0,0
116056,University of Illinois at Urbana-Champaign,@fnal.gov,251646,mHI8d_YAAAAJ,{'indices'},physics,Benjamin Hooberman,https://scholar.google.com/citations?view_op=medium_photo&user=mHI8d_YAAAAJ,138184,201,150,1223,886,0,0
116057,"Northeastern University, Harvard Medical School",@neu.edu,234746,vsj2slIAAAAJ,{'indices'},network science|statistical physics|biological physics|physics|medicine,Albert-László Barabási,https://scholar.google.com/citations?view_op=medium_photo&user=vsj2slIAAAAJ,82677,147,108,350,273,0,0
116058,McGill University,@physics.mcgill.ca,221518,HI4OwhYAAAAJ,{'indices'},Physics|Particle Physics|High Energy Physics|Subatomic Physics|Elementary Particle Physics,Andreas Warburton,https://scholar.google.com/citations?view_op=medium_photo&user=HI4OwhYAAAAJ,106761,205,142,1190,808,0,0
116059,Universita' della Calabria  and  INFN,@fis.unical.it,217345,SVdSpGAAAAAJ,{'indices'},Physics,Enrico Tassi,https://scholar.google.com/citations?view_op=medium_photo&user=SVdSpGAAAAAJ,117955,213,150,1053,858,0,0
