,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
515482,universitas malahayati,@malahayati.ac.id,130649,sQCqtuEAAAAJ,{'indices'},VIRUS,MONICA CINTIYA ANGGRAINI,https://scholar.google.com/citations?view_op=medium_photo&user=sQCqtuEAAAAJ,85608,185,156,618,581,0,0
515483,"Research Center for Biological Therapy, Beijing 302 Hospital, Beijing, China",@moon.ibp.ac.cn,75957,Fqi0PiYAAAAJ,{'indices'},Immunology|virus|infection,Zheng Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=Fqi0PiYAAAAJ,46748,113,92,629,454,0,0
515484,university of texas southwestern medical center,,63488,MUow0FwAAAAJ,{'indices'},ubiquitin|virus|innate immunity|nf-kappab,zhijian chen,https://scholar.google.com/citations?view_op=medium_photo&user=MUow0FwAAAAJ,23641,101,67,502,281,0,0
515485,"Professor of Immunology, Aix-Marseille University & CSO Innate-Pharma",@ciml.univ-mrs.fr,46651,NlmFOgMAAAAJ,{'indices'},Innate Immunity|Natural Killer cells|Cancer|Virus,Eric Vivier,https://scholar.google.com/citations?view_op=medium_photo&user=NlmFOgMAAAAJ,20072,110,69,288,216,0,0
515486,University of Education Dera Ghazi Khan,,41355,VQJrlUwAAAAJ,{'indices'},website|php|dotnet|hacking|virus,Sadam Amin,https://scholar.google.com/citations?view_op=medium_photo&user=VQJrlUwAAAAJ,10726,82,44,463,201,0,0
515487,The Scripps Research Institute,@scripps.edu,35802,xSQEh7MAAAAJ,{'indices'},Virus,John E. Johnson,https://scholar.google.com/citations?view_op=medium_photo&user=xSQEh7MAAAAJ,9243,86,39,622,273,0,0
515488,"Medical Mycology Research Center, Chiba University, Japan",@faculty.chiba-u.jp,22068,z6NenD4AAAAJ,{'indices'},Innate Immunity|RLR|VIrus|Interferon|RNA,Mitsutoshi Yoneyama,https://scholar.google.com/citations?view_op=medium_photo&user=z6NenD4AAAAJ,6104,45,32,62,47,0,0
515489,University of Georgia,@uga.edu,19527,A0BN5CAAAAAJ,{'indices'},virus|molecular epidemiology and evolution...,Ming Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=A0BN5CAAAAAJ,9170,61,48,265,200,0,0
515490,"Directeur de Recherches CNRS, AMU",@afmb.univ-mrs.fr,17267,0Af4LAYAAAAJ,{'indices'},Virologie structurale|RNA polymerase|RNA capping|enzyme|virus,Bruno Canard,https://scholar.google.com/citations?view_op=medium_photo&user=0Af4LAYAAAAJ,7296,74,43,198,130,0,0
515491,"Professor of Immunology, Oxford University",@imm.ox.ac.uk,14254,SzIN7wEAAAAJ,{'indices'},T cell|influenza virus|Cancer|virus|nature killer cells,Tao Dong,https://scholar.google.com/citations?view_op=medium_photo&user=SzIN7wEAAAAJ,4549,56,32,121,83,0,0
515492,Public and Environmental Health - Virology | Forensic & Scientific Services | Health Support,@uq.edu.au,11731,XXQPExkAAAAJ,{'indices'},virology|virus|pcr|picornavirus|emerging viruses,"Ian M Mackay, PhD",https://scholar.google.com/citations?view_op=medium_photo&user=XXQPExkAAAAJ,3451,46,29,76,55,0,0
515493,National Institute of Infectious Diseases,@nih.go.jp,11481,UM2ZvfgAAAAJ,{'indices'},virus|HIV|HTLV,Satoshi Takeda,https://scholar.google.com/citations?view_op=medium_photo&user=UM2ZvfgAAAAJ,2574,45,22,174,65,0,0
515494,Albert Einstein College of Medicine,@einstein.yu.edu,10237,-I83YjkAAAAJ,{'indices'},virus,Kartik Chandran,https://scholar.google.com/citations?view_op=medium_photo&user=-I83YjkAAAAJ,6088,54,40,107,98,0,0
515495,"Deakin University, Director of Geelong Centre for Emerging Infectious Diseases",@deakin.edu.au,10047,zjqlC3oAAAAJ,{'indices'},virus infections|virus|viruses|emerging infectious diseases|pathogenesis,Professor Soren Alexandersen,https://scholar.google.com/citations?view_op=medium_photo&user=zjqlC3oAAAAJ,2887,57,27,130,74,0,0
515496,University of Aix-Marseille,@univ-amu.fr,9771,H1cShbUAAAAJ,{'indices'},Membrane biology|Alzheimer|Parkinson|virus|pathogens,Jacques Fantini,https://scholar.google.com/citations?view_op=medium_photo&user=H1cShbUAAAAJ,2961,57,26,150,58,0,0
515497,Hôpital Paul Brousse,,9665,UuTGg-MAAAAJ,{'indices'},virus|liver transplantation|hepatocellular carcinoma,Cyrille Féray,https://scholar.google.com/citations?view_op=medium_photo&user=UuTGg-MAAAAJ,2225,50,25,109,70,0,0
