Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
184066,"Director, Professor, Research Center for Genomics and Bioinformatics, Tokyo Metropolitan University",,194687,o5f46UgAAAAJ,{'indices'},evolutionary genetics|evolutionary biology|genomics|phylogenetics|bioinformatics,Koichiro Tamura,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=o5f46UgAAAAJ&citpid=9,94418,34,25,47,34,0,0
184067,"Laura Carnell Professor of Biology, Temple University",,370497,VxOmZDgAAAAJ,{'indices'},Evolution|Evolutionary biology|Molecular evolution|Population genetics|Phylogenetics,Masatoshi Nei,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VxOmZDgAAAAJ&citpid=3,103505,127,58,296,169,0,0
184068,Artizona State University,,40371,qiMGuC4AAAAJ,{'indices'},,Alan Filipski,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VxOmZDgAAAAJ&citpid=3,32012,14,12,16,12,0,0
184069,"Institute Director and Associate Professor, Icahn School of Medicine at Mount Sinai",,55850,206DEM0AAAAJ,{'indices'},Bioinformatics|Genomics|Genomic Medicine|Personal Genomics|Precision Medicine,Joel Dudley,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=206DEM0AAAAJ&citpid=5,16726,57,49,141,129,0,0
184070,"Director, Center for Biodiversity; Carnell Professor, Temple University",,30964,tIpAgQkAAAAJ,{'indices'},Evolution|Biodiversity|Biogeography|Conservation|Systematics,S. Blair Hedges,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tIpAgQkAAAAJ&citpid=4,9664,83,44,219,123,0,0
184071,University of Michigan,,23151,T9AzhwcAAAAJ,{'indices'},Machine learning|data mining|transportation|biomedical informatics,"Jieping Ye, IEEE Fellow",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T9AzhwcAAAAJ&citpid=2,14375,81,66,256,222,0,0
184072,University of the Sunshine Coast,,6280,ELUUlB4AAAAJ,{'indices'},Population genomics|Bioinformatics and Molecular evolution,Sankar Subramanian,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T9AzhwcAAAAJ&citpid=2,2778,23,19,34,25,0,0
184073,Oakland University,,2131,6mr6eWQAAAAJ,{'indices'},Evolution|Astrobiology,Fabia Ursula Battistuzzi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T9AzhwcAAAAJ&citpid=2,1242,14,13,17,15,0,0
184074,"Department of Computer Science & Engineering, Texas A&M University",,11742,BZGj6sAAAAAJ,{'indices'},Machine Learning|Deep Learning|Graph Neural Networks|Biological and Brain Informatics|Chemical Informatics,"Shuiwang Ji, ACM Distinguished Mem...",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BZGj6sAAAAAJ&citpid=30,8944,42,35,87,74,0,0
184075,Virginia Commonwealth University,,10241,exyen9EAAAAJ,{'indices'},Evolution|Ecology|Computational Biology|Bioinformatics,Michael S. Rosenberg,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=exyen9EAAAAJ&citpid=4,3350,38,25,53,42,0,0
184076,Midwestern University,,1154,JvQXCy8AAAAJ,{'indices'},Computational Biology,Sudhindra Gadagkar,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=exyen9EAAAAJ&citpid=4,460,9,8,9,8,0,0
184077,Temple University,,1529,2mV4jaIAAAAJ,{'indices'},,Michael Suleski,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=exyen9EAAAAJ&citpid=4,1470,4,4,4,4,0,0
184078,"Institute for Genomics and Evolutionary Medicine, Temple University",,149,vB4n-e0AAAAJ,{'indices'},Phylogenetics|Molecular Evolution|Bioinformatics,Qiqing Tao,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vB4n-e0AAAAJ&citpid=3,145,7,7,5,4,0,0
184079,,,161,BfrQYskAAAAJ,{'indices'},,Maxwell Sanderford,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vB4n-e0AAAAJ&citpid=3,114,6,6,5,5,0,0
184080,"Scientist, Fred Hutchinson Cancer Research Center",,620,ZPmdLwcAAAAJ,{'indices'},Cancer|Genetics|Bioinformatics,Oscar Murillo,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vB4n-e0AAAAJ&citpid=3,558,8,8,8,8,0,0
184081,"Professor of Computer Science and Engineering, Arizona State University",,9322,GKTKZ8kAAAAJ,{'indices'},Multimedia|image compression|haptic interfaces|assistive technologies|compressed domain indexing,Sethuraman Panchanathan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GKTKZ8kAAAAJ&citpid=2,3151,48,27,174,66,0,0
184082,Flathead Lake Biological Station of the U of Montana,,43698,4FVc21wAAAAJ,{'indices'},ecology|evolution|ecological stoichiometry|limnology,James Elser,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4FVc21wAAAAJ&citpid=5,19443,94,61,249,188,0,0
184083,Scientist I at Bristol Myers Squibb,,778,9kC4WR8AAAAJ,{'indices'},Genomics|Molecular Evolution,Vanessa (Gray) Hasle,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9kC4WR8AAAAJ&citpid=4,699,10,9,10,9,0,0
184084,"RA Fisher Professor of Statistical Genetics, University College London",,72678,Ke7yUWEAAAAJ,{'indices'},Evolutionary genetics|phylogenetics|computational biology|computational statistics|Markov chain Monte Carlo,Ziheng Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ke7yUWEAAAAJ&citpid=9,22936,92,64,211,150,0,0
184085,Temple University,,396,WaxOK7UAAAAJ,{'indices'},Biology,Sayaka Miura,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ke7yUWEAAAAJ&citpid=9,227,7,7,6,5,0,0
184086,"Research Manager at Turku PET Centre, University of Turku",,4871,H46g3dwAAAAJ,{'indices'},Exercise|Cardiovascular physiology|Metabolism|Clinical Medicine|Sport,Kari Kalliokoski,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=H46g3dwAAAAJ&citpid=5,2310,42,26,105,80,0,0
184087,Turku PET Centre,,9571,1uRrhUIAAAAJ,{'indices'},Nuclear imaging|PET,Vesa Oikonen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1uRrhUIAAAAJ&citpid=2,3198,52,28,111,82,0,0
