,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
135938,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",@umontreal.ca,361636,kukA0LcAAAAJ,{'indices'},Machine learning|deep learning|artificial intelligence,Yoshua Bengio,https://scholar.google.com/citations?view_op=medium_photo&user=kukA0LcAAAAJ,319518,178,161,606,534,0,0
135939,Co-Founder and Chief Scientist of OpenAI,@openai.com,216910,x04W_mMAAAAJ,{'indices'},Machine Learning|Neural Networks|Artificial Intelligence|Deep Learning,Ilya Sutskever,https://scholar.google.com/citations?view_op=medium_photo&user=x04W_mMAAAAJ,205479,57,56,76,73,0,0
135940,Chief Scientist/Managing Director of Megvii (Face++),@megvii.com,172413,ALVSZAYAAAAJ,{'indices'},Computer Vision|Deep Learning|Computer Graphics,Jian Sun,https://scholar.google.com/citations?view_op=medium_photo&user=ALVSZAYAAAAJ,153643,101,86,243,222,0,0
135941,Stanford University,@cs.stanford.edu,164871,mG4imMEAAAAJ,{'indices'},Machine Learning|Deep Learning|AI,Andrew Ng,https://scholar.google.com/citations?view_op=medium_photo&user=mG4imMEAAAAJ,101515,128,101,276,251,0,0
135942,New York University,@nyu.edu,163458,EZjSxgwAAAAJ,{'indices'},Particle Physics|deep learning|Data Science|Statistics|Open Science,Kyle Cranmer,https://scholar.google.com/citations?view_op=medium_photo&user=EZjSxgwAAAAJ,100616,164,135,675,590,0,0
135943,Lawrence Berkeley National Laboratory,@lbl.gov,162881,COnXcM0AAAAJ,{'indices'},Deep learning|particle physics|high-energy physics|philosophy,Wahid Bhimji,https://scholar.google.com/citations?view_op=medium_photo&user=COnXcM0AAAAJ,84035,191,143,794,593,0,0
135944,Poornima University,@poornima.edu.in,153203,b-IqFKkAAAAJ,{'indices'},Machine Learning|Deep Learning,Saurab Dutta,https://scholar.google.com/citations?view_op=medium_photo&user=b-IqFKkAAAAJ,93099,185,145,1123,949,0,0
135945,"Professor of Computer Science and Linguistics, Stanford University",@stanford.edu,150574,1zmDOdwAAAAJ,{'indices'},Natural Language Processing|Computational Linguistics|Deep Learning,Christopher D Manning,https://scholar.google.com/citations?view_op=medium_photo&user=1zmDOdwAAAAJ,94227,137,100,357,298,0,0
135946,"Associate Professor, University of Bologna",@bo.infn.it,147092,7_xEzmUAAAAJ,{'indices'},High Energy Physics|Software/Computing|Big Data|Machine Learning|Deep Learning,Daniele Bonacorsi,https://scholar.google.com/citations?view_op=medium_photo&user=7_xEzmUAAAAJ,90591,168,139,729,601,0,0
135947,Amazon Web Services,@smola.org,143988,Tb0ZrYwAAAAJ,{'indices'},Machine Learning|Deep Learning|Systems,Alex Smola,https://scholar.google.com/citations?view_op=medium_photo&user=Tb0ZrYwAAAAJ,66691,130,96,345,266,0,0
135948,"Postdoc, University of California, Santa Cruz",@sas.upenn.edu,141661,7-0GbXEAAAAJ,{'indices'},Deep Learning|Particle Physics,Ryan Reece,https://scholar.google.com/citations?view_op=medium_photo&user=7-0GbXEAAAAJ,87500,154,132,524,493,0,0
135949,,@cs.stanford.edu,124545,iYN86KEAAAAJ,{'indices'},Deep Learning,Ian Goodfellow,https://scholar.google.com/citations?view_op=medium_photo&user=iYN86KEAAAAJ,121712,70,69,107,106,0,0
135950,NIO,@nio.com,115537,AUhj438AAAAJ,{'indices'},Computer Vision|Deep Learning|Autonomous Driving,Shaoqing Ren,https://scholar.google.com/citations?view_op=medium_photo&user=AUhj438AAAAJ,113787,14,14,14,14,0,0
135951,"UPMC Professor, Machine Learning Department, CMU",@cs.cmu.edu,106219,ITZ1e7MAAAAJ,{'indices'},Machine Learning|Artificial Intelligence|Deep Learning,Ruslan Salakhutdinov,https://scholar.google.com/citations?view_op=medium_photo&user=ITZ1e7MAAAAJ,87995,92,82,188,184,0,0
135952,,@physics.umn.edu,100897,MGzxB68AAAAJ,{'indices'},Deep learning|Particle physics,Alexander Gude,https://scholar.google.com/citations?view_op=medium_photo&user=MGzxB68AAAAJ,64551,136,115,328,316,0,0
135953,Research Scientist at Google DeepMind,@google.com,97897,NkzyCvUAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Deep Learning|Speech|Vision,Oriol Vinyals,https://scholar.google.com/citations?view_op=medium_photo&user=NkzyCvUAAAAJ,94193,75,72,116,103,0,0
135954,"Research Leader, MEGVII Technology",@megvii.com,94527,yuB-cfoAAAAJ,{'indices'},Computer Vision|Deep Learning|Model Acceleration,Xiangyu Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=yuB-cfoAAAAJ,93200,25,25,29,29,0,0
