,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
155669,Columbia University,@columbia.edu,75617,XG6aM5EAAAAJ,{'indices'},ecology|biodiversity|conservation|extinction|global change,Shahid Naeem,https://scholar.google.com/citations?view_op=medium_photo&user=XG6aM5EAAAAJ,28566,70,50,145,98,0,0
155670,"Professor of Biology, Macquarie University",@mq.edu.au,65689,lc5qpkUAAAAJ,{'indices'},conservation|evolution|ecology|evolutionary ecology,Richard Shine,https://scholar.google.com/citations?view_op=medium_photo&user=lc5qpkUAAAAJ,20851,123,58,886,595,0,0
155671,The University of Queensland,@tnc.org,65115,lSYOB3cAAAAJ,{'indices'},Conservation|Conservation Biology|Ornithology|Ecological Modeling|Spatial Planning,Hugh Possingham,https://scholar.google.com/citations?view_op=medium_photo&user=lSYOB3cAAAAJ,29679,133,82,630,521,0,0
155672,"Professor of Fisheries, University of British Columbia",@fisheries.ubc.ca,60569,6p6j0PIAAAAJ,{'indices'},Fisheries|conservation|population dynamics|ecosystem modelling,Carl Walters,https://scholar.google.com/citations?view_op=medium_photo&user=6p6j0PIAAAAJ,14582,90,49,294,169,0,0
155673,"Center for Biodiversity Dynamics, NTNU, Trondheim, Norway",@imperial.ac.uk,59022,9zQR3rsAAAAJ,{'indices'},evolution|ecology|conservation,Russell Lande,https://scholar.google.com/citations?view_op=medium_photo&user=9zQR3rsAAAAJ,13479,93,49,184,141,0,0
155674,"Miriam Rothschild Professor of Conservation Biology, Department of Zoology, University of …",@zoo.cam.ac.uk,53633,fKwq9YgAAAAJ,{'indices'},biodiversity|conservation|conservation biology|ornithology|conservation science,William J. Sutherland,https://scholar.google.com/citations?view_op=medium_photo&user=fKwq9YgAAAAJ,21663,108,75,438,295,0,0
155675,"Professor, University of York",@york.ac.uk,51015,0Jlh2vQAAAAJ,{'indices'},Biodiversity|ecology|conservation|climate change|conservation biology,Chris D Thomas,https://scholar.google.com/citations?view_op=medium_photo&user=0Jlh2vQAAAAJ,17491,103,56,241,177,0,0
155676,"Professor, University of Washington School of Aquatic and Fishery Sciences",@uw.edu,49411,7vpKH6IAAAAJ,{'indices'},fisheries|population dynamics|ecosystem modelling|Conservation|ecology,Ray Hilborn,https://scholar.google.com/citations?view_op=medium_photo&user=7vpKH6IAAAAJ,15552,95,61,348,221,0,0
155677,University of Oxford,@zoo.ox.ac.uk,44817,OtqXc1YAAAAJ,{'indices'},Conservation,David W. Macdonald,https://scholar.google.com/citations?view_op=medium_photo&user=OtqXc1YAAAAJ,20124,105,63,603,470,0,0
155678,"Emeritus Professor of Fisheries and Ecological Modelling, University of Tasmania (UTas) …",@ecomarres.com,43996,zqd2kZEAAAAJ,{'indices'},Fisheries|Ecological Modeling|Conservation|Marine Ecology,Reg Watson,https://scholar.google.com/citations?view_op=medium_photo&user=zqd2kZEAAAAJ,20291,79,62,173,119,0,0
155679,"Chair of Conservation, Duke University",@duke.edu,43473,FmTTcdMAAAAJ,{'indices'},Conservation|conservation biology|ornithology,stuart pimm,https://scholar.google.com/citations?view_op=medium_photo&user=FmTTcdMAAAAJ,14321,95,51,248,149,0,0
155680,Univ. of California,@berkeley.edu,42341,RC2lURgAAAAJ,{'indices'},Plant ecology|evolution|climate change|conservation,David D ACKERLY,https://scholar.google.com/citations?view_op=medium_photo&user=RC2lURgAAAAJ,20807,78,52,155,133,0,0
155681,Ecology and Evolutionary Biology- UCLA,@g.ucla.edu,40754,uTb0WJkAAAAJ,{'indices'},evolution|conservation|genomics,ROBERT WAYNE,https://scholar.google.com/citations?view_op=medium_photo&user=uTb0WJkAAAAJ,12896,102,57,252,197,0,0
155682,Florida Institute for Conservation Science,@segrasslands.org,39725,_D_vKWgAAAAJ,{'indices'},Natural history|ecology|conservation,Reed Noss,https://scholar.google.com/citations?view_op=medium_photo&user=_D_vKWgAAAAJ,8807,79,45,170,103,0,0
155683,"University of California, Santa Cruz",@ucsc.edu,39697,6eRw62UAAAAJ,{'indices'},Ecology|Evolutionary Biology|Conservation,James Estes,https://scholar.google.com/citations?view_op=medium_photo&user=6eRw62UAAAAJ,14849,82,48,177,122,0,0
155684,"Head of Science, UNEP-WCMC and Professor of Conservation Science, University of …",@unep-wcmc.org,37796,jYztZIEAAAAJ,{'indices'},Africa|Conservation|Forests|Communities|Policy,Neil Burgess,https://scholar.google.com/citations?view_op=medium_photo&user=jYztZIEAAAAJ,17607,81,57,231,172,0,0
155685,University of Toronto,@utoronto.ca,36697,tI-9Q9kAAAAJ,{'indices'},Landscape ecology|landscape genetics|conservation|multivariate and spatial statistics|ecology,Helene H. Wagner,https://scholar.google.com/citations?view_op=medium_photo&user=tI-9Q9kAAAAJ,25861,43,32,74,67,0,0
155686,University of Georgia,@uga.edu,36479,FQjJtEsAAAAJ,{'indices'},ecology|evolution|mammals|conservation,John Gittleman,https://scholar.google.com/citations?view_op=medium_photo&user=FQjJtEsAAAAJ,13897,78,48,129,97,0,0
155687,"University of California, Santa Barbara",@lifesci.ucsb.edu,32141,EnWAN9gAAAAJ,{'indices'},evolution|behavior|ecology|conservation,Robert Warner,https://scholar.google.com/citations?view_op=medium_photo&user=EnWAN9gAAAAJ,8845,76,39,145,101,0,0
155688,"University of California, Davis",@ucdavis.edu,31923,0D0oULYAAAAJ,{'indices'},fish|fisheries|conservation|aquatic ecosystems,Peter B. Moyle,https://scholar.google.com/citations?view_op=medium_photo&user=0D0oULYAAAAJ,8058,82,42,227,129,0,0
155689,"Director, Center for Biodiversity; Carnell Professor, Temple University",@temple.edu,30964,tIpAgQkAAAAJ,{'indices'},Evolution|Biodiversity|Biogeography|Conservation|Systematics,S. Blair Hedges,https://scholar.google.com/citations?view_op=medium_photo&user=tIpAgQkAAAAJ,9664,83,44,219,123,0,0
155690,"College of Science & Engineering, & Centre of Excellence for Coral Reef Stud, James Cook …",@jcu.edu.au,29412,k1KOA9YAAAAJ,{'indices'},Ecology|Marine Biology|Conservation|Fish|Coral,Geoffrey P Jones,https://scholar.google.com/citations?view_op=medium_photo&user=k1KOA9YAAAAJ,10043,82,47,240,194,0,0
155691,"Professor of Macroecology, Center for Macroecology, Evolution and Climate, Copenhagen & …",@snm.ku.dk,29096,T2SdvTEAAAAJ,{'indices'},Macroecology|Community Ecology|Biogeography|Conservation|Biodiversity,Carsten Rahbek,https://scholar.google.com/citations?view_op=medium_photo&user=T2SdvTEAAAAJ,14764,84,63,217,181,0,0
