,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
208173,"Professor of Chemistry, Northwestern University",@northwestern.edu,85948,0MWnxp4AAAAJ,{'indices'},organic|polymer|inorganic|materials|catalysis,SonBinh Nguyen,https://scholar.google.com/citations?view_op=medium_photo&user=0MWnxp4AAAAJ,37185,98,63,288,209,0,0
208174,"Emeritus professor of Institute for Advance Study, Kyushu University",@mail.cstm.kyushu-u.ac.jp,63758,cKDiGagAAAAJ,{'indices'},Molecular Machine|Supramolecular Chemistry|Self-assembly|Molecular Recognition|Polymer,Seiji Shinkai,https://scholar.google.com/citations?view_op=medium_photo&user=cKDiGagAAAAJ,9069,117,45,871,211,0,0
208175,"Yokohama National University, Depertment of Chemistry and Biotechnology",@ynu.ac.jp,46195,nKWbAtYAAAAJ,{'indices'},ionic liquid|polymer|lithium battery,Masayoshi Watanabe,https://scholar.google.com/citations?view_op=medium_photo&user=nKWbAtYAAAAJ,17001,107,63,524,269,0,0
208176,IBM ,@us.ibm.com,41905,hp5SuP0AAAAJ,{'indices'},polymer,James L. Hedrick,https://scholar.google.com/citations?view_op=medium_photo&user=hp5SuP0AAAAJ,15317,109,63,466,285,0,0
208177,"Professor of Materials Science & Engineering, Cornell University or Xerox or UMASS …",@cornell.edu,37020,j8v7Y1wAAAAJ,{'indices'},polymer|lithography|biomaterials interface,Christopher Ober,https://scholar.google.com/citations?view_op=medium_photo&user=j8v7Y1wAAAAJ,10719,89,41,423,202,0,0
208178,"Inha University, Department of Chemistry",@inha.ac.kr,36404,dzIIsgYAAAAJ,{'indices'},Chemistry|Carbon|Polymer,Soo-Jin Park,https://scholar.google.com/citations?view_op=medium_photo&user=dzIIsgYAAAAJ,19480,91,60,672,453,0,0
208179,Hanyang university,@hanyang.ac.kr,35364,QrTmc6sAAAAJ,{'indices'},Polymer|Membranes|Gas Separation|Water|Biomaterials,Young Moo Lee,https://scholar.google.com/citations?view_op=medium_photo&user=QrTmc6sAAAAJ,14044,103,58,418,271,0,0
208180,Professor of Nanotechnology & Regenerative Medicine,@nanoregmed.com,33181,lNbuTOMAAAAJ,{'indices'},Nanotechnology|nanocomposite|polymer|antibacterial|regenerative medicine,Alexander Seifalian,https://scholar.google.com/citations?view_op=medium_photo&user=lNbuTOMAAAAJ,14185,90,57,410,270,0,0
208181,Tokyo University of Agriculture and Technology,@cc.tuat.ac.jp,32527,H3YCkTwAAAAJ,{'indices'},ionic liquid|polymer|molecular assembly,Hiroyuki Ohno,https://scholar.google.com/citations?view_op=medium_photo&user=H3YCkTwAAAAJ,12231,82,48,375,198,0,0
208182,"Research Engineer, Ecosil Technologies, LLC",@ecosiltech.com,31405,Cp1m7C0AAAAJ,{'indices'},Corrosion|pretreatment|coating|polymer,ZHANG Wenchao,https://scholar.google.com/citations?view_op=medium_photo&user=Cp1m7C0AAAAJ,12689,69,46,655,323,0,0
208183,"Professor of Materials, Manchester University, Queen Mary, Cambridge",@manchester.ac.uk,30807,CTAnsf8AAAAJ,{'indices'},Polymer|Composites|Fibres,Robert J Young,https://scholar.google.com/citations?view_op=medium_photo&user=CTAnsf8AAAAJ,11604,84,52,323,172,0,0
208184,Seoul National University,@snu.ac.kr,29132,zqzNbPIAAAAJ,{'indices'},Battery|Energy Storage|Materials Chemistry|Polymer|Supramolecular Chemistry,Jang Wook Choi,https://scholar.google.com/citations?view_op=medium_photo&user=zqzNbPIAAAAJ,20365,77,71,175,167,0,0
208185,"University of Akron, South China University of Technology, Donghua University, Rensselaer",@uakron.edu,27995,hiwzq2AAAAAJ,{'indices'},Polymer|materials|chemistry|physics|engineering,Stephen ZD Cheng,https://scholar.google.com/citations?view_op=medium_photo&user=hiwzq2AAAAAJ,8508,86,44,431,221,0,0
