,author_1,author_2
64341,OKgPPJAAAAAJ,sq3IpLYAAAAJ
64342,OKgPPJAAAAAJ,zpfpYBIAAAAJ
64343,OKgPPJAAAAAJ,BS5K3I4AAAAJ
64344,OKgPPJAAAAAJ,_bhHo9oAAAAJ
64345,OKgPPJAAAAAJ,VYRl44wAAAAJ
64346,OKgPPJAAAAAJ,B3o74TgAAAAJ
64347,OKgPPJAAAAAJ,r0mZkPQAAAAJ
64348,OKgPPJAAAAAJ,RhgvOt4AAAAJ
64349,OKgPPJAAAAAJ,4Npmpr0AAAAJ
64350,OKgPPJAAAAAJ,Chh5ZssAAAAJ
64351,OKgPPJAAAAAJ,q6EbUsMAAAAJ
64352,OKgPPJAAAAAJ,RvuFUsYAAAAJ
64353,OKgPPJAAAAAJ,GdXF5AoAAAAJ
64354,OKgPPJAAAAAJ,mUXEzJEAAAAJ
64355,OKgPPJAAAAAJ,3WbWBsUAAAAJ
64356,dH6F0y8AAAAJ,BTVVLk0AAAAJ
64357,dH6F0y8AAAAJ,Syy1V1AAAAAJ
64358,dH6F0y8AAAAJ,usAxvpcAAAAJ
64359,dH6F0y8AAAAJ,Jx6dNkQAAAAJ
64360,dH6F0y8AAAAJ,OKgPPJAAAAAJ
64361,dH6F0y8AAAAJ,PYJl6b0AAAAJ
64362,dH6F0y8AAAAJ,GDabimYAAAAJ
64363,dH6F0y8AAAAJ,CmdjfTsAAAAJ
64364,20Y73oIAAAAJ,VuWl-KUAAAAJ
64365,20Y73oIAAAAJ,fDdcWBEAAAAJ
64366,20Y73oIAAAAJ,ccCNF08AAAAJ
64367,20Y73oIAAAAJ,-nlhtEkAAAAJ
64368,20Y73oIAAAAJ,TRZB0J4AAAAJ
64369,20Y73oIAAAAJ,r0c4bz4AAAAJ
64370,20Y73oIAAAAJ,x9NyDZ0AAAAJ
64371,20Y73oIAAAAJ,8gvhDpQAAAAJ
64372,20Y73oIAAAAJ,qYYPst0AAAAJ
64373,20Y73oIAAAAJ,SWworh8AAAAJ
64374,20Y73oIAAAAJ,BH7jpGIAAAAJ
64375,20Y73oIAAAAJ,zkhHirIAAAAJ
64376,20Y73oIAAAAJ,4FRaGVwAAAAJ
64377,20Y73oIAAAAJ,VWX-GMAAAAAJ
64378,20Y73oIAAAAJ,b053OdAAAAAJ
64379,20Y73oIAAAAJ,Z9X2A1MAAAAJ
64380,20Y73oIAAAAJ,cIi0ZXYAAAAJ
64381,20Y73oIAAAAJ,0wN3i-AAAAAJ
64382,jYHJAagAAAAJ,VuWl-KUAAAAJ
64383,jYHJAagAAAAJ,b_GVwg0AAAAJ
64384,jYHJAagAAAAJ,ccCNF08AAAAJ
64385,jYHJAagAAAAJ,d3iClOcAAAAJ
64386,jYHJAagAAAAJ,OJXLhEAAAAAJ
64387,jYHJAagAAAAJ,SWworh8AAAAJ
64388,jYHJAagAAAAJ,8PX-1X8AAAAJ
