id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
21000,"diva-portal.org. Please wait … 
",T Söderström and P Stoica,6286,6918221546520285555,,,,Prentice Hall,System Identification,https://www.diva-portal.org/smash/record.jsf?pid=diva2:52642,,1989,/scholar?cites=6918221546520285555,g8rknqcAAAAJ:TWu9ukPC6OgC
21001,"This book presents an introduction to spectral analysis that is designed for either course use or self-study. Clear and concise in approach, it develops a firm understanding of tools and techniques as well as a solid background for performing research. Topics covered include nonparametric spectrum analysis (both periodogram-based approaches and filter-bank approaches), parametric spectral analysis using rational spectral models (AR, MA, and ARMA models), parametric method for line spectra, and spatial (array) signal processing. Analytical and Matlab-based computer exercises are included to develop both analytical skills and hands-on experience.",Petre Stoica and Randolph Moses,3183,5128777623499714787,,,,Prentice hall,Introduction to spectral analysis,http://scholar.google.com/scholar?cluster=5128777623499714787&hl=en&oi=scholarr,,1997,/scholar?cites=5128777623499714787,g8rknqcAAAAJ:vQNKwTyuBiAC
21002,"The performance of the MUSIC and ML methods is studied, and their statistical efficiency is analyzed. The Cramer-Rao bound (CRB) for the estimation problems is derived, and some useful properties of the CRB covariance matrix are established. The relationship between the MUSIC and ML estimators is investigated as well. A numerical study is reported of the statistical efficiency of the MUSIC estimator for the problem of finding the directions of two plane waves using a uniform linear array. An exact description of the results is included.< >",Petre Stoica and Arye Nehorai,3023,13877421068237901030,"IEEE Transactions on Acoustics, speech, and signal processing",5,720-741,IEEE,"MUSIC, maximum likelihood, and Cramer-Rao bound",https://ieeexplore.ieee.org/abstract/document/17564/,37,1989,/scholar?cites=13877421068237901030,g8rknqcAAAAJ:n35PH7pn8T4C
21003,"Spectral analysis considers the problem of determining the spectral content (ie, the distribution of power over frequency) of a time series from a finite set of measurements, by means of either nonparametric or parametric techniques. The history of spectral analysis as an established discipline started more than a century ago with the work by Schuster on detecting cyclic behavior in time series. An interesting historical perspective on the developments in this field can be found in [Marple 1987]. This reference notes that the word “spectrum” was apparently introduced by Newton in relation to his studies of the decomposition of white light into a band of light colors, when passed through a glass prism (as illustrated on the front cover). This word appears to be a variant of the Latin word “specter” which means “ghostly apparition”. The contemporary English word that has the same meaning as the original Latin word is “spectre”. Despite these roots of the word “spectrum”, we hope the student will be a “vivid presence” in the course that has just started!This text, which is a revised and expanded version of Introduction to Spectral Analysis (Prentice Hall, 1997), is designed to be used with a first course in spectral analysis that would typically be offered to senior undergraduate or first–year graduate students. The book should also be useful for self-study, as it is largely self-contained. The text is concise by design, so that it gets to the main points quickly and should hence be appealing to those who would like a fast appraisal on the classical and modern approaches of spectral analysis. In order to keep the book as concise as possible without sacrificing the rigor of …",P Stoica and R Moses,2869,14915250485797371161,,,,"Prentice-Hall, Upper Saddle River, NJ",Spectral Analysis of Signals,http://user.it.uu.se/~ps/SAS-new.pdf,,2005,/scholar?cites=14915250485797371161,g8rknqcAAAAJ:BhdUJeZOhtEC
21004,"We have provided a review of some recent results on the emerging technology of MIMO radar with colocated antennas. We have shown that the waveform diversity offered by such a MIMO radar system enables significant superiority over its phased-array counterpart, including much improved parameter identifiability, direct applicability of adaptive techniques for parameter estimation, as well as superior flexibility of transmit beampattern designs. We hope that this overview of our recent results on the MIMO radar, along with the related results obtained by our colleagues, will stimulate the interest deserved by this topic in both academia and government agencies as well as industry.",Jian Li and Petre Stoica,2032,3267636611162342284,IEEE Signal Processing Magazine,5,106-114,IEEE,MIMO radar with colocated antennas,https://ieeexplore.ieee.org/abstract/document/4350230/,24,2007,/scholar?cites=3267636611162342284,g8rknqcAAAAJ:sk-5v2XeZBgC
21005,"The first book to present a systematic and coherent picture of MIMO radars Due to its potential to improve target detection and discrimination capability, Multiple-Input and Multiple-Output (MIMO) radar has generated significant attention and widespread interest in academia, industry, government labs, and funding agencies. This important new work fills the need for a comprehensive treatment of this emerging field. Edited and authored by leading researchers in the field of MIMO radar research, this book introduces recent developments in the area of MIMO radar to stimulate new concepts, theories, and applications of the topic, and to foster further cross-fertilization of ideas with MIMO communications. Topical coverage includes: Adaptive MIMO radar Beampattern analysis and optimization for MIMO radar MIMO radar for target detection, parameter estimation, tracking, association, and recognition MIMO radar prototypes and measurements Space-time codes for MIMO radar Statistical MIMO radar Waveform design for MIMO radar Written in an easy-to-follow tutorial style, MIMO Radar Signal Processing serves as an excellent course book for graduate students and a valuable reference for researchers in academia and industry.",J Li and P Stoica,1540,2253029875453289333,,,,"John Wiley & Sons, Inc., Hoboken, NJ",MIMO Radar Signal Processing,http://books.google.com/books?hl=en&lr=&id=g6uLLWb-TqYC&oi=fnd&pg=PR5&dq=info:dWO8ErxeRB8J:scholar.google.com&ots=VGWlfPWVtH&sig=WPglHtr0ZzuOREqepKead5NaSmo,,2009,/scholar?cites=2253029875453289333,g8rknqcAAAAJ:IOahUoDOFMsC
21006,"The Capon (1969) beamformer has better resolution and much better interference rejection capability than the standard (data-independent) beamformer, provided that the array steering vector corresponding to the signal of interest (SOI) is accurately known. However, whenever the knowledge of the SOI steering vector is imprecise (as is often the case in practice), the performance of the Capon beamformer may become worse than that of the standard beamformer. Diagonal loading (including its extended versions) has been a popular approach to improve the robustness of the Capon beamformer. We show that a natural extension of the Capon beamformer to the case of uncertain steering vectors also belongs to the class of diagonal loading approaches, but the amount of diagonal loading can be precisely calculated based on the uncertainty set of the steering vector. The proposed robust Capon beamformer can be …",Jian Li and Petre Stoica and Zhisong Wang,1498,1385253970337394933,IEEE transactions on signal processing,7,1702-1715,IEEE,On robust Capon beamforming and diagonal loading,https://ieeexplore.ieee.org/abstract/document/1206680/,51,2003,/scholar?cites=1385253970337394933,g8rknqcAAAAJ:5Hlrm_bZEgcC
21007,"Space-time coding is a technique that promises greatly improved performance in wireless networks by using multiple antennas at the transmitter and receiver. Space-Time Block Coding for Wireless Communications is an introduction to the theory of this technology. The authors develop the topic using a unified framework and cover a variety of topics ranging from information theory to performance analysis and state-of-the-art space-time coding methods for both flat and frequency-selective fading multiple-antenna channels. The authors concentrate on key principles rather than specific practical applications, and present the material in a concise and accessible manner. Their treatment reviews the fundamental aspects of multiple-input, multiple output communication theory, and guides the reader through a number of topics at the forefront of current research and development. The book includes homework exercises and is aimed at graduate students and researchers working on wireless communications, as well as practitioners in the wireless industry.",Erik G Larsson and Petre Stoica,1309,2721629694678175793,,,,Cambridge university press,Space-time block coding for wireless communications,http://books.google.com/books?hl=en&lr=&id=fAb6VeaFFXwC&oi=fnd&pg=PP1&dq=info:MZBymckrxSUJ:scholar.google.com&ots=P5h4MLNuWP&sig=9ZIuDXwU0neyp0qiP6Ef-Us9P7o,,2008,/scholar?cites=2721629694678175793,g8rknqcAAAAJ:CQikpi1_-5oC
21008,"A parameter estimation method for finite-dimensional multivariate linear stochastic systems, which is guaranteed to produce valid models approximating the true underlying system in a computational time of a polynomial order in the system dimension, is presented. This is achieved by combining the main features of certain stochastic subspace identification techniques with sound matrix Schur restabilizing procedures and multivariate covariance fitting, both of which are formulated as linear matrix inequality problems. All aspects of the identification method are discussed, with an emphasis on the two issues mentioned above, and examples of the overall performance are provided for two different systems.",Jorge Mari and Petre Stoica and Thomas McKelvey,1177,4972661451783905299,IEEE Transactions on Signal Processing,7,2092-2104,IEEE,Vector ARMA estimation: A reliable subspace approach,https://ieeexplore.ieee.org/abstract/document/847793/,48,2000,/scholar?cites=4972661451783905299,g8rknqcAAAAJ:VU60ks20i7sC
21009,A numerical and analytical study of conditional and unconditional direction-of-arrival (DOA) estimation is presented. Explicit expressions for the unconditional Cramer-Rao bounds on the DOA estimation accuracy and the covariance matrix of the conditional maximum likelihood method are given. It is shown that many DOA estimation methods have the same asymptotic statistical properties under conditional and unconditional models. The situation of two narrowband plane signals impinging on a uniformly spaced linear array is discussed.< >,Petre Stoica and Arye Nehorai,1157,8184211266631173655,"IEEE Transactions on Acoustics, Speech, and Signal Processing",10,1783-1795,IEEE,Performance study of conditional and unconditional direction-of-arrival estimation,https://ieeexplore.ieee.org/abstract/document/60109/,38,1990,/scholar?cites=8184211266631173655,g8rknqcAAAAJ:nZgPvcLaoyMC
21010,"We address the problem of designing jointly optimum linear precoder and decoder for a MIMO channel possibly with delay-spread, using a weighted minimum mean-squared error (MMSE) criterion subject to a transmit power constraint. We show that the optimum linear precoder and decoder diagonalize the MIMO channel into eigen subchannels, for any set of error weights. Furthermore, we derive the optimum linear precoder and decoder as functions of the error weights and consider specialized designs based on specific choices of error weights. We show how to obtain: (1) the maximum information rate design; (2) QoS-based design (we show how to achieve any set of relative SNRs across the subchannels); and (3) the (unweighted) MMSE and equal-error design for fixed rate systems.",Hemanth Sampath and Petre Stoica and Arogyaswami Paulraj,1049,9624701414823129401,IEEE Transactions on Communications,12,2198-2206,IEEE,Generalized linear precoder and decoder design for MIMO channels using the weighted MMSE criterion,https://ieeexplore.ieee.org/abstract/document/974266/,49,2001,/scholar?cites=9624701414823129401,g8rknqcAAAAJ:_3zdsQPSqRAC
21011,"We introduce a new paradigm for the design of transmitter space-time coding that we refer to as linear precoding. It leads to simple closed-form solutions for transmission over frequency-selective multiple-input multiple-output (MIMO) channels, which are scalable with respect to the number of antennas, size of the coding block, and transmit average/peak power. The scheme operates as a block transmission system in which vectors of symbols are encoded and modulated through a linear mapping operating jointly in the space and time dimension. The specific designs target minimization of the symbol mean square error and the approximate maximization of the minimum distance between symbol hypotheses, under average and peak power constraints. The solutions are shown to convert the MIMO channel with memory into a set of parallel flat fading subchannels, regardless of the design criterion, while appropriate …",Anna Scaglione and Petre Stoica and Sergio Barbarossa and Georgios B Giannakis and Hemanth Sampath,1017,1597881764588562497,IEEE Transactions on Signal Processing,5,1051-1064,IEEE,Optimal designs for space-time linear precoders and decoders,https://ieeexplore.ieee.org/abstract/document/995062/,50,2002,/scholar?cites=1597881764588562497,g8rknqcAAAAJ:CYCz2uKfkRAC
21012,"The parametric (or model-based) methods of signal processing often require not only the estimation of a vector of real-valued parameters but also the selection of one or several integer-valued parameters that are equally important for the specification of a data model. Examples of these integer-valued parameters of the model include the orders of an autoregressive moving average model, the number of sinusoidal components in a sinusoids-in-noise signal, and the number of source signals impinging on a sensor array. In each of these cases, the integer-valued parameters determine the dimension of the parameter vector of the data model, and they must be estimated from the data.",Petre Stoica and Yngve Selen,910,17243121520816577067,IEEE Signal Processing Magazine,4,36-47,IEEE,Model-order selection: a review of information criterion rules,https://ieeexplore.ieee.org/abstract/document/1311138/,21,2004,/scholar?cites=17243121520816577067,g8rknqcAAAAJ:_8B_re9sV0EC
