id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year
1000,"We present an analysis of atmospheric neutrino data from a 33.0 kton yr (535-day) exposure of the Super-Kamiokande detector. The data exhibit a zenith angle dependent deficit of muon neutrinos which is inconsistent with expectations based on calculations of the atmospheric neutrino flux. Experimental biases and uncertainties in the prediction of neutrino fluxes and cross sections are unable to explain our observation. The data are consistent, however, with two-flavor ν μ↔ ν τ oscillations with sin 2 2 θ> 0.82 and 5× 10− 4< Δ m 2< 6× 1 0− 3 eV 2 at 90% confidence level.",Yoshiyuki Fukuda and T Hayakawa and E Ichihara and K Inoue and K Ishihara and Hirokazu Ishino and Y Itow and T Kajita and J Kameda and S Kasuga and K Kobayashi and Y Kobayashi and Yusuke Koshio and M Miura and M Nakahata and S Nakayama and A Okada and K Okumura and N Sakurai and M Shiozawa and Y Suzuki and Y Takeuchi and Y Totsuka and S Yamada and M Earl and A Habig and E Kearns and MD Messier and K Scholberg and JL Stone and LR Sulak and CW Walter and M Goldhaber and T Barszczxak and D Casper and W Gajewski and PG Halverson and J Hsu and WR Kropp and LR Price and F Reines and M Smy and HW Sobel and MR Vagins and KS Ganezer and WE Keig and RW Ellsworth and S Tasaka and JW Flanagan and A Kibayashi and JG Learned and S Matsuno and VJ Stenger and D Takemori and T Ishii and J Kanzaki and T Kobayashi and S Mine and K Nakamura and K Nishikawa and Y Oyama and A Sakai and Makoto Sakuda and O Sasaki and S Echigo and M Kohama and AT Suzuki and TJ Haines and E Blaufuss and BK Kim and R Sanford and R Svoboda and ML Chen and Z Conner and JA Goodman and GW Sullivan and J Hill and CK Jung and K Martens and C Mauger and C McGrew and E Sharkey and B Viren and C Yanagisawa and W Doki and K Miyano and H Okazawa and C Saji and M Takahata and Y Nagashima and M Takita and T Yamaguchi and M Yoshida and SB Kim and M Etoh and K Fujita and A Hasegawa and T Hasegawa and S Hatakeyama and T Iwamoto and M Koga and T Maruyama and H Ogawa and J Shirai and A Suzuki and F Tsushima and M Koshiba and M Nemoto and K Nishijima and T Futagami and Y Hayato and Y Kanaya and K Kaneyuki and Y Watanabe and D Kielczewska and RA Doyle and JS George and AL Stachyra and LL Wai and RJ Wilkes and KK Young and Super-Kamiokande Collaboration,7420,11115547895525160594,Physical Review Letters,8,1562,American Physical Society,Evidence for oscillation of atmospheric neutrinos,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.81.1562,81,1998
1001,"The Advanced LIGO gravitational wave detectors are second-generation instruments designed and built for the two LIGO observatories in Hanford, WA and Livingston, LA, USA. The two instruments are identical in design, and are specialized versions of a Michelson interferometer with 4 km long arms. As in Initial LIGO, Fabry–Perot cavities are used in the arms to increase the interaction time with a gravitational wave, and power recycling is used to increase the effective laser power. Signal recycling has been added in Advanced LIGO to improve the frequency response. In the most sensitive frequency region around 100 Hz, the design strain sensitivity is a factor of 10 better than Initial LIGO. In addition, the low frequency end of the sensitivity band is moved from 40 Hz down to 10 Hz. All interferometer components have been replaced with improved technologies to achieve this sensitivity gain. Much better seismic …",Junaid Aasi and BP Abbott and Richard Abbott and Thomas Abbott and MR Abernathy and Kendall Ackley and Carl Adams and Thomas Adams and Paolo Addesso and RX Adhikari and V Adya and C Affeldt and N Aggarwal and OD Aguiar and A Ain and P Ajith and A Alemic and B Allen and D Amariutei and SB Anderson and WG Anderson and K Arai and MC Araya and C Arceneaux and JS Areeda and G Ashton and S Ast and SM Aston and P Aufmuth and C Aulbert and BE Aylott and S Babak and PT Baker and SW Ballmer and JC Barayoga and M Barbet and S Barclay and BC Barish and D Barker and B Barr and L Barsotti and J Bartlett and MA Barton and I Bartos and R Bassiri and JC Batch and C Baune and B Behnke and AS Bell and C Bell and M Benacquista and J Bergman and G Bergmann and CPL Berry and J Betzwieser and S Bhagwat and R Bhandare and IA Bilenko and G Billingsley and J Birch and S Biscans and C Biwer and JK Blackburn and L Blackburn and CD Blair and David Blair and O Bock and TP Bodiya and P Bojtos and C Bond and R Bork and M Born and Sukanta Bose and PR Brady and VB Braginsky and JE Brau and DO Bridges and M Brinkmann and AF Brooks and DA Brown and DD Brown and NM Brown and S Buchman and A Buikema and A Buonanno and Laura Cadonati and J Calderon Bustillo and JB Camp and KC Cannon and J Cao and CD Capano and S Caride and S Caudill and M Cavaglià and C Cepeda and R Chakraborty and T Chalermsongsak and SJ Chamberlin and S Chao and P Charlton and Y Chen and HS Cho and M Cho and JH Chow and N Christensen and Qi Chu and S Chung and G Ciani and F Clara and JA Clark and C Collette and L Cominsky and M Constancio Jr and D Cook and TR Corbitt and N Cornish and A Corsi and CA Costa and MW Coughlin and S Countryman and P Couvares and DM Coward and MJ Cowart and DC Coyne and R Coyne and K Craig and JDE Creighton and TD Creighton and J Cripe and SG Crowder and A Cumming and L Cunningham and C Cutler and K Dahl and T Dal Canton and M Damjanic and SL Danilishin and K Danzmann and L Dartez and I Dave and H Daveloza and GS Davies and EJ Daw and D DeBra and W Del Pozzo and T Denker and T Dent and V Dergachev and RT DeRosa and R DeSalvo,2465,1439985753632784956,Classical and quantum gravity,7,074001,IOP Publishing,Advanced ligo,https://iopscience.iop.org/article/10.1088/0264-9381/32/7/074001/meta,32,2015
1002,"A total of 614 upward throughgoing muons of minimum energy 1.6 GeV are observed by Super-Kamiokande during 537 detector live days. The measured muon flux is [1.74±0.07 (stat)±0.02 (sys)]× 10− 13 cm− 2 s− 1 sr− 1 compared to an expected flux of [1.97±0.44 (theor)]× 10− 13 cm− 2 s− 1 sr− 1. The absolute measured flux is in agreement with the prediction within the errors. However, the zenith-angle dependence of the observed upward throughgoing muon flux does not agree with no-oscillation predictions. The observed distortion in shape is consistent with the ν μ↔ ν τ oscillation hypothesis with sin 2 2 θ> 0.4 and 1× 10− 3< Δ m 2< 1× 1 0− 1 eV 2 at 90% confidence level.",Y Fukuda and T Hayakawa and E Ichihara and K Inoue and K Ishihara and Hirokazu Ishino and Y Itow and T Kajita and J Kameda and S Kasuga and K Kobayashi and Y Kobayashi and Yusuke Koshio and M Miura and M Nakahata and S Nakayama and A Okada and K Okumura and N Sakurai and M Shiozawa and Y Suzuki and Y Takeuchi and Y Totsuka and S Yamada and M Earl and A Habig and E Kearns and MD Messier and K Scholberg and JL Stone and LR Sulak and CW Walter and M Goldhaber and T Barszczak and D Casper and W Gajewski and WR Kropp and LR Price and F Reines and M Smy and HW Sobel and MR Vagins and KS Ganezer and WE Keig and RW Ellsworth and S Tasaka and JW Flanagan and A Kibayashi and JG Learned and S Matsuno and VJ Stenger and D Takemori and T Ishii and J Kanzaki and T Kobayashi and S Mine and K Nakamura and K Nishikawa and Y Oyama and A Sakai and M Sakuda and O Sasaki and S Echigo and M Kohama and AT Suzuki and TJ Haines and E Blaufuss and BK Kim and R Sanford and R Svoboda and ML Chen and JA Goodman and GW Sullivan and J Hill and CK Jung and K Martens and C Mauger and C McGrew and E Sharkey and B Viren and C Yanagisawa and W Doki and K Miyano and H Okazawa and C Saji and M Takahata and Y Nagashima and M Takita and T Yamaguchi and M Yoshida and SB Kim and M Etoh and K Fujita and A Hasegawa and T Hasegawa and S Hatakeyama and T Iwamoto and M Koga and T Maruyama and H Ogawa and J Shirai and A Suzuki and F Tsushima and M Koshiba and M Nemoto and K Nishijima and T Futagami and Y Hayato and Y Kanaya and K Kaneyuki and Y Watanabe and D Kielczewska and RA Doyle and JS George and AL Stachyra and LL Wai and RJ Wilkes and KK Young and Super-Kamiokande Collaboration,1234,730781354677454412,Physical Review Letters,13,2644,American Physical Society,Measurement of the flux and zenith-angle distribution of upward throughgoing muons by Super-Kamiokande,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.82.2644,82,1999
1003,"The previously published atmospheric neutrino data did not distinguish whether muon neutrinos were oscillating into tau neutrinos or sterile neutrinos, as both hypotheses fit the data. Using data recorded in 1100 live days of the Super-Kamiokande detector, we use three complementary data samples to study the difference in zenith angle distribution due to neutral currents and matter effects. We find no evidence favoring sterile neutrinos, and reject the hypothesis at the 99% confidence level. On the other hand, we find that oscillation between muon and tau neutrinos suffices to explain all the results in hand.",S Fukuda and Y Fukuda and Masaki Ishitsuka and Y Itow and T Kajita and J Kameda and K Kaneyuki and K Kobayashi and Yusuke Koshio and M Miura and S Moriyama and M Nakahata and S Nakayama and Y Obayashi and A Okada and K Okumura and N Sakurai and M Shiozawa and Y Suzuki and H Takeuchi and Y Takeuchi and T Toshito and Y Totsuka and S Yamada and M Earl and A Habig and E Kearns and MD Messier and K Scholberg and JL Stone and LR Sulak and CW Walter and M Goldhaber and T Barszczak and D Casper and W Gajewski and WR Kropp and S Mine and LR Price and M Smy and HW Sobel and MR Vagins and KS Ganezer and WE Keig and RW Ellsworth and S Tasaka and A Kibayashi and JG Learned and S Matsuno and D Takemori and Y Hayato and T Ishii and T Kobayashi and K Nakamura and Y Oyama and A Sakai and Makoto Sakuda and O Sasaki and M Kohama and AT Suzuki and T Inagaki and K Nishikawa and TJ Haines and E Blaufuss and BK Kim and R Sanford and R Svoboda and ML Chen and JA Goodman and G Guillian and GW Sullivan and J Hill and CK Jung and K Martens and M Malek and C Mauger and C McGrew and E Sharkey and B Viren and C Yanagisawa and M Kirisawa and S Inaba and C Mitsuda and K Miyano and H Okazawa and C Saji and M Takahashi and M Takahata and Y Nagashima and K Nitta and M Takita and M Yoshida and SB Kim and T Ishizuka and M Etoh and Y Gando and T Hasegawa and K Inoue and K Ishihara and T Maruyama and J Shirai and A Suzuki and M Koshiba and Y Hatakeyama and Y Ichikawa and M Koike and K Nishijima and H Fujiyasu and Hirokazu Ishino and M Morii and Y Watanabe and U Golebiewska and D Kielczewska and SC Boyd and AL Stachyra and RJ Wilkes and KK Young and Super-Kamiokande Collaboration,1105,5014349029549865085,Physical Review Letters,19,3999,American Physical Society,Tau neutrinos favored over sterile neutrinos in atmospheric muon neutrino oscillations,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.85.3999,85,2000
1004,"Super-Kamiokande is the world's largest water Cherenkov detector, with net mass 50,000 tons. During the period April, 1996 to July, 2001, Super-Kamiokande I collected 1678 live-days of data, observing neutrinos from the Sun, Earth's atmosphere, and the K2K long-baseline neutrino beam with high efficiency. These data provided crucial information for our current understanding of neutrino oscillations, as well as setting stringent limits on nucleon decay. In this paper, we describe the detector in detail, including its site, configuration, data acquisition equipment, online and offline software, and calibration systems which were used during Super-Kamiokande I.",S Fukuda and Y Fukuda and T Hayakawa and E Ichihara and Masaki Ishitsuka and Y Itow and T Kajita and J Kameda and K Kaneyuki and S Kasuga and K Kobayashi and Y Kobayashi and Yusuke Koshio and M Miura and S Moriyama and M Nakahata and S Nakayama and T Namba and Y Obayashi and A Okada and M Oketa and K Okumura and T Oyabu and N Sakurai and M Shiozawa and Y Suzuki and Y Takeuchi and T Toshito and Y Totsuka and S Yamada and S Desai and M Earl and JT Hong and E Kearns and M Masuzawa and MD Messier and JL Stone and LR Sulak and CW Walter and W Wang and K Scholberg and T Barszczak and D Casper and DW Liu and W Gajewski and PG Halverson and J Hsu and WR Kropp and S Mine and LR Price and F Reines and M Smy and HW Sobel and MR Vagins and KS Ganezer and WE Keig and RW Ellsworth and S Tasaka and JW Flanagan and A Kibayashi and JG Learned and S Matsuno and VJ Stenger and Y Hayato and T Ishii and A Ichikawa and J Kanzaki and T Kobayashi and T Maruyama and K Nakamura and Y Oyama and A Sakai and Makoto Sakuda and O Sasaki and S Echigo and T Iwashita and M Kohama and AT Suzuki and M Hasegawa and T Inagaki and I Kato and H Maesaka and T Nakaya and K Nishikawa and S Yamamoto and TJ Haines and BK Kim and R Sanford and R Svoboda and E Blaufuss and ML Chen and Z Conner and JA Goodman and E Guillian and GW Sullivan and D Turcan and A Habig and M Ackerman and F Goebel and J Hill and CK Jung and T Kato and D Kerr and M Malek and K Martens and C Mauger and C McGrew and E Sharkey and B Viren and C Yanagisawa and W Doki and S Inaba and K Ito and M Kirisawa and M Kitaguchi and C Mitsuda and K Miyano and C Saji and M Takahata and M Takahashi and K Higuchi and Y Kajiyama and A Kusano and Y Nagashima and K Nitta and M Takita and T Yamaguchi and M Yoshida and HI Kim and SB Kim and J Yoo and H Okazawa and M Etoh and K Fujita and Y Gando and A Hasegawa and T Hasegawa and S Hatakeyama and K Inoue and K Ishihara and T Iwamoto and M Koga and I Nishiyama and H Ogawa and J Shirai and A Suzuki and T Takayama and F Tsushima and M Koshiba and Y Ichikawa,1099,14011501636526314438,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",2-3,418-462,North-Holland,The super-kamiokande detector,https://www.sciencedirect.com/science/article/pii/S016890020300425X,501,2003
1005,"Purpose: Although microRNAs have recently been recognized as riboregulators of gene expression, little is known about microRNA expression profiles in serous ovarian carcinoma. We assessed the expression of microRNA and the association between microRNA expression and the prognosis of serous ovarian carcinoma.Experimental Design: Twenty patients diagnosed with serous ovarian carcinoma and eight patients treated for benign uterine disease between December 2000 and September 2003 were enrolled in this study. The microRNA expression profiles were examined using DNA microarray and Northern blot analyses.Results: Several microRNAs were differentially expressed in serous ovarian carcinoma compared with normal ovarian tissues, including miR-21, miR-125a, miR-125b, miR-100, miR-145, miR-16, and miR-99a, which were each differentially expressed in >16 patients. In addition, the …",Eun Ji Nam and Heejei Yoon and Sang Wun Kim and Hoguen Kim and Young Tae Kim and Jae Hoon Kim and Jae Wook Kim and Sunghoon Kim,913,2308249919244117473,Clinical cancer research,9,2690-2695,American Association for Cancer Research,MicroRNA expression profiles in serous ovarian carcinoma,https://clincancerres.aacrjournals.org/content/14/9/2690.short,14,2008
1006,"Nearly a century after Einstein first predicted the existence of gravitational waves, a global network of Earth-based gravitational wave observatories 1, 2, 3, 4 is seeking to directly detect this faint radiation using precision laser interferometry. Photon shot noise, due to the quantum nature of light, imposes a fundamental limit on the attometre-level sensitivity of the kilometre-scale Michelson interferometers deployed for this task. Here, we inject squeezed states to improve the performance of one of the detectors of the Laser Interferometer Gravitational-Wave Observatory (LIGO) beyond the quantum noise limit, most notably in the frequency region down to 150 Hz, critically important for several astrophysical sources, with no deterioration of performance observed at any frequency. With the injection of squeezed states, this LIGO detector demonstrated the best broadband sensitivity to gravitational waves ever achieved, with …",Junaid Aasi and J Abadie and BP Abbott and Richard Abbott and TD Abbott and MR Abernathy and Carl Adams and Thomas Adams and Paolo Addesso and RX Adhikari and C Affeldt and OD Aguiar and P Ajith and B Allen and E Amador Ceron and D Amariutei and SB Anderson and WG Anderson and K Arai and MC Araya and C Arceneaux and S Ast and SM Aston and D Atkinson and P Aufmuth and C Aulbert and L Austin and BE Aylott and S Babak and PT Baker and S Ballmer and Y Bao and JC Barayoga and D Barker and B Barr and L Barsotti and MA Barton and I Bartos and R Bassiri and J Batch and J Bauchrowitz and B Behnke and AS Bell and C Bell and G Bergmann and JM Berliner and A Bertolini and J Betzwieser and N Beveridge and PT Beyersdorf and T Bhadbhade and IA Bilenko and G Billingsley and J Birch and S Biscans and E Black and JK Blackburn and L Blackburn and David Blair and B Bland and O Bock and TP Bodiya and C Bogan and C Bond and R Bork and M Born and S Bose and J Bowers and PR Brady and VB Braginsky and JE Brau and J Breyer and DO Bridges and M Brinkmann and M Britzger and AF Brooks and DA Brown and DD Brown and K Buckland and F Brückner and BC Buchler and A Buonanno and J Burguet-Castell and RL Byer and L Cadonati and JB Camp and P Campsie and K Cannon and J Cao and CD Capano and L Carbone and S Caride and AD Castiglia and S Caudill and M Cavaglià and C Cepeda and T Chalermsongsak and S Chao and P Charlton and Xu Chen and Y Chen and HS Cho and JH Chow and N Christensen and Qi Chu and SS Y Chua and CTY Chung and G Ciani and F Clara and DE Clark and JA Clark and M Constancio Junior and D Cook and TR Corbitt and M Cordier and N Cornish and A Corsi and CA Costa and MW Coughlin and S Countryman and P Couvares and DM Coward and M Cowart and DC Coyne and K Craig and JDE Creighton and TD Creighton and A Cumming and L Cunningham and K Dahl and M Damjanic and SL Danilishin and K Danzmann and B Daudert and H Daveloza and GS Davies and EJ Daw and T Dayanga and E Deleeuw and T Denker and T Dent and V Dergachev and R DeRosa and R DeSalvo and S Dhurandhar and I Di Palma and M Díaz and A Dietz and F Donovan and KL Dooley,776,9437412913506216317,Nature Photonics,8,613-619,Nature Publishing Group,Enhanced sensitivity of the LIGO gravitational wave detector by using squeezed states of light,https://www.nature.com/articles/nphoton.2013.177/,7,2013
1007,"Around the globe several observatories are seeking the first direct detection of gravitational waves (GWs). These waves are predicted by Einstein’s general theory of relativity 1 and are generated, for example, by black-hole binary systems 2. Present GW detectors are Michelson-type kilometre-scale laser interferometers measuring the distance changes between mirrors suspended in vacuum. The sensitivity of these detectors at frequencies above several hundred hertz is limited by the vacuum (zero-point) fluctuations of the electromagnetic field. A quantum technology—the injection of squeezed light 3—offers a solution to this problem. Here we demonstrate the squeezed-light enhancement of GEO 600, which will be the GW observatory operated by the LIGO Scientific Collaboration in its search for GWs for the next 3–4 years. GEO 600 now operates with its best ever sensitivity, which proves the usefulness of …",J Abadie and Benjamin P Abbott and R Abbott and Thomas D Abbott and M Abernathy and Carl Adams and R Adhikari and Christoph Affeldt and B Allen and GS Allen and E Amador Ceron and D Amariutei and RS Amin and SB Anderson and WG Anderson and K Arai and MA Arain and MC Araya and SM Aston and D Atkinson and P Aufmuth and C Aulbert and BE Aylott and S Babak and P Baker and S Ballmer and D Barker and B Barr and P Barriga and L Barsotti and MA Barton and I Bartos and R Bassiri and M Bastarrika and J Batch and J Bauchrowitz and B Behnke and AS Bell and I Belopolski and M Benacquista and JM Berliner and A Bertolini and J Betzwieser and N Beveridge and PT Beyersdorf and IA Bilenko and G Billingsley and J Birch and R Biswas and E Black and JK Blackburn and L Blackburn and David Blair and B Bland and O Bock and TP Bodiya and C Bogan and R Bondarescu and R Bork and M Born and S Bose and PR Brady and VB Braginsky and JE Brau and J Breyer and DO Bridges and M Brinkmann and M Britzger and AF Brooks and DA Brown and A Brummitt and A Buonanno and J Burguet-Castell and O Burmeister and RL Byer and L Cadonati and JB Camp and P Campsie and J Cannizzo and K Cannon and J Cao and CD Capano and S Caride and S Caudill and M Cavagliá and C Cepeda and T Chalermsongsak and E Chalkley and P Charlton and S Chelkowski and Y Chen and N Christensen and H Cho and SSY Chua and S Chung and CTY Chung and G Ciani and F Clara and DE Clark and J Clark and JH Clayton and R Conte and D Cook and TR Corbitt and M Cordier and N Cornish and A Corsi and CA Costa and M Coughlin and P Couvares and DM Coward and DC Coyne and JDE Creighton and TD Creighton and AM Cruise and A Cumming and L Cunningham and RM Cutler and K Dahl and SL Danilishin and R Dannenberg and K Danzmann and B Daudert and H Daveloza and G Davies and EJ Daw and T Dayanga and D DeBra and J Degallaix and T Dent and V Dergachev and R DeRosa and R DeSalvo and S Dhurandhar and J DiGuglielmo and I Di Palma and M Díaz and F Donovan and KL Dooley and S Dorsher and RWP Drever and JC Driggers and Z Du and Jean-Charles Dumas and S Dwyer and T Eberle and M Edgar and M Edwards and A Effler and P Ehrens,743,5794391353205076492,Nature Physics,12,962,Nature Publishing Group,A gravitational wave observatory operating beyond the quantum shot-noise limit,https://www.nature.com/articles/nphys2083,7,2011
1008,The details of Super-Kamiokande-I’s solar neutrino analysis are given. Solar neutrino measurement in Super-Kamiokande is a high statistics collection of B 8 solar neutrinos via neutrino-electron scattering. The analysis method and results of the 1496 day data sample are presented. The final oscillation results for the data are presented also.,J Hosaka and K Ishihara and J Kameda and Yusuke Koshio and A Minamino and C Mitsuda and M Miura and S Moriyama and M Nakahata and T Namba and Y Obayashi and N Sakurai and A Sarrat and M Shiozawa and Y Suzuki and Y Takeuchi and S Yamada and I Higuchi and Masaki Ishitsuka and T Kajita and K Kaneyuki and G Mitsuka and S Nakayama and H Nishino and A Okada and K Okumura and C Saji and Y Takenaga and S Clark and S Desai and E Kearns and S Likhoded and JL Stone and LR Sulak and W Wang and M Goldhaber and D Casper and JP Cravens and WR Kropp and DW Liu and S Mine and MB Smy and HW Sobel and CW Sterner and MR Vagins and KS Ganezer and J Hill and WE Keig and JS Jang and JY Kim and IT Lim and K Scholberg and CW Walter and RW Ellsworth and S Tasaka and G Guillian and A Kibayashi and JG Learned and S Matsuno and MD Messier and Y Hayato and AK Ichikawa and T Ishida and T Ishii and T Iwashita and T Kobayashi and T Nakadaira and K Nakamura and K Nitta and Y Oyama and Y Totsuka and AT Suzuki and M Hasegawa and I Kato and H Maesaka and T Nakaya and K Nishikawa and T Sasaki and H Sato and S Yamamoto and M Yokoyama and TJ Haines and S Dazeley and BK Kim and KB Lee and S Hatakeyama and R Svoboda and E Blaufuss and JA Goodman and GW Sullivan and D Turcan and J Cooley and A Habig and Y Fukuda and T Sato and Y Itow and CK Jung and T Kato and K Kobayashi and M Malek and K Martens and C Mauger and C McGrew and E Sharkey and C Yanagisawa and N Tamura and Makoto Sakuda and Y Kuno and M Yoshida and SB Kim and J Yoo and H Okazawa and T Ishizuka and Y Choi and HK Seo and Y Gando and T Hasegawa and K Inoue and J Shirai and A Suzuki and K Nishijima and Hirokazu Ishino and Y Watanabe and M Koshiba and D Kielczewska and J Zalipska and HG Berns and R Gran and KK Shiraishi and AL Stachyra and K Washburnand and RJ Wilkes and Super-Kamiokande Collaboration,623,18067010144542763694,Physical Review D,11,112001,American Physical Society,Solar neutrino measurements in Super-Kamiokande-I,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.73.112001,73,2006
1009,"A measurement of the energy spectrum of recoil electrons from solar neutrino scattering in the Super-Kamiokande detector is presented. The results shown here were obtained from 504 days of data taken between 31 May 1996 and 25 March 1998. The shape of the measured spectrum is compared with the expectation for solar 8 B neutrinos. The comparison takes into account both kinematic and detector related effects in the measurement process. The spectral shape comparison between the observation and the expectation gives a χ 2 of 25.3 with 15 degrees of freedom, corresponding to a 4.6% confidence level.",Y Fukuda and T Hayakawa and E Ichihara and K Inoue and K Ishihara and Hirokazu Ishino and Y Itow and T Kajita and J Kameda and S Kasuga and K Kobayashi and Y Kobayashi and Yusuke Koshio and M Miura and M Nakahata and S Nakayama and A Okada and K Okumura and N Sakurai and M Shiozawa and Y Suzuki and Y Takeuchi and Y Totsuka and S Yamada and M Earl and A Habig and E Kearns and MD Messier and K Scholberg and JL Stone and LR Sulak and CW Walter and M Goldhaber and T Barszczak and D Casper and W Gajewski and PG Halverson and J Hsu and WR Kropp and LR Price and F Reines and M Smy and HW Sobel and MR Vagins and KS Ganezer and WE Keig and RW Ellsworth and S Tasaka and JW Flanagan and A Kibayashi and JG Learned and S Matsuno and VJ Stenger and D Takemori and T Ishii and J Kanzaki and T Kobayashi and S Mine and K Nakamura and K Nishikawa and Y Oyama and A Sakai and Makoto Sakuda and O Sasaki and S Echigo and M Kohama and AT Suzuki and TJ Haines and E Blaufuss and BK Kim and R Sanford and R Svoboda and ML Chen and Z Conner and JA Goodman and GW Sullivan and J Hill and CK Jung and K Martens and C Mauger and C McGrew and E Sharkey and B Viren and C Yanagisawa and W Doki and K Miyano and H Okazawa and C Saji and M Takahata and Y Nagashima and M Takita and T Yamaguchi and M Yoshida and SB Kim and M Etoh and K Fujita and A Hasegawa and T Hasegawa and S Hatakeyama and T Iwamoto and M Koga and T Maruyama and H Ogawa and J Shirai and A Suzuki and F Tsushima and M Koshiba and M Nemoto and K Nishijima and T Futagami and Y Hayato and Y Kanaya and K Kaneyuki and Y Watanabe and D Kielczewska and RA Doyle and JS George and AL Stachyra and LL Wai and RJ Wilkes and KK Young and Super-Kamiokande Collaboration,569,8275187083877240755,Physical Review Letters,12,2430,American Physical Society,Measurement of the solar neutrino energy spectrum using neutrino-electron scattering,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.82.2430,82,1999
