id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
13000,"The human genome holds an extraordinary trove of information about human development, physiology, medicine and evolution. Here we report the results of an international collaboration to produce and make freely available a draft sequence of the human genome. We also present an initial analysis of the data, describing some of the insights that can be gleaned from the sequence.",Eric S Lander and Lauren M Linton and Bruce Birren and Chad Nusbaum and Michael C Zody and Jennifer Baldwin and Keri Devon and Ken Dewar and Michael Doyle and William FitzHugh and Roel Funke and Diane Gage and Katrina Harris and Andrew Heaford and John Howland and Lisa Kann and Jessica Lehoczky and Rosie LeVine and Paul McEwan and Kevin McKernan and James Meldrim and Jill P Mesirov and Cher Miranda and William Morris and Jerome Naylor and Christina Raymond and Mark Rosetti and Ralph Santos and Andrew Sheridan and Carrie Sougnez and Nicole Stange-Thomann and Nikola Stojanovic and Aravind Subramanian and Dudley Wyman and Jane Rogers and John Sulston and Rachael Ainscough and Stephan Beck and David Bentley and John Burton and Christopher Clee and Nigel Carter and Alan Coulson and Rebecca Deadman and Panos Deloukas and Andrew Dunham and Ian Dunham and Richard Durbin and Lisa French and Darren Grafham and Simon Gregory and Tim Hubbard and Sean Humphray and Adrienne Hunt and Matthew Jones and Christine Lloyd and Amanda McMurray and Lucy Matthews and Simon Mercer and Sarah Milne and James C Mullikin and Andrew Mungall and Robert Plumb and Mark Ross and Ratna Shownkeen and Sarah Sims and Robert H Waterston and Richard K Wilson and LaDeana W Hillier and John D McPherson and Marco A Marra and Elaine R Mardis and Lucinda A Fulton and Asif T Chinwalla and Kymberlie H Pepin and Warren R Gish and Stephanie L Chissoe and Michael C Wendl and Kim D Delehaunty and Tracie L Miner and Andrew Delehaunty and Jason B Kramer and Lisa L Cook and Robert S Fulton and Douglas L Johnson and Patrick J Minx and Sandra W Clifton and Trevor Hawkins and Elbert Branscomb and Paul Predki and Paul Richardson and Sarah Wenning and Tom Slezak and Norman Doggett and Jan-Fang Cheng and Anne Olsen and Susan Lucas and Christopher Elkin and EC Uberbacher and Marvin Frazier and Richard A Gibbs and Donna M Muzny and Steven E Scherer and John B Bouck and Erica J Sodergren and Kim C Worley and Catherine M Rives and James H Gorrell and Michael L Metzker and Susan L Naylor and Raju S Kucherlapati and David L Nelson and George M Weinstock and Yoshiyuki Sakaki and Asao Fujiyama and Masahira Hattori and Tetsushi Yada and Atsushi Toyoda and Takehiko Itoh and Chiharu Kawagoe and Hidemi Watanabe and Yasushi Totoki and Todd Taylor and Jean Weissenbach and Roland Heilig and William Saurin and Francois Artiguenave and Philippe Brottier and Thomas Bruls and Eric Pelletier and Catherine Robert and Patrick Wincker and André Rosenthal and Matthias Platzer and Gerald Nyakatura and Stefan Taudien and Andreas Rump and HM Yang and J Yu and J Wang and GY Huang and J Gu and L Hood and L Rowen and A Madan and SZ Qin and RW Davis and NA Federspiel and AP Abola and MJ Proctor,25744,17222139229225893396,,,,Macmillan Publishers Ltd.,Initial sequencing and analysis of the human genome,https://deepblue.lib.umich.edu/handle/2027.42/62798,,2001,/scholar?cites=17222139229225893396,TQ8RcVgAAAAJ:FKJBpZmfD-IC
13001,"Interleukin 17 (IL-17) has been linked to autoimmune diseases, although its regulation and function have remained unclear. Here we have evaluated in vitro and in vivo the requirements for the differentiation of naive CD4 T cells into effector T helper cells that produce IL-17. This process required the costimulatory molecules CD28 and ICOS but was independent of the cytokines and transcription factors required for T helper type 1 or type 2 differentiation. Furthermore, both IL-4 and interferon-γ negatively regulated T helper cell production of IL-17 in the effector phase. In vivo, antibody to IL-17 inhibited chemokine expression in the brain during experimental autoimmune encephalomyelitis, whereas overexpression of IL-17 in lung epithelium caused chemokine production and leukocyte infiltration. Thus, IL-17 expression characterizes a unique T helper lineage that regulates tissue inflammation.",Heon Park and Zhaoxia Li and Xuexian O Yang and Seon Hee Chang and Roza Nurieva and Yi-Hong Wang and Ying Wang and Leroy Hood and Zhou Zhu and Qiang Tian and Chen Dong,5080,7418145759790245346,Nature immunology,11,1133-1141,Nature Publishing Group,A distinct lineage of CD4 T cells regulates tissue inflammation by producing interleukin 17,https://www.nature.com/articles/ni1261/,6,2005,/scholar?cites=7418145759790245346,TQ8RcVgAAAAJ:u-x6o8ySG0sC
13002,"We demonstrate an integrated approach to build, test, and refine a model of a cellular pathway, in which perturbations to critical pathway components are analyzed using DNA microarrays, quantitative proteomics, and databases of known physical interactions. Using this approach, we identify 997 messenger RNAs responding to 20 systematic perturbations of the yeast galactose-utilization pathway, provide evidence that approximately 15 of 289 detected proteins are regulated posttranscriptionally, and identify explicit physical interactions governing the cellular response to each perturbation. We refine the model through further iterations of perturbation and global measurements, suggesting hypotheses about the regulation of galactose utilization and physical interactions between this and a variety of other metabolic pathways.",Trey Ideker and Vesteinn Thorsson and Jeffrey A Ranish and Rowan Christmas and Jeremy Buhler and Jimmy K Eng and Roger Bumgarner and David R Goodlett and Ruedi Aebersold and Leroy Hood,2425,13966978031590305879,Science,5518,929-934,American Association for the Advancement of Science,Integrated genomic and proteomic analyses of a systematically perturbed metabolic network,https://science.sciencemag.org/content/292/5518/929.abstract,292,2001,/scholar?cites=13966978031590305879,TQ8RcVgAAAAJ:9yKSN-GCB0IC
13003,"We have developed a method for the partial automation of DNA sequence analysis. Fluorescence detection of the DNA fragments is accomplished by means of a fluorophore covalently attached to the oligonucleotide primer used in enzymatic DNA sequence analysis. A different coloured fluorophore is used for each of the reactions specific for the bases A, C, G and T. The reaction mixtures are combined and co-electrophoresed down a single polyacrylamide gel tube, the separated fluorescent bands of DNA are detected near the bottom of the tube, and the sequence information is acquired directly by computer.",Lloyd M Smith and Jane Z Sanders and Robert J Kaiser and Peter Hughes and Chris Dodd and Charles R Connell and Cheryl Heiner and Stephen BH Kent and Leroy E Hood,2329,6155713243031536465,Nature,6071,674-679,Nature Publishing Group,Fluorescence detection in automated DNA sequence analysis,https://www.nature.com/articles/321674a0,321,1986,/scholar?cites=6155713243031536465,TQ8RcVgAAAAJ:qjMakFHDy7sC
13004,"A new miniaturized protein and peptide sequenator has been constructed which uses gas phase reagents at the coupling and cleavage steps of the Edman degradation. The sample is embedded in a matrix of Polybrene dried onto a porous glass fiber disc located in a small cartridge-style reaction cell. The protein or peptide, though not covalently attached to the support, is essentially immobile throughout the degradative cycle, since only relatively apolar, liquid phase solvents pass through the cell. This instrument can give useful sequence data on as little as 5 pmol or protein, can perform extended sequence runs (greater than 30 residues) on subnanomole quantities of proteins purified by sodium dodecyl sulfate-polyacrylamide gel electrophoresis, and can sequence hydrophobic peptides to completion. The sequenator is characterized by a high repetitive yield during the degradation, low reagent consumption, low …",Rodney M Hewick and Michael W Hunkapiller and Leroy E Hood and William J Dreyer,2254,14102450643502474908,Journal of Biological Chemistry,15,7990-7997,American Society for Biochemistry and Molecular Biology,A gas-liquid solid phase peptide and protein sequenator.,https://www.jbc.org/content/256/15/7990.short,256,1981,/scholar?cites=14102450643502474908,TQ8RcVgAAAAJ:d1gkVwhDpl0C
13005,"Cytoscape is a free software package for visualizing, modeling and analyzing molecular and genetic interaction networks. This protocol explains how to use Cytoscape to analyze the results of mRNA expression profiling, and other functional genomics and proteomics experiments, in the context of an interaction network obtained for genes of interest. Five major steps are described:(i) obtaining a gene or protein network,(ii) displaying the network using layout algorithms,(iii) integrating with gene expression and other functional attributes,(iv) identifying putative complexes and functional modules and (v) identifying enriched Gene Ontology annotations in the network. These steps provide a broad sample of the types of analyses performed by Cytoscape.",Melissa S Cline and Michael Smoot and Ethan Cerami and Allan Kuchinsky and Nerius Landys and Chris Workman and Rowan Christmas and Iliana Avila-Campilo and Michael Creech and Benjamin Gross and Kristina Hanspers and Ruth Isserlin and Ryan Kelley and Sarah Killcoyne and Samad Lotia and Steven Maere and John Morris and Keiichiro Ono and Vuk Pavlovic and Alexander R Pico and Aditya Vailaya and Peng-Liang Wang and Annette Adler and Bruce R Conklin and Leroy Hood and Martin Kuiper and Chris Sander and Ilya Schmulevich and Benno Schwikowski and Guy J Warner and Trey Ideker and Gary D Bader,2187,15776653105491062458,Nature protocols,10,2366,Nature Publishing Group,Integration of biological networks and gene expression data using Cytoscape,https://www.nature.com/articles/nprot.2007.324.pdf?origin=ppub,2,2007,/scholar?cites=15776653105491062458,TQ8RcVgAAAAJ:roLk4NBRz8UC
13006,"Systems biology studies biological systems by systematically perturbing them (biologically, genetically, or chemically); monitoring the gene, protein, and informational pathway responses; integrating these data; and ultimately, formulating mathematical models that describe the structure of the system and its response to individual perturbations. The emergence of systems biology is described, as are several examples of specific systems approaches.",Trey Ideker and Timothy Galitski and Leroy Hood,2080,8899703639439919897,,1,343-372,Annual Reviews,A NEW APPROACH TO DECODING LIFE: Systems Biology,https://www.annualreviews.org/doi/abs/10.1146/annurev.genom.2.1.343,2,2001,/scholar?cites=8899703639439919897,TQ8RcVgAAAAJ:zYLM7Y9cAGgC
13007,"A clone encoding PrP 27-30, the major protein in purified preparations of scrapie agent, was selected from a scrapie-infected hamster brain cDNA library by oligo-nucleotide probes corresponding to the N terminus of the protein. Southern blotting with PrP cDNA revealed a single gene with the same restriction patterns in normal and acrapie-infected brain DNA. A single PrP-related gene was also detected in murine and human DNA. PrP-related mRNA was found at similar levels in normal and scrapie-infected hamster brain, as well as in many other normal tissues. Using antisera against PrP 27-30, a PrP-related protein was detected in crude extracts of infected brain and to a lesser extent in extracts of normal brain. Proteinase K digestion yielded PrP 27-30 in infected brain extract, but completely degraded the PrP-related protein in normal brain extract. No PrP-related nucleic acids were found in purified preparations …",Bruno Oesch and David Westaway and Monika Wälchli and Michael P McKinley and Stephen BH Kent and Ruedi Aebersold and Ronald A Barry and Paul Tempst and David B Teplow and Leroy E Hood and Stanley B Prusiner and Charles Weissmann,1833,11655408438951186363,Cell,4,735-746,Cell Press,A cellular gene encodes scrapie PrP 27-30 protein,https://www.sciencedirect.com/science/article/pii/0092867485903332,40,1985,/scholar?cites=11655408438951186363,TQ8RcVgAAAAJ:UeHWp8X0CEIC
13008,"The transforming protein of a primate sarcoma virus and a platelet-derived growth factor are derived from the same or closely related cellular genes. This conclusion is based on the demonstration of extensive sequence similarity between the transforming protein derived from the simian sarcoma virus onc gene, v-sis, and a human platelet-derived growth factor. The mechanism by which v-sis transforms cells could involve the constitutive expression of a protein with functions similar or identical to those of a factor active transiently during normal cell growth.",Russell F Doolittle and Michael W Hunkapiller and Leroy E Hood and Sushilkumar G Devare and Keith C Robbins and Stuart A Aaronson and Harry N Antoniades,1791,6510840463137771298,Science,4607,275-277,American Association for the Advancement of Science,"Simian sarcoma virus onc gene, v-sis, is derived from the gene (or genes) encoding a platelet-derived growth factor",https://science.sciencemag.org/content/221/4607/275.abstract,221,1983,/scholar?cites=6510840463137771298,TQ8RcVgAAAAJ:2osOgNQ5qMEC
13009,"We describe a technology, the NanoString nCounter gene expression system, which captures and counts individual mRNA transcripts. Advantages over existing platforms include direct measurement of mRNA expression levels without enzymatic reactions or bias, sensitivity coupled with high multiplex capability, and digital readout. Experiments performed on 509 human genes yielded a replicate correlation coefficient of 0.999, a detection limit between 0.1 fM and 0.5 fM, and a linear dynamic range of over 500-fold. Comparison of the NanoString nCounter gene expression system with microarrays and TaqMan PCR demonstrated that the nCounter system is more sensitive than microarrays and similar in sensitivity to real-time PCR. Finally, a comparison of transcript levels for 21 genes across seven samples measured by the nCounter system and SYBR Green real-time PCR demonstrated similar patterns of gene …",Gary K Geiss and Roger E Bumgarner and Brian Birditt and Timothy Dahl and Naeem Dowidar and Dwayne L Dunaway and H Perry Fell and Sean Ferree and Renee D George and Tammy Grogan and Jeffrey J James and Malini Maysuria and Jeffrey D Mitton and Paola Oliveri and Jennifer L Osborn and Tao Peng and Amber L Ratcliffe and Philippa J Webster and Eric H Davidson and Leroy Hood and Krassen Dimitrov,1788,18228999397044700529,Nature biotechnology,3,317-325,Nature Publishing Group,Direct multiplexed measurement of gene expression with color-coded probe pairs,https://www.nature.com/articles/nbt1385,26,2008,/scholar?cites=18228999397044700529,TQ8RcVgAAAAJ:r0BpntZqJG4C
