id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
27000,,DL Swofford,59739,10423954368307625234,"Illinois Natural History Survey, Champaign, Ill",,,,PAUP (version 3.0): phylogenetic analysis using parsimony,http://scholar.google.com/scholar?cluster=1598726853998859713&hl=en&oi=scholarr,9,1989,/scholar?cites=10423954368307625234,H1jbCPkAAAAJ:_FxGoFyzp5QC
27001,"CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 … 
",David L Swofford,55473,10423954368307625234,Mac Version 3. 1. 1.(Computer program and manual).,,,,PAUP: phylogenetic analysis using parsimony.,https://ci.nii.ac.jp/naid/10003335753/,,1993,/scholar?cites=10423954368307625234,H1jbCPkAAAAJ:AzKEL7Gb_04C
27002,,DL Swofford,51534,10423954368307625234,"Sinauer Assoc, Boston, Mass",,,,"Phylogenetic Analysis Using Parsimony, PAUP* 4.0, beta version 4.0 b2",,,1999,/scholar?cites=10423954368307625234,H1jbCPkAAAAJ:37UQlXuwjP4C
27003,,DL Swofford,5227,8287449464659408453,"Washington, DC",,,,"PAUP* phylogenetic analysis using parsimony, version 4.0 Smithsonian Institution",http://scholar.google.com/scholar?cluster=17523659183368346867&hl=en&oi=scholarr,,1998,/scholar?cites=8287449464659408453,H1jbCPkAAAAJ:pQTOvowfQioC
27004,,DL Swofford and GJ Olsen,5071,8178744537312301071,,,,"Sinauer Associates: Sunderland, Massachusetts",Phylogeny reconstruction. In ‘Molecular Systematics’.(Eds DM Hillis and C. Moritz.) pp. 411–501,,,1990,/scholar?cites=8178744537312301071,H1jbCPkAAAAJ:69ZgNCALVd0C
27005,"BIOSYS-1 is a FORTRAN IV program designed to aid biochemical population geneticists and systematists in the analysis of electrophoretically detectable allelic variation. It can be used to compute allele frequencies and genetic variability measures, to test for deviation of genotype frequencies from Hardy-Weinberg expectations, to calculate F-statistics, to perform heterogeneity chi-square analysis, to calculate a variety of similarity and distance coefficients, and to construct dendrograms using cluster analysis and Wagner procedures. The program, documentation, and test data are available from the authors.",David L Swofford and Richard B Selander,4602,1634463945824944698,Journal of heredity,4,281-283,Oxford University Press,BIOSYS-1: a FORTRAN program for the comprehensive analysis of electrophoretic data in population genetics and systematics,https://academic.oup.com/jhered/article-abstract/72/4/281/797696,72,1981,/scholar?cites=1634463945824944698,H1jbCPkAAAAJ:d1gkVwhDpl0C
27006,,D Swofford,2475,17289040079251257646,,,,Sunderland,Phylogenetic analysis using parsimony (and other methods) PAUP* 4.0: Sinauer,,,1999,/scholar?cites=17289040079251257646,H1jbCPkAAAAJ:X0DADzN9RKwC
27007,,DL Swofford,2380,17289040079251257646,"Sinauer, Sunderland",,,,Phylogenetic analysis using parsimony (and other methods) PAUP* 4.0,,,1999,/scholar?cites=17289040079251257646,H1jbCPkAAAAJ:nqdriD65xNoC
27008," Summary: A key element to a successful Markov chain Monte Carlo (MCMC) inference is the programming and run performance of the Markov chain. However, the explicit use of quality assessments of the MCMC simulations—convergence diagnostics—in phylogenetics is still uncommon. Here, we present a simple tool that uses the output from MCMC simulations and visualizes a number of properties of primary interest in a Bayesian phylogenetic analysis, such as convergence rates of posterior split probabilities and branch lengths. Graphical exploration of the output from phylogenetic MCMC simulations gives intuitive and often crucial information on the success and reliability of the analysis. The tool presented here complements convergence diagnostics already available in other software packages primarily designed for other applications of MCMC. Importantly, the common practice of using trace …",Johan AA Nylander and James C Wilgenbusch and Dan L Warren and David L Swofford,1873,16072695543379156085,Bioinformatics,4,581-583,Oxford University Press,AWTY (are we there yet?): a system for graphical exploration of MCMC convergence in Bayesian phylogenetics,https://academic.oup.com/bioinformatics/article-abstract/24/4/581/206036,24,2008,/scholar?cites=16072695543379156085,H1jbCPkAAAAJ:IjCSPb-OGe4C
27009,"Cavalli-Sforza, LL, A. Piazza, P. Menozzi, and J. L. Mountain. 1989. Genetic and linguistic evo? lution. Science 244: 1128-1129. Corballis, MC 1992. On the evolution of language and generativity. Cognition 44: 197-226. Day, WHE 1986. Analysis of quartet dissimilarity measures between undirected phylogenetic trees. Syst. Zool. 35: 325-333.",JJ Bull and John P Huelsenbeck and Clifford W Cunningham and David L Swofford and Peter J Waddell,1026,17378934385890067015,Systematic Biology,3,384-397,"Oxford University Press, Society of Systematic Biologists",Partitioning and combining data in phylogenetic analysis,https://www.jstor.org/stable/2992473,42,1993,/scholar?cites=17378934385890067015,H1jbCPkAAAAJ:UeHWp8X0CEIC
27010,"SIR-Previous studies have demonstrated that immense molecular data sets are often needed for accurate phylogenetic estimation. For instance, under some conditions of extreme evolutionary rate variation, correct recovery of the phylogeny of just four taxa requires both an accurate DNA substitution model and information on tens of thousands to millions of nucleotides (sometimes exceeding the size of whole genomes) 1. These facts, together with the large number of possible solutions, have led many systematists to question the practicality of obtaining accurate reconstructions for phylogenies involving hundreds or thousands of species2· 3• Despite this scepticism, however, there is a considerable interest in phylogenetic analyses of many sequences, such as studies of the radiation of flowering plants4 or global diversity of human mitochondrial genomes5•To test the feasibility of such studies and to predict the …",David M Hillis,627,12500406898470886624,Nature,6596,130-131,Nature Publishing Group,Inferring complex phytogenies,https://www.nature.com/articles/383130a0,383,1996,/scholar?cites=12500406898470886624,H1jbCPkAAAAJ:AYInfyleIOsC
27011,"The problem of assigning optimal character states to the hypothetical ancestors of an evolutionary tree under the Wagner parsimony criterion is examined. A proof is provided for the correctness of Farris's well-known, but previously unproven, algorithm for solving this problem. However, the solution is not, in general, unique, and Farris's method obtains only a subset (generally only one) of the possible solutions. Algorithms that discover other solutions and that resolve ambiguities through the imposition of ancillary criteria are developed and discussed. A method for determining the optimal length of a given tree without actually assigning character states to hypothetical ancestors is described.",David L Swofford and Wayne P Maddison,599,5649568620864555888,Mathematical biosciences,2,199-229,Elsevier,Reconstructing ancestral character states under Wagner parsimony,https://www.sciencedirect.com/science/article/pii/0025556487900745,87,1987,/scholar?cites=5649568620864555888,H1jbCPkAAAAJ:zYLM7Y9cAGgC
27012,"NEXUS is a file format designed to contain systematic data for use by computer programs. The goals of the format are to allow future expansion, to include diverse kinds of information, to be independent of particular computer operating systems, and to be easily processed by a program. To this end, the format is modular, with a file consisting of separate blocks, each containing one particular kind of information, and consisting of standardized commands. Public blocks (those containing information utilized by several programs) house information about taxa, morphological and molecular characters, distances, genetic codes, assumptions, sets, trees, etc.; private blocks contain information of relevance to single programs. A detailed description of commands in public blocks is given. Guidelines are provided for reading and writing NEXUS files and for extending the format.",David R Maddison and David L Swofford and Wayne P Maddison,578,8686977351654034362,Systematic biology,4,590-621,Society of Systematic Biologists,NEXUS: an extensible file format for systematic information,https://academic.oup.com/sysbio/article-abstract/46/4/590/1629695,46,1997,/scholar?cites=8686977351654034362,H1jbCPkAAAAJ:W7OEmFMy1HYC
27013,"It is now widely recognized that un-der relatively simple models of stochastic change, phylogenetic inference methods can actively mislead investigators attempting to estimate evolutionary trees from molecular sequences and other data. One instance of this phenomenon is"" long-branch attrac-tion,"" in which some pairs of taxa have a higher probability of sharing the same character state because of parallel or convergent changes along long branches than do taxa that are more closely related because they have retained some same state from a common ancestor. Methods that systematically underestimate the actual amount of divergence may then become statisti-cally inconsistent or"" positively misleading""(Felsenstein, 1978; Hendy and Penny, 1989), estimating an incorrect tree with an increasing certainty as the amount of character data increases. Although usually associated with parsimony methods, long-branch …",David L Swofford and Peter J Waddell and John P Huelsenbeck and Peter G Foster and Paul O Lewis and James S Rogers,428,3988718803436704855,Systematic biology,4,525-539,"Oxford University Press, Society of Systematic Biologists",Bias in phylogenetic estimation and its relevance to the choice between parsimony and likelihood methods,https://www.jstor.org/stable/3070852,50,2001,/scholar?cites=3988718803436704855,H1jbCPkAAAAJ:WF5omc3nYNoC
27014,,David L Swofford,423,14909552501941498336,"Phylogenetic analysis of DNA sequences/edited by Michael M. Miyamoto, Joel Cracraft",,,"New York: Oxford University Press, 1991.",When are phylogeny estimates from molecular and morphological data incongruent?,http://agris.fao.org/agris-search/search.do?recordID=US201301765165,,1991,/scholar?cites=14909552501941498336,H1jbCPkAAAAJ:EBV337fEn3EC
27015,"Phylogenetic inference is fundamental to our understanding of most aspects of the origin and evolution of life, and in recent years, there has been a concentration of interest in statistical approaches such as Bayesian inference and maximum likelihood estimation. Yet, for large data sets and realistic or interesting models of evolution, these approaches remain computationally demanding. High-throughput sequencing can yield data for thousands of taxa, but scaling to such problems using serial computing often necessitates the use of nonstatistical or approximate approaches. The recent emergence of graphics processing units (GPUs) provides an opportunity to leverage their excellent floating-point computational performance to accelerate statistical phylogenetic inference. A specialized library for phylogenetic calculation would allow existing software packages to make more effective use of available computer …",Daniel L Ayres and Aaron Darling and Derrick J Zwickl and Peter Beerli and Mark T Holder and Paul O Lewis and John P Huelsenbeck and Fredrik Ronquist and David L Swofford and Michael P Cummings and Andrew Rambaut and Marc A Suchard,419,13995550627450771915,Systematic biology,1,170-173,Oxford University Press,BEAGLE: an application programming interface and high-performance computing library for statistical phylogenetics,https://academic.oup.com/sysbio/article-abstract/61/1/170/1680634,61,2012,/scholar?cites=13995550627450771915,H1jbCPkAAAAJ:TQgYirikUcIC
27016,"The molecular clock hypothesis remains an important conceptual and analytical tool in evolutionary biology despite the repeated observation that the clock hypothesis does not perfectly explain observed DNA sequence variation. We introduce a parametric model that relaxes the molecular clock by allowing rates to vary across lineages according to a compound Poisson process. Events of substitution rate change are placed onto a phylogenetic tree according to a Poisson process. When an event of substitution rate change occurs, the current rate of substitution is modified by a gamma-distributed random variable. Parameters of the model can be estimated using Bayesian inference. We use Markov chain Monte Carlo integration to evaluate the posterior probability distribution because the posterior probability involves high dimensional integrals and summations. Specifically, we use the Metropolis-Hastings-Green …",John P Huelsenbeck and Bret Larget and David Swofford,375,10960978575475804672,Genetics,4,1879-1892,Genetics,A compound Poisson process for relaxing the molecular clock,https://www.genetics.org/content/154/4/1879.short,154,2000,/scholar?cites=10960978575475804672,H1jbCPkAAAAJ:ufrVoPGSRksC
27017,"The monophyly of Rodentia has repeatedly been challenged based on several studies of molecular sequence data. Most recently, D'Erchia et al. (1996) analyzed complete mtDNA sequences of 16 mammals and concluded that rodents are not monophyletic. We have reanalyzed these data using maximum-likelihood methods. We use two methods to test for significance of differences among alternative topologies and show that (1) models that incorporate variation in evolutionary rates across sites fit the data dramatically better than models used in the original analyses, (2) the mtDNA data fail to refute rodent monophyly, and (3) the original interpretation of strong support for nonmonophyly results from systematic error associated with an oversimplified model of sequence evolution. These analyses illustrate the importance of incorporating recent theoretical advances into molecular phylogenetic analyses …",Jack Sullivan and David L Swofford,336,1545940379084926604,Journal of Mammalian Evolution,2,77-86,Kluwer Academic Publishers-Plenum Publishers,Are guinea pigs rodents? The importance of adequate models in molecular phylogenetics,https://link.springer.com/article/10.1023/A:1027314112438,4,1997,/scholar?cites=1545940379084926604,H1jbCPkAAAAJ:eQOLeE2rZwMC
27018,"This unit provides a general description of reconstructing evolutionary trees using PAUP* 4.0. The protocol takes users through an example analysis of mitochondrial DNA sequence data using the parsimony and the likelihood criteria to infer optimal trees. The protocol also discusses searching options available in PAUP* and demonstrates how to import non‐NEXUS formats. Finally, a general discussion is given regarding the pros and cons of the “model‐free” and “model‐based” methods used throughout the protocol.",James C Wilgenbusch and David Swofford,334,3606992391476150730,Current protocols in bioinformatics,1,6.4. 1-6.4. 28,,Inferring evolutionary trees with PAUP,https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/0471250953.bi0604s00,,2003,/scholar?cites=3606992391476150730,H1jbCPkAAAAJ:Zph67rFs4hoC
27019,"We used mitochondrial gene sequences to reconstruct phylogenetic relationships among subspecies of the bushmaster, Lachesis muta. These large vipers are widely distributed in lowland tropical forests in Central and South America, where three of four allopatric subspecies are separated by montane barriers. Our phylogeny indicates that the four subspecies belong to two clades, the Central American and South American lineages. We use published molecular studies of other taxa to estimate a ‘reptilian mtDNA rate’ and thus temporal boundaries for major lineage divergences in Lachesis. We estimate that the Central and South American forms diverged 18-6 Mya, perhaps due to the uplifting of the Andes, whereas the two Central American subspecies may have diverged 11-4 Mya with the uprising of the Cordillera de Talamanca that separates them today. South American bushmasters from the Amazon …",Kelly R Zamudio and Harry W Greene,326,9500186020813873573,Biological Journal of the Linnean Society,3,421-442,Oxford University Press,"Phylogeography of the bushmaster (Lachesis muta: Viperidae): implications for neotropical biogeography, systematics, and conservation",https://academic.oup.com/biolinnean/article-abstract/62/3/421/2645394,62,1997,/scholar?cites=9500186020813873573,H1jbCPkAAAAJ:idthP5jqfYAC
27020,,David L Swofford and Gary J Olsen and Peter J Waddell and David M Hillis,323,17389737262972249561,,,407-514,,Molecular systematics,http://scholar.google.com/scholar?cluster=17389737262972249561&hl=en&oi=scholarr,,1996,/scholar?cites=17389737262972249561,H1jbCPkAAAAJ:l6Q3WhenKVUC
27021,Most workers attempting to infer evolutionary trees from polymorphic data using established parsimony procedures either have ignored frequency information entirely or have tolerated “optimal” solutions that hypothesize ancestors that cannot possibly exist in the space of the original frequencies. We describe a new method for inferring evolutionary trees from gene frequency data that avoids these limitations by enforcing biologically reasonable constraints without discarding the frequency information. The necessity of working directly with frequencies rather than reducing the data by “presence/absence” coding is argued. Our approach appears to be free of logical difficulties affecting a variety of other parsimony methods that have been applied to frequency data.,David L Swofford and Stewart H Berlocher,305,9330759751468457473,Systematic zoology,3,293-325,Society of Systematic Zoology,Inferring evolutionary trees from gene frequency data under the principle of maximum parsimony,https://academic.oup.com/sysbio/article-abstract/36/3/293/1728441,36,1987,/scholar?cites=9330759751468457473,H1jbCPkAAAAJ:LkGwnXOMwfcC
27022,,DL Swofford,263,6162441592985767985,"PAUP*. Phylogenetic analysis using parsimony (* and other methods), version",,b10,,"Sinauer Associates; Sunderland, MA: 2002",http://scholar.google.com/scholar?cluster=6162441592985767985&hl=en&oi=scholarr,4,2002,/scholar?cites=6162441592985767985,H1jbCPkAAAAJ:sbeIDTyQOFgC
27023,"Phylogenies that include long, unbranched lineages can be difficult to reconstruct. This is because long-branch taxa (such as rapidly evolving species) may share character states by chance more often than more closely related taxa share derived character states through common ancestry 1. Despite Kim's warning that added taxa can decrease accuracy 2, some authors have argued that the negative impact of this error, called ‘long-branch attraction’, is minimized when slowly evolving lineages are included to subdivide long branches 3, 4, 5. From this they have concluded that increasing the number of species sampled per lineage results in better accuracy than increasing the number of characters per species 6. We find, using computer simulations, that adding characters can be the more favourable strategy, even for long-branched trees, and that adding slowly evolving taxa to subdivide long branches can reduce …",Steven Poe and David L Swofford,234,17503936532059434407,Nature,6725,299-300,Nature Publishing Group,Taxon sampling revisited,https://www.nature.com/articles/18592,398,1999,/scholar?cites=17503936532059434407,H1jbCPkAAAAJ:8k81kl-MbHgC
27024," The sequence of the mitochondrial COII gene has been widely used to estimate phylogenetic relationships at different taxomonic levels across insects. We investigated the molecular evolution of the COII gene and its usefulness for reconstructing phylogenetic relationships within and among four collembolan families. The collembolan COII gene showed the lowest A + T content of all insects so far examined, confirming that the well-known A + T bias in insect mitochondrial genes tends to increase from the basal to apical orders. Fifty-seven percent of all nucleotide positions were variable and most of the third codon positions appeared free to vary. Values of genetic distance between congeneric species and between families were remarkably high; in some cases the latter were higher than divergence values between other orders of insects. The remarkably high divergence levels observed here provide …",Francesco Frati and Chris Simon and Jack Sullivan and David L Swofford,234,1940550176547986042,Journal of Molecular Evolution,2,145-158,Springer-Verlag,Evolution of the mitochondrial cytochrome oxidase II gene in Collembola,https://link.springer.com/content/pdf/10.1007/PL00006131.pdf,44,1997,/scholar?cites=1940550176547986042,H1jbCPkAAAAJ:3fE2CSJIrl8C
